,SLGN US Equity
,RSI_30D
2020-01-01,53.3147
2020-01-02,49.9324
2020-01-03,49.8333
2020-01-04,49.8333
2020-01-05,49.8333
2020-01-06,45.0259
2020-01-07,44.429
2020-01-08,43.2431
2020-01-09,46.2136
2020-01-10,47.3339
2020-01-11,47.3339
2020-01-12,47.3339
2020-01-13,50.7127
2020-01-14,51.6299
2020-01-15,54.1039
2020-01-16,57.4786
2020-01-17,57.6321
2020-01-18,57.6321
2020-01-19,57.6321
2020-01-20,57.6321
2020-01-21,56.1642
2020-01-22,57.2895
2020-01-23,57.7702
2020-01-24,53.7063
2020-01-25,53.7063
2020-01-26,53.7063
2020-01-27,55.6113
2020-01-28,55.1014
2020-01-29,50.415
2020-01-30,54.1981
2020-01-31,49.6803
2020-02-01,49.6803
2020-02-02,49.6803
2020-02-03,51.7225
2020-02-04,49.8316
2020-02-05,54.6158
2020-02-06,54.6158
2020-02-07,54.7216
2020-02-08,54.7216
2020-02-09,54.7216
2020-02-10,56.3365
2020-02-11,57.7266
2020-02-12,57.7266
2020-02-13,58.2813
2020-02-14,59.7826
2020-02-15,59.7826
2020-02-16,59.7826
2020-02-17,59.7826
2020-02-18,61.6019
2020-02-19,59.4172
2020-02-20,58.4906
2020-02-21,59.4209
2020-02-22,59.4209
2020-02-23,59.4209
2020-02-24,55.5121
2020-02-25,47.9514
2020-02-26,48.5617
2020-02-27,38.4241
2020-02-28,35.192
2020-02-29,35.192
2020-03-01,35.192
2020-03-02,46.1474
2020-03-03,44.7453
2020-03-04,48.6501
2020-03-05,47.2232
2020-03-06,47.9366
2020-03-07,47.9366
2020-03-08,47.9366
2020-03-09,40.5284
2020-03-10,43.4435
2020-03-11,37.5116
2020-03-12,33.9419
2020-03-13,39.8621
2020-03-14,39.8621
2020-03-15,39.8621
2020-03-16,37.782
2020-03-17,45.0996
2020-03-18,41.5135
2020-03-19,39.6969
2020-03-20,39.07
2020-03-21,39.07
2020-03-22,39.07
2020-03-23,37.307
