,TALO US Equity
,RSI_30D
2020-01-01,75.0933
2020-01-02,74.3415
2020-01-03,75.3622
2020-01-04,75.3622
2020-01-05,75.3622
2020-01-06,75.9971
2020-01-07,76.6541
2020-01-08,66.1121
2020-01-09,66.1121
2020-01-10,63.1999
2020-01-11,63.1999
2020-01-12,63.1999
2020-01-13,62.0189
2020-01-14,61.6782
2020-01-15,62.0556
2020-01-16,62.9452
2020-01-17,63.1079
2020-01-18,63.1079
2020-01-19,63.1079
2020-01-20,63.1079
2020-01-21,55.875
2020-01-22,53.078
2020-01-23,53.9872
2020-01-24,52.3938
2020-01-25,52.3938
2020-01-26,52.3938
2020-01-27,46.3758
2020-01-28,49.0622
2020-01-29,47.4047
2020-01-30,46.936
2020-01-31,40.8061
2020-02-01,40.8061
2020-02-02,40.8061
2020-02-03,35.8222
2020-02-04,35.3243
2020-02-05,38.1569
2020-02-06,36.1929
2020-02-07,35.388
2020-02-08,35.388
2020-02-09,35.388
2020-02-10,33.8652
2020-02-11,34.3073
2020-02-12,36.2732
2020-02-13,37.3106
2020-02-14,36.5171
2020-02-15,36.5171
2020-02-16,36.5171
2020-02-17,36.5171
2020-02-18,36.1395
2020-02-19,38.0239
2020-02-20,37.2449
2020-02-21,36.2079
2020-02-22,36.2079
2020-02-23,36.2079
2020-02-24,33.6673
2020-02-25,32.866
2020-02-26,31.2902
2020-02-27,29.0489
2020-02-28,30.4117
2020-02-29,30.4117
2020-03-01,30.4117
2020-03-02,31.4062
2020-03-03,30.9153
2020-03-04,30.4233
2020-03-05,28.7736
2020-03-06,27.4474
2020-03-07,27.4474
2020-03-08,27.4474
2020-03-09,22.8095
2020-03-10,23.956
2020-03-11,22.5587
2020-03-12,23.981
2020-03-13,22.9665
2020-03-14,22.9665
2020-03-15,22.9665
2020-03-16,21.9245
2020-03-17,26.8853
2020-03-18,26.6335
2020-03-19,30.9351
2020-03-20,30.018
2020-03-21,30.018
2020-03-22,30.018
2020-03-23,28.1993
2020-03-24,28.187
2020-03-25,31.0614
2020-03-26,31.6154
2020-03-27,30.2464
2020-03-28,30.2464
2020-03-29,30.2464
2020-03-30,29.3216
2020-03-31,29.4833
2020-04-01,28.6299
2020-04-02,31.4637
2020-04-03,31.4637
2020-04-04,31.4637
2020-04-05,31.4637
2020-04-06,31.4972
2020-04-07,32.5866
2020-04-08,34.5058
2020-04-09,34.3108
2020-04-10,34.3108
2020-04-11,34.3108
2020-04-12,34.3108
2020-04-13,34.899
2020-04-14,37.3238
2020-04-15,37.0224
2020-04-16,34.6672
2020-04-17,36.6492
2020-04-18,36.6492
2020-04-19,36.6492
2020-04-20,37.5281
2020-04-21,36.9368
2020-04-22,39.3895
2020-04-23,41.952
2020-04-24,44.2068
2020-04-25,44.2068
2020-04-26,44.2068
2020-04-27,43.7493
2020-04-28,44.6231
2020-04-29,50.4526
2020-04-30,50.896
