,SEIC US Equity
,RSI_30D
2020-01-01,65.7864
2020-01-02,66.7176
2020-01-03,62.0244
2020-01-04,62.0244
2020-01-05,62.0244
2020-01-06,62.1844
2020-01-07,62.0761
2020-01-08,63.6155
2020-01-09,64.7187
2020-01-10,62.1563
2020-01-11,62.1563
2020-01-12,62.1563
2020-01-13,64.7898
2020-01-14,62.1276
2020-01-15,60.0351
2020-01-16,63.3091
2020-01-17,58.3631
2020-01-18,58.3631
2020-01-19,58.3631
2020-01-20,58.3631
2020-01-21,57.5219
2020-01-22,56.5456
2020-01-23,57.8899
2020-01-24,51.54
2020-01-25,51.54
2020-01-26,51.54
2020-01-27,48.3013
2020-01-28,50.5953
2020-01-29,49.3749
2020-01-30,60.7388
2020-01-31,54.7852
2020-02-01,54.7852
2020-02-02,54.7852
2020-02-03,59.5554
2020-02-04,60.5869
2020-02-05,62.4738
2020-02-06,61.5681
2020-02-07,59.6883
2020-02-08,59.6883
2020-02-09,59.6883
2020-02-10,60.3835
2020-02-11,61.1556
2020-02-12,61.2957
2020-02-13,61.1979
2020-02-14,60.1387
2020-02-15,60.1387
2020-02-16,60.1387
2020-02-17,60.1387
2020-02-18,60.7102
2020-02-19,61.4363
2020-02-20,61.6804
2020-02-21,58.6425
2020-02-22,58.6425
2020-02-23,58.6425
2020-02-24,51.7613
2020-02-25,45.4004
2020-02-26,44.8778
2020-02-27,37.3996
2020-02-28,31.3628
2020-02-29,31.3628
2020-03-01,31.3628
2020-03-02,37.3597
2020-03-03,35.5655
2020-03-04,40.4548
2020-03-05,37.4188
2020-03-06,36.8949
2020-03-07,36.8949
2020-03-08,36.8949
2020-03-09,33.6063
2020-03-10,38.4422
2020-03-11,34.3723
2020-03-12,30.5425
2020-03-13,39.0327
2020-03-14,39.0327
2020-03-15,39.0327
2020-03-16,34.174
2020-03-17,34.0425
2020-03-18,32.2189
2020-03-19,32.1331
2020-03-20,29.7051
2020-03-21,29.7051
2020-03-22,29.7051
2020-03-23,28.5655
2020-03-24,34.3697
2020-03-25,35.3842
2020-03-26,40.103
2020-03-27,38.938
2020-03-28,38.938
2020-03-29,38.938
2020-03-30,41.361
2020-03-31,41.284
2020-04-01,39.6346
2020-04-02,41.2095
2020-04-03,40.0513
2020-04-04,40.0513
2020-04-05,40.0513
2020-04-06,44.0325
2020-04-07,44.7462
2020-04-08,47.3242
2020-04-09,47.2618
2020-04-10,47.2618
2020-04-11,47.2618
2020-04-12,47.2618
2020-04-13,45.3706
2020-04-14,45.0741
2020-04-15,44.6393
2020-04-16,44.7742
2020-04-17,47.1301
2020-04-18,47.1301
2020-04-19,47.1301
2020-04-20,46.8376
2020-04-21,45.1282
2020-04-22,46.2405
2020-04-23,45.5512
2020-04-24,46.0563
2020-04-25,46.0563
2020-04-26,46.0563
2020-04-27,48.526
2020-04-28,48.5947
2020-04-29,50.6186
2020-04-30,48.5842
2020-05-01,47.3157
2020-05-02,47.3157
2020-05-03,47.3157
2020-05-04,47.5439
2020-05-05,47.1548
2020-05-06,46.6805
2020-05-07,48.3812
2020-05-08,50.0779
2020-05-09,50.0779
2020-05-10,50.0779
2020-05-11,50.0903
2020-05-12,47.1037
2020-05-13,47.7946
2020-05-14,48.6714
