,AMCX US Equity
,RSI_30D
2020-01-01,40.3787
2020-01-02,39.5836
2020-01-03,40.3131
2020-01-04,40.3131
2020-01-05,40.3131
2020-01-06,43.5373
2020-01-07,45.7782
2020-01-08,44.8828
2020-01-09,43.1857
2020-01-10,42.3816
2020-01-11,42.3816
2020-01-12,42.3816
2020-01-13,45.7269
2020-01-14,47.603
2020-01-15,46.0108
2020-01-16,47.8455
2020-01-17,50.3901
2020-01-18,50.3901
2020-01-19,50.3901
2020-01-20,50.3901
2020-01-21,50.6699
2020-01-22,47.5103
2020-01-23,41.9133
2020-01-24,40.6537
2020-01-25,40.6537
2020-01-26,40.6537
2020-01-27,39.5672
2020-01-28,40.9834
2020-01-29,39.0293
2020-01-30,40.1785
2020-01-31,38.1481
2020-02-01,38.1481
2020-02-02,38.1481
2020-02-03,38.0889
2020-02-04,40.8255
2020-02-05,44.5069
2020-02-06,42.9859
2020-02-07,42.3351
2020-02-08,42.3351
2020-02-09,42.3351
2020-02-10,41.7038
2020-02-11,43.5069
2020-02-12,44.2209
2020-02-13,43.7443
2020-02-14,43.1431
2020-02-15,43.1431
2020-02-16,43.1431
2020-02-17,43.1431
2020-02-18,41.9502
2020-02-19,42.0827
2020-02-20,39.6702
2020-02-21,37.0068
2020-02-22,37.0068
2020-02-23,37.0068
2020-02-24,35.4506
2020-02-25,33.2534
2020-02-26,29.1836
2020-02-27,26.4274
2020-02-28,34.4678
2020-02-29,34.4678
2020-03-01,34.4678
2020-03-02,34.6593
2020-03-03,33.142
2020-03-04,31.7451
2020-03-05,29.696
2020-03-06,29.6717
2020-03-07,29.6717
2020-03-08,29.6717
2020-03-09,28.101
2020-03-10,33.0711
2020-03-11,32.3601
2020-03-12,30.0455
2020-03-13,36.4507
2020-03-14,36.4507
2020-03-15,36.4507
2020-03-16,36.7279
2020-03-17,33.9104
2020-03-18,33.8133
2020-03-19,38.7163
2020-03-20,34.769
2020-03-21,34.769
2020-03-22,34.769
2020-03-23,32.1809
2020-03-24,38.7177
2020-03-25,37.7055
2020-03-26,39.6602
