,APO US Equity
,RSI_30D
2020-01-01,68.2591
2020-01-02,68.0003
2020-01-03,66.1831
2020-01-04,66.1831
2020-01-05,66.1831
2020-01-06,66.8892
2020-01-07,67.0211
2020-01-08,69.5789
2020-01-09,72.1226
2020-01-10,72.2468
2020-01-11,72.2468
2020-01-12,72.2468
2020-01-13,72.749
2020-01-14,66.808
2020-01-15,66.0251
2020-01-16,66.7062
2020-01-17,69.6863
2020-01-18,69.6863
2020-01-19,69.6863
2020-01-20,69.6863
2020-01-21,70.5388
2020-01-22,72.9941
2020-01-23,73.234
2020-01-24,67.8152
2020-01-25,67.8152
2020-01-26,67.8152
2020-01-27,62.8747
2020-01-28,64.9256
2020-01-29,65.8155
2020-01-30,51.0194
2020-01-31,52.6951
2020-02-01,52.6951
2020-02-02,52.6951
2020-02-03,49.2118
2020-02-04,51.8823
2020-02-05,53.8974
2020-02-06,51.6355
2020-02-07,52.3404
2020-02-08,52.3404
2020-02-09,52.3404
2020-02-10,52.6921
2020-02-11,53.2159
2020-02-12,51.8657
2020-02-13,50.4102
2020-02-14,50.1982
2020-02-15,50.1982
2020-02-16,50.1982
2020-02-17,50.1982
2020-02-18,50.0893
2020-02-19,52.4892
2020-02-20,52.1434
2020-02-21,49.9857
2020-02-22,49.9857
2020-02-23,49.9857
2020-02-24,47.9079
2020-02-25,43.6427
2020-02-26,43.7315
2020-02-27,41.7135
2020-02-28,40.3082
2020-02-29,40.3082
2020-03-01,40.3082
2020-03-02,45.3751
2020-03-03,44.0774
2020-03-04,44.4458
2020-03-05,43.9847
2020-03-06,39.2649
2020-03-07,39.2649
2020-03-08,39.2649
2020-03-09,29.7655
2020-03-10,33.3405
2020-03-11,31.5128
2020-03-12,27.5819
2020-03-13,39.5314
2020-03-14,39.5314
2020-03-15,39.5314
2020-03-16,34.6749
2020-03-17,34.7612
2020-03-18,33.6565
2020-03-19,33.5554
2020-03-20,30.8929
2020-03-21,30.8929
2020-03-22,30.8929
2020-03-23,28.5566
2020-03-24,34.7372
2020-03-25,44.4733
2020-03-26,47.8342
2020-03-27,45.7045
2020-03-28,45.7045
2020-03-29,45.7045
2020-03-30,45.6951
2020-03-31,43.8756
2020-04-01,40.823
2020-04-02,42.0137
2020-04-03,43.1272
2020-04-04,43.1272
2020-04-05,43.1272
2020-04-06,47.517
2020-04-07,46.7334
2020-04-08,49.0017
2020-04-09,50.8696
2020-04-10,50.8696
2020-04-11,50.8696
2020-04-12,50.8696
2020-04-13,47.9566
2020-04-14,48.1896
2020-04-15,46.0213
2020-04-16,48.3926
2020-04-17,50.8487
2020-04-18,50.8487
2020-04-19,50.8487
2020-04-20,49.3192
2020-04-21,47.6779
2020-04-22,48.3014
2020-04-23,50.2117
2020-04-24,51.0741
2020-04-25,51.0741
2020-04-26,51.0741
2020-04-27,53.3652
2020-04-28,52.572
2020-04-29,54.7334
2020-04-30,52.1399
2020-05-01,51.2025
2020-05-02,51.2025
2020-05-03,51.2025
2020-05-04,51.5801
2020-05-05,52.5063
2020-05-06,53.2656
2020-05-07,54.5381
2020-05-08,55.4226
2020-05-09,55.4226
2020-05-10,55.4226
2020-05-11,56.5052
2020-05-12,55.3919
2020-05-13,52.485
2020-05-14,52.5982
2020-05-15,51.8239
2020-05-16,51.8239
2020-05-17,51.8239
2020-05-18,54.7672
2020-05-19,54.4499
2020-05-20,56.2064
2020-05-21,56.1677
2020-05-22,56.4259
2020-05-23,56.4259
2020-05-24,56.4259
2020-05-25,56.4259
2020-05-26,58.8339
2020-05-27,58.9024
2020-05-28,58.215
2020-05-29,58.6312
2020-05-30,58.6312
2020-05-31,58.6312
2020-06-01,59.3125
2020-06-02,60.9303
2020-06-03,62.6514
2020-06-04,62.203
2020-06-05,63.9476
2020-06-06,63.9476
2020-06-07,63.9476
2020-06-08,63.4017
2020-06-09,62.1542
2020-06-10,60.1148
2020-06-11,54.5591
2020-06-12,56.9204
2020-06-13,56.9204
2020-06-14,56.9204
2020-06-15,59.0404
2020-06-16,60.6655
2020-06-17,60.7135
2020-06-18,61.971
2020-06-19,60.0729
2020-06-20,60.0729
2020-06-21,60.0729
2020-06-22,58.0
2020-06-23,57.4761
2020-06-24,54.9109
2020-06-25,54.9455
2020-06-26,50.5247
2020-06-27,50.5247
2020-06-28,50.5247
2020-06-29,52.4899
2020-06-30,54.8002
2020-07-01,55.0661
2020-07-02,54.7192
2020-07-03,54.7192
2020-07-04,54.7192
2020-07-05,54.7192
2020-07-06,54.9891
2020-07-07,53.3863
2020-07-08,54.9977
2020-07-09,54.3402
2020-07-10,54.5774
2020-07-11,54.5774
2020-07-12,54.5774
2020-07-13,53.2373
2020-07-14,55.1693
2020-07-15,56.5706
2020-07-16,55.5774
2020-07-17,56.3327
2020-07-18,56.3327
2020-07-19,56.3327
2020-07-20,56.0044
2020-07-21,58.3048
2020-07-22,57.8601
2020-07-23,56.8425
2020-07-24,55.8437
2020-07-25,55.8437
2020-07-26,55.8437
