,BHF US Equity
,RSI_30D
2020-01-01,51.5895
2020-01-02,51.5576
2020-01-03,50.8104
2020-01-04,50.8104
2020-01-05,50.8104
2020-01-06,47.6137
2020-01-07,47.4339
2020-01-08,49.2834
2020-01-09,52.1742
2020-01-10,51.2641
2020-01-11,51.2641
2020-01-12,51.2641
2020-01-13,53.4253
2020-01-14,53.6321
2020-01-15,54.4392
2020-01-16,55.938
2020-01-17,56.831
2020-01-18,56.831
2020-01-19,56.831
2020-01-20,56.831
2020-01-21,55.9233
2020-01-22,56.6397
2020-01-23,58.1356
2020-01-24,55.2367
2020-01-25,55.2367
2020-01-26,55.2367
2020-01-27,50.2904
2020-01-28,51.8197
2020-01-29,51.851
2020-01-30,50.8941
2020-01-31,48.7661
2020-02-01,48.7661
2020-02-02,48.7661
2020-02-03,50.7947
2020-02-04,53.5988
2020-02-05,59.28
2020-02-06,58.3092
2020-02-07,58.1333
2020-02-08,58.1333
2020-02-09,58.1333
2020-02-10,57.7728
2020-02-11,67.2165
2020-02-12,65.2987
2020-02-13,65.1301
2020-02-14,66.3352
2020-02-15,66.3352
2020-02-16,66.3352
2020-02-17,66.3352
2020-02-18,67.0215
2020-02-19,66.5179
2020-02-20,67.3694
2020-02-21,62.8981
2020-02-22,62.8981
2020-02-23,62.8981
2020-02-24,54.171
2020-02-25,50.4982
2020-02-26,48.689
2020-02-27,42.9222
2020-02-28,39.4702
2020-02-29,39.4702
2020-03-01,39.4702
2020-03-02,43.1704
2020-03-03,38.2439
2020-03-04,40.1495
2020-03-05,36.1555
2020-03-06,33.6799
2020-03-07,33.6799
2020-03-08,33.6799
2020-03-09,28.151
2020-03-10,34.3637
2020-03-11,31.8189
2020-03-12,28.8457
2020-03-13,34.0226
2020-03-14,34.0226
2020-03-15,34.0226
2020-03-16,30.4657
2020-03-17,32.355
2020-03-18,30.584
2020-03-19,31.3641
2020-03-20,30.6514
2020-03-21,30.6514
2020-03-22,30.6514
2020-03-23,31.4426
2020-03-24,38.0619
2020-03-25,41.4692
2020-03-26,43.8355
2020-03-27,42.7674
2020-03-28,42.7674
2020-03-29,42.7674
2020-03-30,43.0409
2020-03-31,41.8765
2020-04-01,39.4478
2020-04-02,38.8127
2020-04-03,38.2698
2020-04-04,38.2698
2020-04-05,38.2698
2020-04-06,41.8894
2020-04-07,42.1611
2020-04-08,45.1486
2020-04-09,47.3534
2020-04-10,47.3534
2020-04-11,47.3534
2020-04-12,47.3534
2020-04-13,45.5795
2020-04-14,45.3667
2020-04-15,42.1943
2020-04-16,41.5479
2020-04-17,43.3663
2020-04-18,43.3663
2020-04-19,43.3663
2020-04-20,42.3955
2020-04-21,41.0591
2020-04-22,41.8132
2020-04-23,41.8043
2020-04-24,44.0761
2020-04-25,44.0761
2020-04-26,44.0761
2020-04-27,45.5927
2020-04-28,47.5395
2020-04-29,49.6474
2020-04-30,48.0496
2020-05-01,47.0197
2020-05-02,47.0197
2020-05-03,47.0197
2020-05-04,47.6121
2020-05-05,47.7898
2020-05-06,46.4115
2020-05-07,49.7963
2020-05-08,51.7305
2020-05-09,51.7305
2020-05-10,51.7305
2020-05-11,50.9915
2020-05-12,49.6948
2020-05-13,47.4523
2020-05-14,49.0799
2020-05-15,49.499
2020-05-16,49.499
2020-05-17,49.499
2020-05-18,52.8135
2020-05-19,51.4492
2020-05-20,52.317
2020-05-21,52.8686
2020-05-22,51.7175
2020-05-23,51.7175
2020-05-24,51.7175
2020-05-25,51.7175
2020-05-26,54.7119
2020-05-27,54.8604
2020-05-28,53.6895
2020-05-29,52.2663
2020-05-30,52.2663
2020-05-31,52.2663
2020-06-01,53.3946
2020-06-02,53.2617
2020-06-03,55.288
2020-06-04,56.8176
2020-06-05,58.7499
2020-06-06,58.7499
2020-06-07,58.7499
2020-06-08,61.6268
2020-06-09,59.4533
2020-06-10,56.3103
2020-06-11,50.3077
2020-06-12,52.7575
2020-06-13,52.7575
2020-06-14,52.7575
2020-06-15,53.7429
2020-06-16,53.6611
2020-06-17,52.3758
2020-06-18,52.068
2020-06-19,51.6694
2020-06-20,51.6694
2020-06-21,51.6694
2020-06-22,51.5581
2020-06-23,50.8402
2020-06-24,47.956
2020-06-25,48.1987
2020-06-26,45.6159
2020-06-27,45.6159
2020-06-28,45.6159
2020-06-29,46.5983
2020-06-30,47.7203
2020-07-01,45.8333
2020-07-02,46.5664
2020-07-03,46.5664
2020-07-04,46.5664
2020-07-05,46.5664
2020-07-06,47.639
2020-07-07,45.6473
2020-07-08,46.9061
2020-07-09,45.1698
2020-07-10,47.3118
2020-07-11,47.3118
2020-07-12,47.3118
2020-07-13,47.6801
2020-07-14,48.5347
2020-07-15,50.4911
2020-07-16,50.6917
2020-07-17,50.438
2020-07-18,50.438
2020-07-19,50.438
2020-07-20,49.4147
2020-07-21,50.5393
2020-07-22,50.7499
2020-07-23,50.9287
2020-07-24,50.3534
2020-07-25,50.3534
2020-07-26,50.3534
2020-07-27,49.8743
2020-07-28,48.6143
2020-07-29,50.3552
2020-07-30,49.0418
2020-07-31,49.0927
2020-08-01,49.0927
2020-08-02,49.0927
2020-08-03,49.7329
2020-08-04,48.8062
2020-08-05,51.4246
2020-08-06,49.6837
2020-08-07,53.0542
2020-08-08,53.0542
2020-08-09,53.0542
2020-08-10,54.5892
2020-08-11,55.2551
2020-08-12,54.522
