,IPG US Equity
,RSI_30D
2020-01-01,65.467
2020-01-02,60.5054
2020-01-03,60.6636
2020-01-04,60.6636
2020-01-05,60.6636
2020-01-06,62.2283
2020-01-07,62.6129
2020-01-08,63.0796
2020-01-09,64.0091
2020-01-10,63.4582
2020-01-11,63.4582
2020-01-12,63.4582
2020-01-13,65.3113
2020-01-14,67.2444
2020-01-15,68.3918
2020-01-16,67.5282
2020-01-17,70.1891
2020-01-18,70.1891
2020-01-19,70.1891
2020-01-20,70.1891
2020-01-21,68.7673
2020-01-22,64.0681
2020-01-23,62.0626
2020-01-24,60.4715
2020-01-25,60.4715
2020-01-26,60.4715
2020-01-27,57.537
2020-01-28,58.1256
2020-01-29,55.7283
2020-01-30,57.2902
2020-01-31,52.0167
2020-02-01,52.0167
2020-02-02,52.0167
2020-02-03,52.7368
2020-02-04,53.5481
2020-02-05,58.8282
2020-02-06,55.7043
2020-02-07,53.8899
2020-02-08,53.8899
2020-02-09,53.8899
2020-02-10,55.007
2020-02-11,55.7204
2020-02-12,66.3348
2020-02-13,66.7165
2020-02-14,61.4052
2020-02-15,61.4052
2020-02-16,61.4052
2020-02-17,61.4052
2020-02-18,63.3978
2020-02-19,64.038
2020-02-20,63.5076
2020-02-21,59.1179
2020-02-22,59.1179
2020-02-23,59.1179
2020-02-24,55.673
2020-02-25,50.2233
2020-02-26,49.2384
2020-02-27,42.7833
2020-02-28,41.8897
2020-02-29,41.8897
2020-03-01,41.8897
2020-03-02,44.6686
2020-03-03,41.8744
2020-03-04,44.0589
2020-03-05,40.2578
2020-03-06,37.6119
2020-03-07,37.6119
2020-03-08,37.6119
2020-03-09,31.7754
2020-03-10,35.277
2020-03-11,32.9002
2020-03-12,26.728
2020-03-13,35.1895
2020-03-14,35.1895
2020-03-15,35.1895
2020-03-16,31.2719
2020-03-17,32.4745
2020-03-18,31.0328
2020-03-19,29.9605
2020-03-20,27.3832
2020-03-21,27.3832
2020-03-22,27.3832
2020-03-23,28.8263
2020-03-24,35.76
2020-03-25,36.7051
2020-03-26,41.7397
2020-03-27,38.8636
