,SO US Equity
,RSI_30D
2020-01-01,57.8701
2020-01-02,53.5455
2020-01-03,53.3165
2020-01-04,53.3165
2020-01-05,53.3165
2020-01-06,54.1615
2020-01-07,53.4016
2020-01-08,53.3201
2020-01-09,55.6307
2020-01-10,56.9661
2020-01-11,56.9661
2020-01-12,56.9661
2020-01-13,59.725
2020-01-14,60.8463
2020-01-15,62.7116
2020-01-16,64.2339
2020-01-17,66.9518
2020-01-18,66.9518
2020-01-19,66.9518
2020-01-20,66.9518
2020-01-21,68.8492
2020-01-22,69.2316
2020-01-23,70.6008
2020-01-24,71.5531
2020-01-25,71.5531
2020-01-26,71.5531
2020-01-27,72.1367
2020-01-28,72.7347
2020-01-29,72.8319
2020-01-30,74.2571
2020-01-31,71.9155
2020-02-01,71.9155
2020-02-02,71.9155
2020-02-03,72.5133
2020-02-04,66.8242
2020-02-05,64.5218
2020-02-06,63.6763
2020-02-07,61.6528
2020-02-08,61.6528
2020-02-09,61.6528
2020-02-10,61.8166
2020-02-11,62.2336
2020-02-12,62.3187
2020-02-13,64.8338
2020-02-14,65.0982
2020-02-15,65.0982
2020-02-16,65.0982
2020-02-17,65.0982
2020-02-18,66.0998
2020-02-19,62.2574
2020-02-20,65.4164
2020-02-21,61.7622
2020-02-22,61.7622
2020-02-23,61.7622
2020-02-24,56.9834
2020-02-25,53.5949
2020-02-26,51.3436
2020-02-27,42.2695
2020-02-28,37.1048
2020-02-29,37.1048
2020-03-01,37.1048
2020-03-02,46.6567
2020-03-03,46.5951
2020-03-04,54.6384
2020-03-05,54.1409
2020-03-06,52.6322
2020-03-07,52.6322
2020-03-08,52.6322
2020-03-09,44.0818
2020-03-10,43.8626
2020-03-11,38.4411
2020-03-12,32.0487
2020-03-13,35.3534
2020-03-14,35.3534
2020-03-15,35.3534
2020-03-16,29.9738
2020-03-17,42.6775
2020-03-18,42.1117
2020-03-19,38.0218
2020-03-20,34.8547
2020-03-21,34.8547
2020-03-22,34.8547
2020-03-23,32.9003
2020-03-24,39.423
2020-03-25,40.5548
2020-03-26,45.3555
2020-03-27,46.1385
2020-03-28,46.1385
2020-03-29,46.1385
2020-03-30,47.8962
2020-03-31,44.9459
2020-04-01,42.155
2020-04-02,44.1809
2020-04-03,42.7221
2020-04-04,42.7221
2020-04-05,42.7221
2020-04-06,47.0758
2020-04-07,46.8747
2020-04-08,49.323
2020-04-09,50.9656
2020-04-10,50.9656
2020-04-11,50.9656
2020-04-12,50.9656
2020-04-13,48.9722
2020-04-14,49.9651
2020-04-15,47.6355
2020-04-16,47.2181
2020-04-17,48.9631
2020-04-18,48.9631
2020-04-19,48.9631
2020-04-20,47.4973
2020-04-21,47.4746
2020-04-22,48.7849
2020-04-23,48.5827
2020-04-24,49.3899
2020-04-25,49.3899
2020-04-26,49.3899
2020-04-27,50.0443
2020-04-28,49.6722
2020-04-29,49.0525
2020-04-30,48.4722
2020-05-01,46.4132
2020-05-02,46.4132
2020-05-03,46.4132
2020-05-04,46.9259
2020-05-05,47.6472
2020-05-06,45.8407
2020-05-07,46.4633
2020-05-08,47.7069
2020-05-09,47.7069
2020-05-10,47.7069
2020-05-11,48.1295
2020-05-12,47.8395
2020-05-13,46.1249
2020-05-14,47.211
2020-05-15,45.6361
2020-05-16,45.6361
2020-05-17,45.6361
2020-05-18,47.7934
2020-05-19,46.9225
2020-05-20,48.3654
2020-05-21,47.3095
2020-05-22,48.1871
2020-05-23,48.1871
2020-05-24,48.1871
2020-05-25,48.1871
2020-05-26,48.2821
2020-05-27,48.708
2020-05-28,50.975
