,WAT US Equity
,RSI_30D
2020-01-01,61.2586
2020-01-02,62.4178
2020-01-03,57.3215
2020-01-04,57.3215
2020-01-05,57.3215
2020-01-06,54.8835
2020-01-07,57.5987
2020-01-08,51.7477
2020-01-09,53.8578
2020-01-10,55.5644
2020-01-11,55.5644
2020-01-12,55.5644
2020-01-13,53.5358
2020-01-14,56.1563
2020-01-15,57.8752
2020-01-16,60.1773
2020-01-17,61.5098
2020-01-18,61.5098
2020-01-19,61.5098
2020-01-20,61.5098
2020-01-21,64.0544
2020-01-22,64.3063
2020-01-23,61.9949
2020-01-24,57.6297
2020-01-25,57.6297
2020-01-26,57.6297
2020-01-27,53.0944
2020-01-28,55.5424
2020-01-29,53.997
2020-01-30,49.9556
2020-01-31,46.4813
2020-02-01,46.4813
2020-02-02,46.4813
2020-02-03,48.1604
2020-02-04,43.7783
2020-02-05,45.011
2020-02-06,44.6148
2020-02-07,42.9712
2020-02-08,42.9712
2020-02-09,42.9712
2020-02-10,44.3463
2020-02-11,47.3794
2020-02-12,48.2005
2020-02-13,45.7657
2020-02-14,43.0809
2020-02-15,43.0809
2020-02-16,43.0809
2020-02-17,43.0809
2020-02-18,43.4152
2020-02-19,43.5321
2020-02-20,44.0821
2020-02-21,43.4727
2020-02-22,43.4727
2020-02-23,43.4727
2020-02-24,39.7374
2020-02-25,36.3104
2020-02-26,35.9419
2020-02-27,34.1803
2020-02-28,32.4687
2020-02-29,32.4687
2020-03-01,32.4687
2020-03-02,38.7719
2020-03-03,38.1911
2020-03-04,43.1803
2020-03-05,38.7597
2020-03-06,39.4867
2020-03-07,39.4867
2020-03-08,39.4867
2020-03-09,35.6698
2020-03-10,39.6041
2020-03-11,35.0401
2020-03-12,30.1794
2020-03-13,39.1117
2020-03-14,39.1117
2020-03-15,39.1117
2020-03-16,36.2085
2020-03-17,40.2696
2020-03-18,38.517
2020-03-19,38.7773
2020-03-20,37.7053
2020-03-21,37.7053
2020-03-22,37.7053
2020-03-23,34.9073
2020-03-24,42.2271
2020-03-25,41.2118
2020-03-26,46.2497
2020-03-27,44.6104
2020-03-28,44.6104
2020-03-29,44.6104
2020-03-30,45.5267
2020-03-31,43.8817
2020-04-01,43.9711
2020-04-02,45.2619
2020-04-03,43.5623
2020-04-04,43.5623
2020-04-05,43.5623
2020-04-06,46.6103
2020-04-07,47.004
2020-04-08,48.9667
2020-04-09,48.9198
2020-04-10,48.9198
2020-04-11,48.9198
2020-04-12,48.9198
2020-04-13,46.3852
2020-04-14,48.3897
2020-04-15,47.1024
2020-04-16,48.2938
2020-04-17,49.7932
2020-04-18,49.7932
2020-04-19,49.7932
2020-04-20,48.7707
2020-04-21,46.0222
2020-04-22,47.7101
2020-04-23,47.8566
2020-04-24,48.0492
2020-04-25,48.0492
2020-04-26,48.0492
2020-04-27,49.3479
