,STBA US Equity
,RSI_30D
2020-01-01,63.2338
2020-01-02,64.2977
2020-01-03,63.8201
2020-01-04,63.8201
2020-01-05,63.8201
2020-01-06,62.5834
2020-01-07,59.7552
2020-01-08,61.5526
2020-01-09,61.3193
2020-01-10,59.4543
2020-01-11,59.4543
2020-01-12,59.4543
2020-01-13,61.0518
2020-01-14,58.787
2020-01-15,57.0422
2020-01-16,58.8787
2020-01-17,57.8552
2020-01-18,57.8552
2020-01-19,57.8552
2020-01-20,57.8552
2020-01-21,54.0297
2020-01-22,53.392
2020-01-23,54.6014
2020-01-24,51.4916
2020-01-25,51.4916
2020-01-26,51.4916
2020-01-27,48.6265
2020-01-28,47.3644
2020-01-29,46.4172
2020-01-30,50.0097
2020-01-31,45.0825
2020-02-01,45.0825
2020-02-02,45.0825
2020-02-03,46.6256
2020-02-04,49.1078
2020-02-05,52.7793
2020-02-06,51.4826
2020-02-07,48.9922
2020-02-08,48.9922
2020-02-09,48.9922
2020-02-10,48.9922
2020-02-11,50.5104
2020-02-12,50.5583
2020-02-13,50.8536
2020-02-14,48.7449
2020-02-15,48.7449
2020-02-16,48.7449
2020-02-17,48.7449
2020-02-18,47.0858
2020-02-19,46.7755
2020-02-20,48.2412
2020-02-21,47.2443
2020-02-22,47.2443
2020-02-23,47.2443
2020-02-24,42.7231
2020-02-25,39.2677
2020-02-26,37.2154
2020-02-27,34.6327
2020-02-28,30.2844
2020-02-29,30.2844
2020-03-01,30.2844
2020-03-02,38.6072
2020-03-03,35.3404
2020-03-04,38.0725
2020-03-05,34.8782
2020-03-06,33.239
2020-03-07,33.239
2020-03-08,33.239
2020-03-09,27.8123
2020-03-10,29.5902
2020-03-11,26.9227
2020-03-12,23.4272
2020-03-13,31.6852
2020-03-14,31.6852
2020-03-15,31.6852
2020-03-16,28.7917
2020-03-17,38.6692
2020-03-18,35.6306
2020-03-19,36.9672
2020-03-20,35.3473
2020-03-21,35.3473
2020-03-22,35.3473
2020-03-23,33.6776
2020-03-24,36.4928
2020-03-25,36.8205
2020-03-26,42.0575
2020-03-27,40.1724
2020-03-28,40.1724
2020-03-29,40.1724
2020-03-30,40.6868
2020-03-31,40.7071
2020-04-01,38.7338
2020-04-02,39.8646
2020-04-03,38.7946
2020-04-04,38.7946
2020-04-05,38.7946
2020-04-06,39.886
2020-04-07,39.2054
2020-04-08,41.9182
2020-04-09,46.6499
2020-04-10,46.6499
2020-04-11,46.6499
2020-04-12,46.6499
2020-04-13,44.3375
2020-04-14,43.9199
2020-04-15,41.277
2020-04-16,40.5095
2020-04-17,42.1778
2020-04-18,42.1778
2020-04-19,42.1778
2020-04-20,42.2576
2020-04-21,41.707
2020-04-22,41.2264
2020-04-23,41.6395
2020-04-24,41.465
2020-04-25,41.465
2020-04-26,41.465
2020-04-27,45.1409
2020-04-28,46.4905
2020-04-29,49.1941
2020-04-30,44.9545
2020-05-01,43.1916
2020-05-02,43.1916
2020-05-03,43.1916
2020-05-04,42.1272
2020-05-05,41.4135
2020-05-06,40.6709
2020-05-07,40.5057
2020-05-08,42.7801
2020-05-09,42.7801
2020-05-10,42.7801
2020-05-11,40.5007
2020-05-12,37.628
2020-05-13,36.517
2020-05-14,36.6763
2020-05-15,37.1656
2020-05-16,37.1656
2020-05-17,37.1656
2020-05-18,41.74
2020-05-19,40.272
2020-05-20,42.5837
2020-05-21,42.0279
2020-05-22,41.8709
2020-05-23,41.8709
2020-05-24,41.8709
2020-05-25,41.8709
2020-05-26,43.5933
2020-05-27,46.7736
2020-05-28,44.2909
