,WBA US Equity
,RSI_30D
2020-01-01,56.9666
2020-01-02,57.2825
2020-01-03,57.2825
2020-01-04,57.2825
2020-01-05,57.2825
2020-01-06,58.6625
2020-01-07,57.5315
2020-01-08,46.7725
2020-01-09,43.9467
2020-01-10,42.8749
2020-01-11,42.8749
2020-01-12,42.8749
2020-01-13,42.5019
2020-01-14,44.2577
2020-01-15,43.7884
2020-01-16,43.7631
2020-01-17,43.737
2020-01-18,43.737
2020-01-19,43.737
2020-01-20,43.737
2020-01-21,42.3264
2020-01-22,41.1815
2020-01-23,40.8764
2020-01-24,37.8326
2020-01-25,37.8326
2020-01-26,37.8326
2020-01-27,38.5465
2020-01-28,40.5893
2020-01-29,39.3589
2020-01-30,38.5608
2020-01-31,36.0407
2020-02-01,36.0407
2020-02-02,36.0407
2020-02-03,36.4314
2020-02-04,41.5642
2020-02-05,43.7283
2020-02-06,45.3954
2020-02-07,44.7235
2020-02-08,44.7235
2020-02-09,44.7235
2020-02-10,45.3262
2020-02-11,44.1369
2020-02-12,48.91
2020-02-13,46.4152
2020-02-14,44.5352
2020-02-15,44.5352
2020-02-16,44.5352
2020-02-17,44.5352
2020-02-18,43.1853
2020-02-19,43.8793
2020-02-20,43.3575
2020-02-21,42.2656
2020-02-22,42.2656
2020-02-23,42.2656
2020-02-24,36.7494
2020-02-25,33.8766
2020-02-26,34.4347
2020-02-27,31.942
2020-02-28,31.1587
2020-02-29,31.1587
2020-03-01,31.1587
2020-03-02,38.7635
2020-03-03,35.3433
2020-03-04,42.1612
2020-03-05,42.3813
2020-03-06,46.4348
2020-03-07,46.4348
2020-03-08,46.4348
2020-03-09,42.7152
2020-03-10,44.3201
2020-03-11,39.4174
2020-03-12,33.2071
2020-03-13,42.7584
2020-03-14,42.7584
2020-03-15,42.7584
2020-03-16,41.4422
2020-03-17,48.1639
2020-03-18,52.1953
2020-03-19,47.16
2020-03-20,44.9186
2020-03-21,44.9186
2020-03-22,44.9186
2020-03-23,42.1826
2020-03-24,44.2334
2020-03-25,40.7589
2020-03-26,45.6611
2020-03-27,44.1684
2020-03-28,44.1684
2020-03-29,44.1684
2020-03-30,45.4498
2020-03-31,46.1007
2020-04-01,43.6186
2020-04-02,41.3252
2020-04-03,41.7925
2020-04-04,41.7925
2020-04-05,41.7925
2020-04-06,43.9957
2020-04-07,44.2016
2020-04-08,44.5298
2020-04-09,45.5822
2020-04-10,45.5822
2020-04-11,45.5822
2020-04-12,45.5822
2020-04-13,45.7378
2020-04-14,48.4021
2020-04-15,45.4144
2020-04-16,45.2082
2020-04-17,46.7216
2020-04-18,46.7216
2020-04-19,46.7216
2020-04-20,45.0493
2020-04-21,44.748
2020-04-22,45.6997
2020-04-23,45.9405
2020-04-24,46.2519
2020-04-25,46.2519
2020-04-26,46.2519
2020-04-27,47.1574
2020-04-28,47.4494
2020-04-29,48.4013
2020-04-30,45.894
2020-05-01,44.0357
2020-05-02,44.0357
2020-05-03,44.0357
2020-05-04,45.1492
2020-05-05,44.649
2020-05-06,43.694
2020-05-07,43.0665
2020-05-08,44.6058
2020-05-09,44.6058
2020-05-10,44.6058
2020-05-11,44.6671
2020-05-12,43.2081
2020-05-13,40.6694
2020-05-14,41.4851
2020-05-15,40.9608
2020-05-16,40.9608
