,CRD/A US Equity
,RSI_30D
2020-01-01,58.9652
2020-01-02,55.0187
2020-01-03,52.9467
2020-01-04,52.9467
2020-01-05,52.9467
2020-01-06,51.8588
2020-01-07,50.629
2020-01-08,51.2272
2020-01-09,49.6706
2020-01-10,41.0292
2020-01-11,41.0292
2020-01-12,41.0292
2020-01-13,40.166
2020-01-14,39.9487
2020-01-15,39.8372
2020-01-16,43.2766
2020-01-17,42.4399
2020-01-18,42.4399
2020-01-19,42.4399
2020-01-20,42.4399
2020-01-21,43.0903
2020-01-22,41.2809
2020-01-23,42.119
2020-01-24,41.0286
2020-01-25,41.0286
2020-01-26,41.0286
2020-01-27,30.5679
2020-01-28,32.8771
2020-01-29,32.1399
2020-01-30,31.6988
2020-01-31,30.198
2020-02-01,30.198
2020-02-02,30.198
2020-02-03,33.898
2020-02-04,32.7025
2020-02-05,38.7119
2020-02-06,37.8182
2020-02-07,37.4926
2020-02-08,37.4926
2020-02-09,37.4926
2020-02-10,36.7561
2020-02-11,36.024
2020-02-12,37.873
2020-02-13,39.1329
2020-02-14,37.8962
2020-02-15,37.8962
2020-02-16,37.8962
2020-02-17,37.8962
2020-02-18,37.5455
2020-02-19,36.3283
2020-02-20,35.6452
2020-02-21,32.7029
2020-02-22,32.7029
2020-02-23,32.7029
2020-02-24,31.8217
2020-02-25,30.8194
2020-02-26,29.3713
2020-02-27,26.216
2020-02-28,28.2105
2020-02-29,28.2105
2020-03-01,28.2105
2020-03-02,31.5949
2020-03-03,29.3542
2020-03-04,30.6266
2020-03-05,28.3929
2020-03-06,36.689
2020-03-07,36.689
2020-03-08,36.689
2020-03-09,32.8156
2020-03-10,36.0397
2020-03-11,34.2811
2020-03-12,31.0001
2020-03-13,39.074
2020-03-14,39.074
2020-03-15,39.074
2020-03-16,36.7236
2020-03-17,38.7936
2020-03-18,35.6563
2020-03-19,39.8377
2020-03-20,38.5422
2020-03-21,38.5422
2020-03-22,38.5422
2020-03-23,40.6854
