,ULH US Equity
,RSI_30D
2020-01-01,36.6256
2020-01-02,35.1386
2020-01-03,36.0341
2020-01-04,36.0341
2020-01-05,36.0341
2020-01-06,36.4576
2020-01-07,36.422
2020-01-08,37.8671
2020-01-09,38.6202
2020-01-10,37.6371
2020-01-11,37.6371
2020-01-12,37.6371
2020-01-13,37.1287
2020-01-14,37.5316
2020-01-15,37.3254
2020-01-16,41.013
2020-01-17,41.1433
2020-01-18,41.1433
2020-01-19,41.1433
2020-01-20,41.1433
2020-01-21,39.7801
2020-01-22,38.1666
2020-01-23,37.7387
2020-01-24,35.6308
2020-01-25,35.6308
2020-01-26,35.6308
2020-01-27,34.3092
2020-01-28,35.187
2020-01-29,34.3173
2020-01-30,33.6525
2020-01-31,31.8502
2020-02-01,31.8502
2020-02-02,31.8502
2020-02-03,32.7812
2020-02-04,33.3309
2020-02-05,38.186
2020-02-06,38.186
2020-02-07,46.8523
2020-02-08,46.8523
2020-02-09,46.8523
2020-02-10,48.4466
2020-02-11,46.3629
2020-02-12,46.1672
2020-02-13,45.0368
2020-02-14,43.1366
2020-02-15,43.1366
2020-02-16,43.1366
2020-02-17,43.1366
2020-02-18,43.0896
2020-02-19,44.3447
2020-02-20,47.3478
2020-02-21,45.9624
2020-02-22,45.9624
2020-02-23,45.9624
2020-02-24,41.7498
2020-02-25,37.485
2020-02-26,36.1753
2020-02-27,34.8477
2020-02-28,33.3291
2020-02-29,33.3291
2020-03-01,33.3291
2020-03-02,33.2646
2020-03-03,32.0766
2020-03-04,33.924
2020-03-05,32.332
2020-03-06,36.1884
2020-03-07,36.1884
2020-03-08,36.1884
2020-03-09,31.7403
2020-03-10,32.859
2020-03-11,30.6953
2020-03-12,26.9943
2020-03-13,33.5138
2020-03-14,33.5138
2020-03-15,33.5138
2020-03-16,32.2965
2020-03-17,41.2555
2020-03-18,36.6289
2020-03-19,35.1761
2020-03-20,34.0661
2020-03-21,34.0661
2020-03-22,34.0661
2020-03-23,34.6194
2020-03-24,38.4011
2020-03-25,39.6771
2020-03-26,41.5038
2020-03-27,39.9812
2020-03-28,39.9812
2020-03-29,39.9812
2020-03-30,41.7289
2020-03-31,41.1721
2020-04-01,39.5825
2020-04-02,41.0898
2020-04-03,38.9797
2020-04-04,38.9797
2020-04-05,38.9797
2020-04-06,41.0903
2020-04-07,40.4171
2020-04-08,41.5544
2020-04-09,42.9357
2020-04-10,42.9357
2020-04-11,42.9357
2020-04-12,42.9357
2020-04-13,42.634
2020-04-14,40.6974
2020-04-15,40.2249
2020-04-16,39.3325
2020-04-17,42.107
2020-04-18,42.107
2020-04-19,42.107
2020-04-20,41.7454
2020-04-21,42.2584
2020-04-22,44.1373
2020-04-23,45.6245
2020-04-24,44.3103
2020-04-25,44.3103
2020-04-26,44.3103
2020-04-27,48.3758
2020-04-28,49.5765
2020-04-29,51.0896
2020-04-30,48.4176
2020-05-01,49.2077
2020-05-02,49.2077
2020-05-03,49.2077
2020-05-04,45.683
2020-05-05,45.7906
2020-05-06,45.4183
2020-05-07,45.4183
2020-05-08,46.4282
2020-05-09,46.4282
2020-05-10,46.4282
2020-05-11,44.7799
2020-05-12,43.846
2020-05-13,43.2666
2020-05-14,42.5873
2020-05-15,42.099
2020-05-16,42.099
2020-05-17,42.099
2020-05-18,46.6551
2020-05-19,44.9607
2020-05-20,46.5667
2020-05-21,47.711
2020-05-22,48.5752
2020-05-23,48.5752
2020-05-24,48.5752
2020-05-25,48.5752
2020-05-26,52.3525
2020-05-27,54.6176
2020-05-28,54.9154
2020-05-29,53.7398
2020-05-30,53.7398
2020-05-31,53.7398
2020-06-01,53.9508
2020-06-02,54.7339
2020-06-03,59.7543
2020-06-04,60.9881
2020-06-05,62.7465
2020-06-06,62.7465
2020-06-07,62.7465
2020-06-08,61.4482
2020-06-09,61.2673
2020-06-10,59.8993
2020-06-11,53.3661
2020-06-12,53.0649
2020-06-13,53.0649
2020-06-14,53.0649
2020-06-15,53.5397
2020-06-16,53.5397
2020-06-17,53.5756
2020-06-18,53.6497
2020-06-19,55.2743
2020-06-20,55.2743
2020-06-21,55.2743
2020-06-22,56.0707
2020-06-23,57.7
2020-06-24,55.2132
2020-06-25,56.8176
2020-06-26,55.7164
2020-06-27,55.7164
2020-06-28,55.7164
2020-06-29,58.523
2020-06-30,58.9878
2020-07-01,58.4075
2020-07-02,58.1118
2020-07-03,58.1118
2020-07-04,58.1118
2020-07-05,58.1118
2020-07-06,58.9362
2020-07-07,57.9613
2020-07-08,56.9358
2020-07-09,56.1648
2020-07-10,57.7433
2020-07-11,57.7433
2020-07-12,57.7433
2020-07-13,57.6896
2020-07-14,58.3708
2020-07-15,60.827
2020-07-16,56.8679
2020-07-17,59.7973
2020-07-18,59.7973
2020-07-19,59.7973
2020-07-20,58.4967
2020-07-21,60.2497
2020-07-22,60.601
2020-07-23,57.9517
2020-07-24,55.1104
2020-07-25,55.1104
2020-07-26,55.1104
2020-07-27,56.8017
2020-07-28,55.959
2020-07-29,57.531
2020-07-30,56.6133
2020-07-31,58.3322
2020-08-01,58.3322
2020-08-02,58.3322
2020-08-03,58.6336
2020-08-04,57.769
2020-08-05,58.0887
2020-08-06,58.4547
2020-08-07,60.1352
2020-08-08,60.1352
2020-08-09,60.1352
2020-08-10,61.8821
2020-08-11,62.0318
2020-08-12,65.2112
