,FUN US Equity
,RSI_30D
2020-01-01,47.3353
2020-01-02,47.058
2020-01-03,49.3235
2020-01-04,49.3235
2020-01-05,49.3235
2020-01-06,49.6634
2020-01-07,47.9982
2020-01-08,46.878
2020-01-09,45.5306
2020-01-10,43.6193
2020-01-11,43.6193
2020-01-12,43.6193
2020-01-13,41.8661
2020-01-14,42.0001
2020-01-15,50.93
2020-01-16,46.588
2020-01-17,47.0757
2020-01-18,47.0757
2020-01-19,47.0757
2020-01-20,47.0757
2020-01-21,48.2624
2020-01-22,46.4864
2020-01-23,48.6171
2020-01-24,47.526
2020-01-25,47.526
2020-01-26,47.526
2020-01-27,46.324
2020-01-28,46.165
2020-01-29,48.6091
2020-01-30,46.8363
2020-01-31,45.1638
2020-02-01,45.1638
2020-02-02,45.1638
2020-02-03,44.4512
2020-02-04,43.5549
2020-02-05,47.1653
2020-02-06,47.2755
2020-02-07,46.7378
2020-02-08,46.7378
2020-02-09,46.7378
2020-02-10,47.0493
2020-02-11,46.6261
2020-02-12,45.5318
2020-02-13,45.0031
2020-02-14,47.2423
2020-02-15,47.2423
2020-02-16,47.2423
2020-02-17,47.2423
2020-02-18,45.4368
2020-02-19,46.9878
2020-02-20,43.6893
2020-02-21,41.682
2020-02-22,41.682
2020-02-23,41.682
2020-02-24,34.6718
2020-02-25,30.1675
2020-02-26,25.4779
2020-02-27,25.8941
2020-02-28,29.4156
2020-02-29,29.4156
2020-03-01,29.4156
2020-03-02,26.6944
2020-03-03,23.7212
2020-03-04,32.1985
2020-03-05,26.661
2020-03-06,26.2181
2020-03-07,26.2181
2020-03-08,26.2181
2020-03-09,21.8086
2020-03-10,21.6249
2020-03-11,19.9925
2020-03-12,15.9309
2020-03-13,26.399
2020-03-14,26.399
2020-03-15,26.399
2020-03-16,22.2943
2020-03-17,21.747
2020-03-18,20.1544
2020-03-19,23.4063
2020-03-20,27.0844
2020-03-21,27.0844
2020-03-22,27.0844
2020-03-23,27.3609
2020-03-24,31.9899
2020-03-25,37.0377
2020-03-26,36.298
2020-03-27,34.79
2020-03-28,34.79
2020-03-29,34.79
2020-03-30,32.8324
2020-03-31,32.2225
2020-04-01,31.4862
2020-04-02,31.2117
2020-04-03,31.0425
2020-04-04,31.0425
2020-04-05,31.0425
2020-04-06,34.1976
2020-04-07,34.1065
2020-04-08,33.8797
2020-04-09,38.0419
2020-04-10,38.0419
2020-04-11,38.0419
2020-04-12,38.0419
2020-04-13,37.3964
2020-04-14,40.8865
2020-04-15,40.4297
2020-04-16,39.803
2020-04-17,41.5125
2020-04-18,41.5125
2020-04-19,41.5125
2020-04-20,43.7503
2020-04-21,43.9551
2020-04-22,45.1036
2020-04-23,46.6749
2020-04-24,46.1344
2020-04-25,46.1344
2020-04-26,46.1344
2020-04-27,48.4261
2020-04-28,47.9297
2020-04-29,48.7895
2020-04-30,47.5082
2020-05-01,46.2926
2020-05-02,46.2926
2020-05-03,46.2926
2020-05-04,45.3204
2020-05-05,45.4716
2020-05-06,44.1864
2020-05-07,43.6632
2020-05-08,47.5563
2020-05-09,47.5563
2020-05-10,47.5563
2020-05-11,46.2788
2020-05-12,44.8204
2020-05-13,43.8194
2020-05-14,43.6618
2020-05-15,44.4609
2020-05-16,44.4609
2020-05-17,44.4609
2020-05-18,49.2498
2020-05-19,48.7254
2020-05-20,50.1291
2020-05-21,51.4793
2020-05-22,53.2855
2020-05-23,53.2855
2020-05-24,53.2855
2020-05-25,53.2855
2020-05-26,56.1437
2020-05-27,54.1071
2020-05-28,53.6709
2020-05-29,52.2111
2020-05-30,52.2111
2020-05-31,52.2111
2020-06-01,52.8397
2020-06-02,52.9582
2020-06-03,56.1611
2020-06-04,56.4016
2020-06-05,58.0669
2020-06-06,58.0669
2020-06-07,58.0669
2020-06-08,60.0161
2020-06-09,58.4481
2020-06-10,55.0247
2020-06-11,51.5074
2020-06-12,52.5904
2020-06-13,52.5904
2020-06-14,52.5904
2020-06-15,53.5284
2020-06-16,54.128
2020-06-17,53.6016
2020-06-18,53.505
2020-06-19,51.6078
2020-06-20,51.6078
2020-06-21,51.6078
2020-06-22,50.8642
2020-06-23,51.1949
2020-06-24,47.7014
2020-06-25,46.6619
2020-06-26,45.2486
2020-06-27,45.2486
2020-06-28,45.2486
2020-06-29,44.5805
2020-06-30,44.3588
2020-07-01,45.435
2020-07-02,45.5455
2020-07-03,45.5455
2020-07-04,45.5455
2020-07-05,45.5455
2020-07-06,45.9661
2020-07-07,45.0388
2020-07-08,44.7046
2020-07-09,43.1053
2020-07-10,45.371
2020-07-11,45.371
2020-07-12,45.371
2020-07-13,43.3516
2020-07-14,43.2027
2020-07-15,46.5511
2020-07-16,45.1185
2020-07-17,44.3634
2020-07-18,44.3634
2020-07-19,44.3634
2020-07-20,44.5767
2020-07-21,46.4691
2020-07-22,46.0435
2020-07-23,46.08
2020-07-24,45.4755
2020-07-25,45.4755
2020-07-26,45.4755
2020-07-27,44.3047
2020-07-28,42.9296
2020-07-29,41.9755
2020-07-30,40.9592
2020-07-31,40.4672
2020-08-01,40.4672
2020-08-02,40.4672
2020-08-03,40.0899
2020-08-04,43.8995
2020-08-05,43.8176
2020-08-06,45.0684
2020-08-07,46.7117
2020-08-08,46.7117
2020-08-09,46.7117
2020-08-10,47.9951
2020-08-11,49.6093
2020-08-12,48.7778
2020-08-13,50.4558
2020-08-14,50.3543
2020-08-15,50.3543
2020-08-16,50.3543
2020-08-17,49.8148
2020-08-18,49.0825
2020-08-19,48.8491
2020-08-20,49.2126
2020-08-21,49.2126
2020-08-22,49.2126
2020-08-23,49.2126
2020-08-24,50.1136
2020-08-25,51.3587
2020-08-26,50.8141
2020-08-27,53.0832
2020-08-28,57.0362
2020-08-29,57.0362
2020-08-30,57.0362
2020-08-31,52.3961
2020-09-01,51.3721
2020-09-02,51.6761
2020-09-03,49.4603
2020-09-04,51.628
2020-09-05,51.628
2020-09-06,51.628
2020-09-07,51.628
2020-09-08,51.9327
2020-09-09,51.1471
2020-09-10,49.2553
2020-09-11,48.2747
2020-09-12,48.2747
2020-09-13,48.2747
2020-09-14,51.1303
2020-09-15,51.358
2020-09-16,53.4878
2020-09-17,52.7583
2020-09-18,52.987
2020-09-19,52.987
2020-09-20,52.987
2020-09-21,49.9594
2020-09-22,48.9784
2020-09-23,47.8175
2020-09-24,46.7188
2020-09-25,48.4902
2020-09-26,48.4902
2020-09-27,48.4902
2020-09-28,50.1542
2020-09-29,47.1464
2020-09-30,48.8343
2020-10-01,48.6424
2020-10-02,49.6403
2020-10-03,49.6403
2020-10-04,49.6403
2020-10-05,47.6982
2020-10-06,46.5768
2020-10-07,48.5472
2020-10-08,48.5221
2020-10-09,49.3325
2020-10-10,49.3325
2020-10-11,49.3325
2020-10-12,47.6512
2020-10-13,44.4226
2020-10-14,44.2144
2020-10-15,44.2445
2020-10-16,42.6074
2020-10-17,42.6074
2020-10-18,42.6074
2020-10-19,42.0246
2020-10-20,42.5126
2020-10-21,42.9104
2020-10-22,47.3972
2020-10-23,48.964
2020-10-24,48.964
2020-10-25,48.964
2020-10-26,46.699
2020-10-27,45.0259
2020-10-28,42.564
2020-10-29,44.6316
2020-10-30,46.0785
2020-10-31,46.0785
2020-11-01,46.0785
2020-11-02,46.6961
2020-11-03,50.8041
2020-11-04,51.5864
2020-11-05,54.0556
2020-11-06,54.7139
2020-11-07,54.7139
2020-11-08,54.7139
2020-11-09,67.4272
2020-11-10,65.6572
2020-11-11,59.8235
2020-11-12,58.2644
2020-11-13,60.0741
2020-11-14,60.0741
2020-11-15,60.0741
2020-11-16,62.4003
2020-11-17,62.7372
2020-11-18,63.7998
2020-11-19,65.0348
2020-11-20,65.3172
2020-11-21,65.3172
2020-11-22,65.3172
2020-11-23,66.1786
2020-11-24,66.9482
2020-11-25,67.2933
2020-11-26,67.2933
2020-11-27,67.7224
2020-11-28,67.7224
2020-11-29,67.7224
2020-11-30,64.2093
2020-12-01,65.1657
2020-12-02,66.6198
2020-12-03,66.7578
2020-12-04,65.1417
2020-12-05,65.1417
2020-12-06,65.1417
2020-12-07,65.1567
2020-12-08,65.977
2020-12-09,66.2811
2020-12-10,63.24
2020-12-11,61.8016
2020-12-12,61.8016
2020-12-13,61.8016
2020-12-14,61.4613
2020-12-15,61.1999
2020-12-16,61.0804
2020-12-17,61.4887
2020-12-18,60.5808
2020-12-19,60.5808
2020-12-20,60.5808
2020-12-21,58.6054
2020-12-22,57.5439
2020-12-23,61.7795
2020-12-24,61.3209
2020-12-25,61.3209
2020-12-26,61.3209
2020-12-27,61.3209
2020-12-28,61.6351
2020-12-29,60.4912
2020-12-30,62.2238
2020-12-31,61.0326
2021-01-01,61.0326
2021-01-02,61.0326
2021-01-03,61.0326
2021-01-04,61.6484
2021-01-05,63.8174
2021-01-06,65.2232
2021-01-07,65.4061
2021-01-08,64.5629
2021-01-09,64.5629
2021-01-10,64.5629
2021-01-11,65.3146
2021-01-12,65.5087
2021-01-13,65.3574
2021-01-14,65.6854
2021-01-15,63.8484
2021-01-16,63.8484
2021-01-17,63.8484
2021-01-18,63.8484
2021-01-19,64.3531
2021-01-20,64.4201
2021-01-21,62.5546
2021-01-22,61.79
2021-01-23,61.79
2021-01-24,61.79
2021-01-25,62.5379
2021-01-26,59.6397
2021-01-27,52.1104
2021-01-28,57.1634
2021-01-29,55.9788
2021-01-30,55.9788
2021-01-31,55.9788
2021-02-01,56.2258
2021-02-02,60.2407
2021-02-03,61.1309
2021-02-04,64.9224
2021-02-05,63.2613
2021-02-06,63.2613
2021-02-07,63.2613
2021-02-08,64.2629
2021-02-09,63.7634
2021-02-10,62.8537
2021-02-11,59.35
2021-02-12,59.5659
2021-02-13,59.5659
2021-02-14,59.5659
2021-02-15,59.5659
2021-02-16,60.9601
2021-02-17,64.2015
2021-02-18,65.0387
2021-02-19,66.3993
2021-02-20,66.3993
2021-02-21,66.3993
2021-02-22,68.8732
2021-02-23,67.7195
2021-02-24,69.2849
2021-02-25,68.8703
2021-02-26,69.8502
2021-02-27,69.8502
2021-02-28,69.8502
2021-03-01,70.5949
2021-03-02,69.4718
2021-03-03,71.8757
2021-03-04,68.6126
2021-03-05,69.2426
2021-03-06,69.2426
2021-03-07,69.2426
2021-03-08,69.7482
2021-03-09,65.369
2021-03-10,61.7296
2021-03-11,64.3728
2021-03-12,67.504
2021-03-13,67.504
2021-03-14,67.504
2021-03-15,67.9588
2021-03-16,65.3854
2021-03-17,65.0923
2021-03-18,61.6612
2021-03-19,59.5766
2021-03-20,59.5766
2021-03-21,59.5766
2021-03-22,57.7155
2021-03-23,55.059
2021-03-24,54.4718
2021-03-25,58.7224
2021-03-26,58.6971
2021-03-27,58.6971
2021-03-28,58.6971
2021-03-29,55.953
2021-03-30,58.0378
2021-03-31,58.3983
2021-04-01,58.2688
2021-04-02,58.2688
2021-04-03,58.2688
2021-04-04,58.2688
2021-04-05,56.3809
2021-04-06,56.7581
2021-04-07,58.1761
2021-04-08,56.8896
2021-04-09,57.4973
2021-04-10,57.4973
2021-04-11,57.4973
2021-04-12,53.4447
2021-04-13,54.6115
2021-04-14,53.3294
2021-04-15,52.5289
2021-04-16,55.7896
2021-04-17,55.7896
2021-04-18,55.7896
2021-04-19,55.6076
2021-04-20,56.1153
2021-04-21,57.1915
2021-04-22,57.6966
2021-04-23,57.9744
2021-04-24,57.9744
2021-04-25,57.9744
2021-04-26,55.0132
2021-04-27,56.4865
2021-04-28,54.1782
2021-04-29,53.497
2021-04-30,54.5377
2021-05-01,54.5377
2021-05-02,54.5377
2021-05-03,55.3367
2021-05-04,55.2186
2021-05-05,52.2208
2021-05-06,51.8012
2021-05-07,51.5157
2021-05-08,51.5157
2021-05-09,51.5157
2021-05-10,47.8089
2021-05-11,48.2339
2021-05-12,43.9852
2021-05-13,45.2612
2021-05-14,47.3208
2021-05-15,47.3208
2021-05-16,47.3208
2021-05-17,46.9453
2021-05-18,48.1095
2021-05-19,46.4631
2021-05-20,47.337
2021-05-21,47.0457
2021-05-22,47.0457
2021-05-23,47.0457
2021-05-24,45.9035
2021-05-25,44.6516
2021-05-26,45.736
2021-05-27,45.1971
2021-05-28,44.2797
2021-05-29,44.2797
2021-05-30,44.2797
2021-05-31,44.2797
2021-06-01,50.9185
2021-06-02,48.9091
2021-06-03,46.8648
2021-06-04,46.9237
2021-06-05,46.9237
2021-06-06,46.9237
2021-06-07,46.8968
2021-06-08,46.9282
2021-06-09,45.2119
2021-06-10,47.4871
2021-06-11,47.6771
2021-06-12,47.6771
2021-06-13,47.6771
2021-06-14,46.5166
2021-06-15,46.2546
2021-06-16,47.8747
2021-06-17,45.7923
2021-06-18,43.9286
2021-06-19,43.9286
2021-06-20,43.9286
2021-06-21,52.0628
2021-06-22,49.3351
2021-06-23,49.4469
2021-06-24,49.5046
2021-06-25,49.33
2021-06-26,49.33
2021-06-27,49.33
2021-06-28,45.3077
2021-06-29,45.1772
2021-06-30,44.8564
2021-07-01,46.4304
2021-07-02,47.3056
2021-07-03,47.3056
2021-07-04,47.3056
2021-07-05,47.3056
2021-07-06,46.8075
2021-07-07,46.4799
2021-07-08,44.1549
2021-07-09,47.0328
2021-07-10,47.0328
2021-07-11,47.0328
2021-07-12,44.545
2021-07-13,42.1843
2021-07-14,42.4995
2021-07-15,42.1037
2021-07-16,40.2921
2021-07-17,40.2921
2021-07-18,40.2921
2021-07-19,34.5383
2021-07-20,40.9628
2021-07-21,41.2718
2021-07-22,41.7761
2021-07-23,40.9798
2021-07-24,40.9798
2021-07-25,40.9798
2021-07-26,41.7348
2021-07-27,40.6359
2021-07-28,45.0909
2021-07-29,45.1517
2021-07-30,42.2468
2021-07-31,42.2468
2021-08-01,42.2468
2021-08-02,42.8177
2021-08-03,41.4975
2021-08-04,41.007
2021-08-05,49.3777
2021-08-06,51.7469
2021-08-07,51.7469
2021-08-08,51.7469
2021-08-09,46.5726
2021-08-10,46.3307
2021-08-11,50.5115
2021-08-12,49.1604
2021-08-13,51.8049
2021-08-14,51.8049
2021-08-15,51.8049
2021-08-16,51.6623
2021-08-17,50.2323
2021-08-18,49.5233
2021-08-19,45.9453
2021-08-20,48.8823
2021-08-21,48.8823
2021-08-22,48.8823
2021-08-23,48.7265
2021-08-24,51.1438
2021-08-25,53.7843
2021-08-26,52.1257
2021-08-27,52.2563
2021-08-28,52.2563
2021-08-29,52.2563
2021-08-30,48.2837
2021-08-31,49.3534
2021-09-01,49.152
2021-09-02,49.3658
2021-09-03,48.6604
2021-09-04,48.6604
2021-09-05,48.6604
2021-09-06,48.6604
2021-09-07,49.062
2021-09-08,48.9382
2021-09-09,49.7253
2021-09-10,51.5534
2021-09-11,51.5534
2021-09-12,51.5534
2021-09-13,52.6326
2021-09-14,48.8863
2021-09-15,49.6384
2021-09-16,49.5084
2021-09-17,50.7095
2021-09-18,50.7095
2021-09-19,50.7095
2021-09-20,51.0575
2021-09-21,49.9355
2021-09-22,50.1903
2021-09-23,53.0982
2021-09-24,53.5482
2021-09-25,53.5482
2021-09-26,53.5482
2021-09-27,55.6948
2021-09-28,54.1358
2021-09-29,53.181
2021-09-30,54.8293
2021-10-01,58.6434
2021-10-02,58.6434
2021-10-03,58.6434
2021-10-04,53.6033
2021-10-05,52.5798
2021-10-06,50.3232
2021-10-07,51.3517
2021-10-08,50.3541
2021-10-09,50.3541
2021-10-10,50.3541
2021-10-11,50.5689
2021-10-12,50.8166
2021-10-13,51.5146
2021-10-14,54.9289
2021-10-15,54.5286
2021-10-16,54.5286
2021-10-17,54.5286
2021-10-18,53.1117
2021-10-19,51.4288
2021-10-20,53.3669
2021-10-21,56.6904
2021-10-22,57.4742
2021-10-23,57.4742
2021-10-24,57.4742
2021-10-25,56.8932
2021-10-26,55.2872
2021-10-27,52.2364
2021-10-28,49.5493
2021-10-29,52.4775
2021-10-30,52.4775
2021-10-31,52.4775
2021-11-01,53.8626
2021-11-02,55.7545
2021-11-03,59.1328
2021-11-04,55.9905
2021-11-05,58.6626
2021-11-06,58.6626
2021-11-07,58.6626
2021-11-08,55.5057
2021-11-09,54.2709
2021-11-10,53.1773
2021-11-11,53.7738
2021-11-12,52.4187
2021-11-13,52.4187
2021-11-14,52.4187
2021-11-15,51.2913
2021-11-16,51.1853
2021-11-17,52.7501
2021-11-18,53.6428
2021-11-19,55.1522
2021-11-20,55.1522
2021-11-21,55.1522
2021-11-22,56.2225
2021-11-23,56.6741
2021-11-24,58.0181
2021-11-25,58.0181
2021-11-26,55.309
2021-11-27,55.309
2021-11-28,55.309
2021-11-29,55.6537
2021-11-30,50.1642
2021-12-01,47.8501
2021-12-02,51.3932
2021-12-03,49.8555
2021-12-04,49.8555
2021-12-05,49.8555
2021-12-06,52.7787
2021-12-07,54.6828
2021-12-08,56.2294
2021-12-09,57.1126
2021-12-10,55.3519
2021-12-11,55.3519
2021-12-12,55.3519
2021-12-13,55.9013
2021-12-14,54.2979
2021-12-15,53.2357
2021-12-16,51.4214
2021-12-17,52.7444
2021-12-18,52.7444
2021-12-19,52.7444
2021-12-20,50.3036
2021-12-21,55.6258
2021-12-22,57.9454
2021-12-23,55.1679
2021-12-24,55.1679
2021-12-25,55.1679
2021-12-26,55.1679
2021-12-27,56.016
2021-12-28,55.0919
2021-12-29,55.5137
2021-12-30,55.1386
2021-12-31,55.0562
2022-01-01,55.0562
2022-01-02,55.0562
2022-01-03,55.9199
2022-01-04,54.1631
2022-01-05,52.5115
2022-01-06,50.3413
2022-01-07,49.2876
2022-01-08,49.2876
2022-01-09,49.2876
2022-01-10,47.7251
2022-01-11,49.0195
2022-01-12,46.9404
2022-01-13,47.3025
2022-01-14,45.7615
2022-01-15,45.7615
2022-01-16,45.7615
2022-01-17,45.7615
2022-01-18,44.1535
2022-01-19,47.9121
2022-01-20,47.1956
2022-01-21,44.3118
2022-01-22,44.3118
2022-01-23,44.3118
2022-01-24,45.3315
2022-01-25,47.4336
2022-01-26,50.1471
2022-01-27,47.3281
2022-01-28,51.5093
2022-01-29,51.5093
2022-01-30,51.5093
2022-01-31,54.4046
2022-02-01,65.002
2022-02-02,67.7383
2022-02-03,67.9636
2022-02-04,67.8411
2022-02-05,67.8411
2022-02-06,67.8411
2022-02-07,68.9641
2022-02-08,69.0102
2022-02-09,69.2351
2022-02-10,68.9898
2022-02-11,71.1515
2022-02-12,71.1515
2022-02-13,71.1515
2022-02-14,70.846
2022-02-15,70.9165
2022-02-16,62.4598
2022-02-17,59.8257
2022-02-18,57.9302
2022-02-19,57.9302
2022-02-20,57.9302
2022-02-21,57.9302
2022-02-22,59.2653
2022-02-23,57.0273
2022-02-24,56.5809
2022-02-25,58.3936
2022-02-26,58.3936
2022-02-27,58.3936
2022-02-28,58.8808
2022-03-01,58.7659
2022-03-02,58.1559
2022-03-03,56.8184
2022-03-04,53.3447
2022-03-05,53.3447
2022-03-06,53.3447
2022-03-07,46.0296
2022-03-08,48.1679
2022-03-09,50.8872
2022-03-10,49.5768
2022-03-11,49.2792
