,FHB US Equity
,RSI_30D
2020-01-01,56.5009
2020-01-02,55.2562
2020-01-03,55.0471
2020-01-04,55.0471
2020-01-05,55.0471
2020-01-06,52.8242
2020-01-07,49.7776
2020-01-08,50.6193
2020-01-09,51.5069
2020-01-10,51.5543
2020-01-11,51.5543
2020-01-12,51.5543
2020-01-13,52.3257
2020-01-14,53.2876
2020-01-15,53.4817
2020-01-16,56.5637
2020-01-17,56.8327
2020-01-18,56.8327
2020-01-19,56.8327
2020-01-20,56.8327
2020-01-21,54.2275
2020-01-22,55.3106
2020-01-23,56.2421
2020-01-24,52.7183
2020-01-25,52.7183
2020-01-26,52.7183
2020-01-27,51.851
2020-01-28,54.5578
2020-01-29,57.2231
2020-01-30,58.401
2020-01-31,56.2273
2020-02-01,56.2273
2020-02-02,56.2273
2020-02-03,61.8008
2020-02-04,63.084
2020-02-05,68.3017
2020-02-06,62.6526
2020-02-07,57.227
2020-02-08,57.227
2020-02-09,57.227
2020-02-10,55.5284
2020-02-11,55.2055
2020-02-12,55.0399
2020-02-13,56.1287
2020-02-14,56.3337
2020-02-15,56.3337
2020-02-16,56.3337
2020-02-17,56.3337
2020-02-18,49.8275
2020-02-19,50.7002
2020-02-20,52.6865
2020-02-21,48.0004
2020-02-22,48.0004
2020-02-23,48.0004
2020-02-24,43.6168
2020-02-25,38.0038
2020-02-26,35.7526
2020-02-27,32.2008
2020-02-28,28.8725
2020-02-29,28.8725
2020-03-01,28.8725
2020-03-02,35.2118
2020-03-03,32.9564
2020-03-04,32.0997
2020-03-05,29.2269
2020-03-06,27.2514
2020-03-07,27.2514
2020-03-08,27.2514
2020-03-09,22.4323
2020-03-10,25.1183
2020-03-11,23.0235
2020-03-12,21.5178
2020-03-13,28.428
2020-03-14,28.428
2020-03-15,28.428
2020-03-16,26.5525
2020-03-17,33.301
2020-03-18,32.479
2020-03-19,32.2593
2020-03-20,29.3035
2020-03-21,29.3035
2020-03-22,29.3035
2020-03-23,26.7932
2020-03-24,29.7424
2020-03-25,29.5599
2020-03-26,33.6324
2020-03-27,31.7344
2020-03-28,31.7344
2020-03-29,31.7344
2020-03-30,32.7831
2020-03-31,32.5329
2020-04-01,30.1527
2020-04-02,30.1072
2020-04-03,29.106
2020-04-04,29.106
2020-04-05,29.106
2020-04-06,32.0118
2020-04-07,32.047
2020-04-08,35.3316
2020-04-09,40.0638
2020-04-10,40.0638
2020-04-11,40.0638
2020-04-12,40.0638
2020-04-13,37.9204
2020-04-14,37.0419
