,CPF US Equity
,RSI_30D
2020-01-01,53.731
2020-01-02,53.38
2020-01-03,52.4932
2020-01-04,52.4932
2020-01-05,52.4932
2020-01-06,50.1655
2020-01-07,47.8874
2020-01-08,47.8874
2020-01-09,47.3939
2020-01-10,46.7296
2020-01-11,46.7296
2020-01-12,46.7296
2020-01-13,48.1395
2020-01-14,48.7938
2020-01-15,46.8712
2020-01-16,47.4553
2020-01-17,49.282
2020-01-18,49.282
2020-01-19,49.282
2020-01-20,49.282
2020-01-21,46.7177
2020-01-22,46.1184
2020-01-23,47.4142
2020-01-24,43.9647
2020-01-25,43.9647
2020-01-26,43.9647
2020-01-27,41.0274
2020-01-28,40.8825
2020-01-29,43.2662
2020-01-30,45.252
2020-01-31,40.4875
2020-02-01,40.4875
2020-02-02,40.4875
2020-02-03,46.3328
2020-02-04,47.0774
2020-02-05,50.9129
2020-02-06,49.6963
2020-02-07,46.7358
2020-02-08,46.7358
2020-02-09,46.7358
2020-02-10,45.9078
2020-02-11,47.5111
2020-02-12,48.4594
2020-02-13,49.0152
2020-02-14,45.7352
2020-02-15,45.7352
2020-02-16,45.7352
2020-02-17,45.7352
2020-02-18,44.9741
2020-02-19,46.8055
2020-02-20,47.5444
2020-02-21,44.0297
2020-02-22,44.0297
2020-02-23,44.0297
2020-02-24,39.9927
2020-02-25,35.0998
2020-02-26,34.6031
2020-02-27,30.836
2020-02-28,27.1116
2020-02-29,27.1116
2020-03-01,27.1116
2020-03-02,34.6184
2020-03-03,32.835
2020-03-04,32.0467
2020-03-05,28.6918
2020-03-06,28.2585
2020-03-07,28.2585
2020-03-08,28.2585
2020-03-09,22.5897
2020-03-10,24.7173
2020-03-11,22.6391
2020-03-12,19.8707
2020-03-13,29.351
2020-03-14,29.351
2020-03-15,29.351
2020-03-16,23.025
2020-03-17,30.9864
2020-03-18,29.5407
2020-03-19,27.2935
2020-03-20,25.313
2020-03-21,25.313
2020-03-22,25.313
2020-03-23,24.8282
2020-03-24,28.3908
2020-03-25,29.0679
2020-03-26,31.9714
2020-03-27,32.2106
2020-03-28,32.2106
2020-03-29,32.2106
2020-03-30,34.6473
2020-03-31,34.8246
2020-04-01,33.0467
2020-04-02,33.2612
2020-04-03,31.1793
2020-04-04,31.1793
2020-04-05,31.1793
2020-04-06,34.6885
2020-04-07,34.4555
2020-04-08,35.354
2020-04-09,41.2166
2020-04-10,41.2166
2020-04-11,41.2166
2020-04-12,41.2166
2020-04-13,39.5462
2020-04-14,38.493
2020-04-15,37.1715
2020-04-16,36.3171
2020-04-17,39.4159
2020-04-18,39.4159
2020-04-19,39.4159
2020-04-20,38.816
2020-04-21,40.0035
2020-04-22,39.1286
2020-04-23,42.2231
2020-04-24,41.7686
2020-04-25,41.7686
2020-04-26,41.7686
2020-04-27,43.2945
2020-04-28,44.1815
2020-04-29,48.3368
2020-04-30,46.8013
2020-05-01,45.3322
2020-05-02,45.3322
2020-05-03,45.3322
2020-05-04,44.1608
2020-05-05,42.934
2020-05-06,41.7346
2020-05-07,42.8795
2020-05-08,45.3591
2020-05-09,45.3591
2020-05-10,45.3591
2020-05-11,43.9807
2020-05-12,41.6919
2020-05-13,39.7181
2020-05-14,40.8184
2020-05-15,41.4654
2020-05-16,41.4654
2020-05-17,41.4654
2020-05-18,44.7951
2020-05-19,43.6317
2020-05-20,45.5487
2020-05-21,45.5739
2020-05-22,45.3568
2020-05-23,45.3568
2020-05-24,45.3568
2020-05-25,45.3568
2020-05-26,47.7513
2020-05-27,50.2261
2020-05-28,48.5709
2020-05-29,47.7341
2020-05-30,47.7341
2020-05-31,47.7341
2020-06-01,47.4755
2020-06-02,47.6621
2020-06-03,50.7646
2020-06-04,51.8953
2020-06-05,54.3476
2020-06-06,54.3476
2020-06-07,54.3476
2020-06-08,56.6344
2020-06-09,54.2037
2020-06-10,53.0009
2020-06-11,48.7666
2020-06-12,48.8152
2020-06-13,48.8152
2020-06-14,48.8152
2020-06-15,48.9905
2020-06-16,50.3474
2020-06-17,48.0926
2020-06-18,47.8517
2020-06-19,46.8321
2020-06-20,46.8321
2020-06-21,46.8321
2020-06-22,46.86
2020-06-23,46.582
2020-06-24,44.2841
2020-06-25,45.6558
2020-06-26,44.6666
2020-06-27,44.6666
2020-06-28,44.6666
2020-06-29,46.9268
2020-06-30,47.9115
2020-07-01,45.7425
2020-07-02,45.3631
2020-07-03,45.3631
2020-07-04,45.3631
2020-07-05,45.3631
2020-07-06,46.194
2020-07-07,45.1419
2020-07-08,43.9762
2020-07-09,42.5613
2020-07-10,44.4115
2020-07-11,44.4115
2020-07-12,44.4115
2020-07-13,45.3864
2020-07-14,44.7905
2020-07-15,47.2338
2020-07-16,47.0328
2020-07-17,45.627
2020-07-18,45.627
2020-07-19,45.627
2020-07-20,44.2856
2020-07-21,47.2597
2020-07-22,46.7377
2020-07-23,47.7981
2020-07-24,47.1906
2020-07-25,47.1906
2020-07-26,47.1906
2020-07-27,45.602
2020-07-28,45.851
2020-07-29,49.2184
2020-07-30,49.1538
2020-07-31,49.0873
2020-08-01,49.0873
2020-08-02,49.0873
2020-08-03,47.8469
2020-08-04,48.3577
2020-08-05,49.5622
2020-08-06,49.4537
2020-08-07,52.5681
2020-08-08,52.5681
