,KRNY US Equity
,RSI_30D
2020-01-01,55.2394
2020-01-02,48.6195
2020-01-03,49.0316
2020-01-04,49.0316
2020-01-05,49.0316
2020-01-06,46.9539
2020-01-07,45.3391
2020-01-08,44.8481
2020-01-09,43.39
2020-01-10,41.7517
2020-01-11,41.7517
2020-01-12,41.7517
2020-01-13,42.0749
2020-01-14,44.9205
2020-01-15,44.9205
2020-01-16,44.9205
2020-01-17,42.1207
2020-01-18,42.1207
2020-01-19,42.1207
2020-01-20,42.1207
2020-01-21,36.3655
2020-01-22,36.1761
2020-01-23,38.1746
2020-01-24,39.7996
2020-01-25,39.7996
2020-01-26,39.7996
2020-01-27,39.7996
2020-01-28,40.1364
2020-01-29,37.3281
2020-01-30,40.9449
2020-01-31,28.767
2020-02-01,28.767
2020-02-02,28.767
2020-02-03,27.887
2020-02-04,26.4236
2020-02-05,26.7078
2020-02-06,26.2877
2020-02-07,26.8826
2020-02-08,26.8826
2020-02-09,26.8826
2020-02-10,27.1866
2020-02-11,28.569
2020-02-12,28.5068
2020-02-13,27.8788
2020-02-14,27.627
2020-02-15,27.627
2020-02-16,27.627
2020-02-17,27.627
2020-02-18,27.245
2020-02-19,26.6108
2020-02-20,29.3337
2020-02-21,28.5129
2020-02-22,28.5129
2020-02-23,28.5129
2020-02-24,24.4952
2020-02-25,22.9227
2020-02-26,21.7492
2020-02-27,19.6662
2020-02-28,18.0184
2020-02-29,18.0184
2020-03-01,18.0184
2020-03-02,27.9121
2020-03-03,25.662
2020-03-04,27.5986
2020-03-05,27.3386
2020-03-06,25.1337
2020-03-07,25.1337
2020-03-08,25.1337
2020-03-09,19.8569
2020-03-10,31.1577
2020-03-11,28.5324
2020-03-12,24.9286
2020-03-13,28.6312
2020-03-14,28.6312
2020-03-15,28.6312
2020-03-16,27.1437
2020-03-17,30.1223
2020-03-18,26.5574
2020-03-19,28.8254
2020-03-20,26.6728
2020-03-21,26.6728
2020-03-22,26.6728
2020-03-23,23.3308
2020-03-24,31.3312
2020-03-25,30.4679
2020-03-26,35.9456
2020-03-27,33.6801
2020-03-28,33.6801
2020-03-29,33.6801
2020-03-30,34.8242
2020-03-31,34.9899
2020-04-01,32.3123
2020-04-02,32.191
2020-04-03,30.9871
2020-04-04,30.9871
2020-04-05,30.9871
2020-04-06,34.2918
2020-04-07,34.9527
2020-04-08,36.36
2020-04-09,42.0093
2020-04-10,42.0093
2020-04-11,42.0093
2020-04-12,42.0093
2020-04-13,40.7452
2020-04-14,40.0962
2020-04-15,37.1311
2020-04-16,36.7297
2020-04-17,39.3667
2020-04-18,39.3667
2020-04-19,39.3667
2020-04-20,38.6524
2020-04-21,38.0338
2020-04-22,37.889
2020-04-23,37.7404
2020-04-24,37.9084
2020-04-25,37.9084
2020-04-26,37.9084
2020-04-27,39.8391
2020-04-28,41.0753
2020-04-29,46.3928
2020-04-30,48.3226
2020-05-01,45.9979
2020-05-02,45.9979
2020-05-03,45.9979
2020-05-04,45.6987
2020-05-05,43.7552
2020-05-06,42.5911
2020-05-07,43.8352
2020-05-08,45.7516
2020-05-09,45.7516
2020-05-10,45.7516
2020-05-11,43.733
2020-05-12,42.0943
2020-05-13,40.3676
2020-05-14,40.6039
2020-05-15,40.8464
2020-05-16,40.8464
2020-05-17,40.8464
2020-05-18,45.097
2020-05-19,42.894
2020-05-20,45.0849
2020-05-21,44.7887
2020-05-22,44.3664
2020-05-23,44.3664
2020-05-24,44.3664
