,ALXN US Equity
,RSI_30D
2020-01-01,53.6923
2020-01-02,53.3561
2020-01-03,51.8081
2020-01-04,51.8081
2020-01-05,51.8081
2020-01-06,51.9794
2020-01-07,52.2583
2020-01-08,54.028
2020-01-09,56.1285
2020-01-10,54.6224
2020-01-11,54.6224
2020-01-12,54.6224
2020-01-13,58.6654
2020-01-14,57.3208
2020-01-15,57.0098
2020-01-16,56.9852
2020-01-17,57.7028
2020-01-18,57.7028
2020-01-19,57.7028
2020-01-20,57.7028
2020-01-21,57.3641
2020-01-22,55.2855
2020-01-23,51.8453
2020-01-24,48.2694
2020-01-25,48.2694
2020-01-26,48.2694
2020-01-27,48.3031
2020-01-28,50.1744
2020-01-29,50.1407
2020-01-30,43.4526
2020-01-31,42.6461
2020-02-01,42.6461
2020-02-02,42.6461
2020-02-03,44.3601
2020-02-04,46.718
2020-02-05,47.4998
2020-02-06,47.934
2020-02-07,44.5345
2020-02-08,44.5345
2020-02-09,44.5345
2020-02-10,45.0558
2020-02-11,46.7247
2020-02-12,49.7004
2020-02-13,47.9057
2020-02-14,47.0517
2020-02-15,47.0517
2020-02-16,47.0517
2020-02-17,47.0517
2020-02-18,46.6516
2020-02-19,47.8558
2020-02-20,47.1532
2020-02-21,47.8623
2020-02-22,47.8623
2020-02-23,47.8623
2020-02-24,43.6973
2020-02-25,41.1103
2020-02-26,39.9548
2020-02-27,37.7818
2020-02-28,40.2079
2020-02-29,40.2079
2020-03-01,40.2079
2020-03-02,42.7436
2020-03-03,40.6982
2020-03-04,44.6299
2020-03-05,42.1207
2020-03-06,40.4195
2020-03-07,40.4195
2020-03-08,40.4195
2020-03-09,36.559
2020-03-10,39.1747
2020-03-11,35.9612
2020-03-12,32.1609
2020-03-13,35.8652
2020-03-14,35.8652
2020-03-15,35.8652
2020-03-16,33.3971
2020-03-17,39.4078
2020-03-18,39.524
2020-03-19,40.3693
2020-03-20,38.6107
2020-03-21,38.6107
2020-03-22,38.6107
2020-03-23,39.2882
2020-03-24,43.2735
2020-03-25,42.3978
2020-03-26,43.7448
2020-03-27,42.4354
2020-03-28,42.4354
2020-03-29,42.4354
2020-03-30,45.0324
2020-03-31,46.9595
2020-04-01,47.0657
2020-04-02,47.3927
2020-04-03,46.9781
2020-04-04,46.9781
2020-04-05,46.9781
2020-04-06,51.6133
2020-04-07,50.7243
2020-04-08,53.4036
2020-04-09,51.6411
2020-04-10,51.6411
2020-04-11,51.6411
2020-04-12,51.6411
2020-04-13,51.8597
2020-04-14,53.8514
2020-04-15,51.9394
2020-04-16,53.1018
2020-04-17,56.3149
2020-04-18,56.3149
2020-04-19,56.3149
2020-04-20,58.2782
2020-04-21,55.6205
2020-04-22,55.945
2020-04-23,56.0919
2020-04-24,58.5656
2020-04-25,58.5656
2020-04-26,58.5656
2020-04-27,60.1639
2020-04-28,56.899
2020-04-29,57.8185
2020-04-30,57.0126
2020-05-01,54.1747
2020-05-02,54.1747
2020-05-03,54.1747
2020-05-04,54.1199
2020-05-05,49.9464
2020-05-06,48.9613
2020-05-07,49.0203
2020-05-08,49.3385
2020-05-09,49.3385
2020-05-10,49.3385
2020-05-11,52.2732
2020-05-12,52.4938
2020-05-13,53.0729
2020-05-14,51.823
2020-05-15,52.593
2020-05-16,52.593
2020-05-17,52.593
2020-05-18,53.1849
2020-05-19,51.8959
2020-05-20,53.9657
2020-05-21,51.6006
2020-05-22,51.8841
2020-05-23,51.8841
2020-05-24,51.8841
2020-05-25,51.8841
2020-05-26,52.9145
2020-05-27,55.45
2020-05-28,60.8557
2020-05-29,63.8582
2020-05-30,63.8582
2020-05-31,63.8582
2020-06-01,62.9647
2020-06-02,60.6018
2020-06-03,58.4446
2020-06-04,58.3675
2020-06-05,59.3111
2020-06-06,59.3111
2020-06-07,59.3111
2020-06-08,61.9523
2020-06-09,58.6898
2020-06-10,58.8929
2020-06-11,53.6681
2020-06-12,53.2776
2020-06-13,53.2776
2020-06-14,53.2776
2020-06-15,54.0362
2020-06-16,55.957
2020-06-17,57.2797
2020-06-18,57.7747
2020-06-19,59.6086
2020-06-20,59.6086
2020-06-21,59.6086
2020-06-22,57.5355
2020-06-23,56.3426
2020-06-24,53.5019
2020-06-25,54.5204
2020-06-26,54.6152
2020-06-27,54.6152
2020-06-28,54.6152
2020-06-29,52.6776
2020-06-30,53.4074
2020-07-01,53.5164
2020-07-02,53.4388
2020-07-03,53.4388
2020-07-04,53.4388
2020-07-05,53.4388
2020-07-06,54.4043
2020-07-07,53.4031
2020-07-08,49.6081
2020-07-09,49.9955
2020-07-10,50.2899
2020-07-11,50.2899
2020-07-12,50.2899
2020-07-13,48.7709
2020-07-14,50.112
2020-07-15,52.2612
2020-07-16,50.7934
2020-07-17,50.5897
2020-07-18,50.5897
2020-07-19,50.5897
2020-07-20,50.8556
2020-07-21,48.5752
2020-07-22,47.5893
2020-07-23,46.6445
2020-07-24,43.9142
2020-07-25,43.9142
2020-07-26,43.9142
2020-07-27,48.9365
2020-07-28,47.5877
2020-07-29,47.0883
2020-07-30,47.2853
2020-07-31,45.3553
2020-08-01,45.3553
2020-08-02,45.3553
2020-08-03,47.6057
2020-08-04,47.9533
2020-08-05,45.8524
2020-08-06,46.9714
2020-08-07,46.4362
2020-08-08,46.4362
2020-08-09,46.4362
2020-08-10,45.2323
2020-08-11,44.6844
2020-08-12,46.3034
2020-08-13,45.5071
2020-08-14,46.6586
2020-08-15,46.6586
2020-08-16,46.6586
2020-08-17,46.4518
2020-08-18,47.0697
2020-08-19,45.5079
2020-08-20,44.8105
2020-08-21,44.3673
2020-08-22,44.3673
2020-08-23,44.3673
2020-08-24,46.6459
2020-08-25,47.6962
2020-08-26,48.7963
2020-08-27,50.814
2020-08-28,51.7699
2020-08-29,51.7699
2020-08-30,51.7699
2020-08-31,58.6069
2020-09-01,56.8317
2020-09-02,57.8103
2020-09-03,55.1986
2020-09-04,56.4808
2020-09-05,56.4808
2020-09-06,56.4808
2020-09-07,56.4808
2020-09-08,51.4585
2020-09-09,51.5424
2020-09-10,49.3176
2020-09-11,48.6949
2020-09-12,48.6949
2020-09-13,48.6949
2020-09-14,51.9396
2020-09-15,57.6026
2020-09-16,58.3356
2020-09-17,55.8729
2020-09-18,55.4659
2020-09-19,55.4659
2020-09-20,55.4659
2020-09-21,53.5182
2020-09-22,55.7661
2020-09-23,53.747
2020-09-24,53.3531
2020-09-25,55.3433
2020-09-26,55.3433
2020-09-27,55.3433
2020-09-28,54.2212
2020-09-29,53.3888
2020-09-30,55.0625
2020-10-01,56.0568
2020-10-02,52.0093
2020-10-03,52.0093
2020-10-04,52.0093
2020-10-05,55.0538
2020-10-06,55.7059
2020-10-07,62.053
2020-10-08,59.9491
2020-10-09,60.8151
2020-10-10,60.8151
2020-10-11,60.8151
2020-10-12,60.6774
2020-10-13,60.0445
2020-10-14,58.8057
2020-10-15,58.3099
2020-10-16,59.8121
2020-10-17,59.8121
2020-10-18,59.8121
2020-10-19,57.3975
2020-10-20,59.0152
2020-10-21,53.5584
2020-10-22,54.6631
2020-10-23,56.0797
2020-10-24,56.0797
2020-10-25,56.0797
2020-10-26,55.2966
2020-10-27,54.5914
2020-10-28,50.1118
2020-10-29,52.7298
