,TSCO US Equity
,RSI_30D
2020-01-01,49.6162
2020-01-02,48.9861
2020-01-03,46.8416
2020-01-04,46.8416
2020-01-05,46.8416
2020-01-06,46.2767
2020-01-07,43.4114
2020-01-08,46.9347
2020-01-09,45.387
2020-01-10,46.3229
2020-01-11,46.3229
2020-01-12,46.3229
2020-01-13,44.8035
2020-01-14,44.4436
2020-01-15,44.9015
2020-01-16,46.4239
2020-01-17,49.9015
2020-01-18,49.9015
2020-01-19,49.9015
2020-01-20,49.9015
2020-01-21,51.5289
2020-01-22,50.0067
2020-01-23,51.5265
2020-01-24,51.3426
2020-01-25,51.3426
2020-01-26,51.3426
2020-01-27,52.167
2020-01-28,54.0831
2020-01-29,54.1401
2020-01-30,51.5153
2020-01-31,49.6731
2020-02-01,49.6731
2020-02-02,49.6731
2020-02-03,52.5834
2020-02-04,46.3035
2020-02-05,51.499
2020-02-06,55.5598
2020-02-07,55.4864
2020-02-08,55.4864
2020-02-09,55.4864
2020-02-10,56.928
2020-02-11,56.9868
2020-02-12,58.3973
2020-02-13,57.8455
2020-02-14,57.6576
2020-02-15,57.6576
2020-02-16,57.6576
2020-02-17,57.6576
2020-02-18,56.9348
2020-02-19,58.2254
2020-02-20,58.7931
2020-02-21,60.5406
2020-02-22,60.5406
2020-02-23,60.5406
2020-02-24,53.628
2020-02-25,47.978
2020-02-26,45.4915
2020-02-27,43.9857
2020-02-28,41.4168
2020-02-29,41.4168
2020-03-01,41.4168
2020-03-02,46.4239
2020-03-03,48.9468
2020-03-04,53.3421
2020-03-05,49.6246
2020-03-06,46.9068
2020-03-07,46.9068
2020-03-08,46.9068
2020-03-09,36.709
2020-03-10,43.9481
2020-03-11,41.0468
2020-03-12,36.4198
2020-03-13,36.2332
2020-03-14,36.2332
2020-03-15,36.2332
2020-03-16,31.3321
2020-03-17,34.6587
2020-03-18,36.5643
2020-03-19,40.1916
2020-03-20,39.8996
2020-03-21,39.8996
2020-03-22,39.8996
2020-03-23,41.8568
2020-03-24,43.5893
2020-03-25,41.5692
2020-03-26,46.9593
2020-03-27,46.7008
2020-03-28,46.7008
2020-03-29,46.7008
2020-03-30,48.5887
2020-03-31,47.8727
2020-04-01,47.4747
2020-04-02,47.5976
2020-04-03,44.2748
2020-04-04,44.2748
2020-04-05,44.2748
2020-04-06,50.7463
2020-04-07,49.7086
2020-04-08,52.5813
2020-04-09,50.8195
2020-04-10,50.8195
2020-04-11,50.8195
2020-04-12,50.8195
2020-04-13,51.7936
2020-04-14,53.9495
2020-04-15,52.3163
2020-04-16,52.6237
2020-04-17,53.6453
2020-04-18,53.6453
2020-04-19,53.6453
2020-04-20,54.1233
2020-04-21,53.8805
2020-04-22,55.4654
2020-04-23,55.1669
2020-04-24,59.6002
2020-04-25,59.6002
2020-04-26,59.6002
2020-04-27,60.2543
2020-04-28,60.1182
2020-04-29,58.4612
2020-04-30,58.662
2020-05-01,59.0974
2020-05-02,59.0974
2020-05-03,59.0974
2020-05-04,59.3324
2020-05-05,61.0898
2020-05-06,61.0385
2020-05-07,61.1195
2020-05-08,62.4917
2020-05-09,62.4917
2020-05-10,62.4917
2020-05-11,63.7063
2020-05-12,62.202
2020-05-13,60.8478
2020-05-14,61.083
2020-05-15,64.3639
2020-05-16,64.3639
2020-05-17,64.3639
2020-05-18,62.19
2020-05-19,61.4235
2020-05-20,60.0347
2020-05-21,60.8706
2020-05-22,63.1139
2020-05-23,63.1139
2020-05-24,63.1139
2020-05-25,63.1139
2020-05-26,62.3853
2020-05-27,67.5608
2020-05-28,66.6948
2020-05-29,68.3315
2020-05-30,68.3315
2020-05-31,68.3315
2020-06-01,68.6668
2020-06-02,69.2458
2020-06-03,68.1911
2020-06-04,67.6046
2020-06-05,67.2991
2020-06-06,67.2991
2020-06-07,67.2991
2020-06-08,67.3662
2020-06-09,67.4917
2020-06-10,65.9823
2020-06-11,63.3321
2020-06-12,62.3849
2020-06-13,62.3849
2020-06-14,62.3849
2020-06-15,64.5634
2020-06-16,66.1547
2020-06-17,66.7798
2020-06-18,67.3261
2020-06-19,68.6162
2020-06-20,68.6162
2020-06-21,68.6162
2020-06-22,70.0791
2020-06-23,68.9234
2020-06-24,70.1788
2020-06-25,69.4549
2020-06-26,68.278
2020-06-27,68.278
2020-06-28,68.278
2020-06-29,69.3215
2020-06-30,69.4364
2020-07-01,70.0107
2020-07-02,69.6607
2020-07-03,69.6607
2020-07-04,69.6607
2020-07-05,69.6607
2020-07-06,70.5287
2020-07-07,70.8383
2020-07-08,71.7401
2020-07-09,73.046
2020-07-10,73.4827
2020-07-11,73.4827
2020-07-12,73.4827
2020-07-13,68.926
2020-07-14,71.548
2020-07-15,70.8508
2020-07-16,72.6209
2020-07-17,70.5477
2020-07-18,70.5477
2020-07-19,70.5477
2020-07-20,72.8273
2020-07-21,71.8441
2020-07-22,72.933
2020-07-23,72.961
2020-07-24,73.2646
2020-07-25,73.2646
2020-07-26,73.2646
2020-07-27,68.0045
2020-07-28,68.0515
2020-07-29,69.6291
2020-07-30,66.7201
2020-07-31,65.7725
2020-08-01,65.7725
2020-08-02,65.7725
2020-08-03,68.9156
2020-08-04,69.4184
2020-08-05,68.0133
2020-08-06,68.6114
2020-08-07,68.5531
2020-08-08,68.5531
2020-08-09,68.5531
2020-08-10,67.1516
2020-08-11,64.2344
2020-08-12,67.1108
2020-08-13,66.5944
2020-08-14,66.4372
2020-08-15,66.4372
2020-08-16,66.4372
2020-08-17,69.7786
2020-08-18,68.9797
2020-08-19,69.5591
2020-08-20,67.263
2020-08-21,68.1878
2020-08-22,68.1878
2020-08-23,68.1878
2020-08-24,68.3522
2020-08-25,67.9736
2020-08-26,68.9417
2020-08-27,63.6581
2020-08-28,58.388
2020-08-29,58.388
2020-08-30,58.388
2020-08-31,59.9888
2020-09-01,60.1457
2020-09-02,60.6334
2020-09-03,55.743
2020-09-04,51.9678
2020-09-05,51.9678
2020-09-06,51.9678
2020-09-07,51.9678
2020-09-08,46.9664
2020-09-09,51.3543
2020-09-10,48.124
2020-09-11,48.0001
2020-09-12,48.0001
2020-09-13,48.0001
2020-09-14,48.4488
2020-09-15,50.8995
2020-09-16,48.6051
2020-09-17,48.5191
2020-09-18,48.4836
2020-09-19,48.4836
2020-09-20,48.4836
2020-09-21,47.9796
2020-09-22,51.7691
2020-09-23,50.2017
2020-09-24,48.686
2020-09-25,49.5818
2020-09-26,49.5818
2020-09-27,49.5818
2020-09-28,52.1385
2020-09-29,51.1455
2020-09-30,53.2363
2020-10-01,51.9785
2020-10-02,50.6072
2020-10-03,50.6072
2020-10-04,50.6072
2020-10-05,53.9306
2020-10-06,51.4395
2020-10-07,54.7448
2020-10-08,57.3097
2020-10-09,57.8215
2020-10-10,57.8215
2020-10-11,57.8215
2020-10-12,58.5529
2020-10-13,59.9608
2020-10-14,58.8844
2020-10-15,59.0395
2020-10-16,59.7794
2020-10-17,59.7794
2020-10-18,59.7794
2020-10-19,57.4898
2020-10-20,56.1404
2020-10-21,55.5294
2020-10-22,44.9681
2020-10-23,47.3645
2020-10-24,47.3645
2020-10-25,47.3645
2020-10-26,44.5209
2020-10-27,43.3741
2020-10-28,42.3068
2020-10-29,42.726
2020-10-30,42.9032
2020-10-31,42.9032
2020-11-01,42.9032
2020-11-02,43.0854
2020-11-03,45.5363
2020-11-04,45.4114
2020-11-05,48.301
2020-11-06,49.5893
2020-11-07,49.5893
2020-11-08,49.5893
2020-11-09,41.6625
2020-11-10,41.8663
2020-11-11,44.6573
2020-11-12,43.1679
2020-11-13,44.1784
2020-11-14,44.1784
2020-11-15,44.1784
2020-11-16,44.9059
2020-11-17,44.099
2020-11-18,41.8731
2020-11-19,44.3936
2020-11-20,43.5965
2020-11-21,43.5965
2020-11-22,43.5965
2020-11-23,47.1639
2020-11-24,47.2794
2020-11-25,47.1879
2020-11-26,47.1879
2020-11-27,51.604
2020-11-28,51.604
2020-11-29,51.604
2020-11-30,52.6816
2020-12-01,51.7381
2020-12-02,49.4097
2020-12-03,47.8949
2020-12-04,47.5733
2020-12-05,47.5733
2020-12-06,47.5733
2020-12-07,49.9257
2020-12-08,49.3929
2020-12-09,48.5962
2020-12-10,48.918
2020-12-11,51.2312
2020-12-12,51.2312
2020-12-13,51.2312
2020-12-14,52.7582
2020-12-15,53.2441
2020-12-16,55.6807
2020-12-17,56.6458
2020-12-18,57.8114
2020-12-19,57.8114
2020-12-20,57.8114
2020-12-21,58.9672
2020-12-22,59.7563
2020-12-23,56.8078
2020-12-24,56.7876
2020-12-25,56.7876
2020-12-26,56.7876
2020-12-27,56.7876
2020-12-28,53.2704
2020-12-29,52.9961
2020-12-30,52.7635
2020-12-31,50.6736
2021-01-01,50.6736
2021-01-02,50.6736
2021-01-03,50.6736
2021-01-04,49.8584
2021-01-05,50.7811
2021-01-06,55.281
2021-01-07,56.2789
2021-01-08,57.9783
2021-01-09,57.9783
2021-01-10,57.9783
2021-01-11,58.1244
2021-01-12,59.8349
