,TPIC US Equity
,RSI_30D
2020-01-01,49.3009
2020-01-02,49.0862
2020-01-03,50.4258
2020-01-04,50.4258
2020-01-05,50.4258
2020-01-06,50.8715
2020-01-07,51.6804
2020-01-08,51.2921
2020-01-09,49.2581
2020-01-10,49.2344
2020-01-11,49.2344
2020-01-12,49.2344
2020-01-13,53.4611
2020-01-14,54.4737
2020-01-15,56.6139
2020-01-16,57.2596
2020-01-17,58.1062
2020-01-18,58.1062
2020-01-19,58.1062
2020-01-20,58.1062
2020-01-21,59.6799
2020-01-22,59.0489
2020-01-23,60.35
2020-01-24,57.8163
2020-01-25,57.8163
2020-01-26,57.8163
2020-01-27,51.7848
2020-01-28,55.7879
2020-01-29,56.4677
2020-01-30,55.1756
2020-01-31,56.2884
2020-02-01,56.2884
2020-02-02,56.2884
2020-02-03,56.967
2020-02-04,58.909
2020-02-05,60.9278
2020-02-06,57.2522
2020-02-07,61.1882
2020-02-08,61.1882
2020-02-09,61.1882
2020-02-10,65.5121
2020-02-11,63.4696
2020-02-12,66.4167
2020-02-13,65.8065
2020-02-14,65.7104
2020-02-15,65.7104
2020-02-16,65.7104
2020-02-17,65.7104
2020-02-18,64.7808
2020-02-19,68.6448
2020-02-20,71.2174
2020-02-21,65.5237
2020-02-22,65.5237
2020-02-23,65.5237
2020-02-24,61.8367
2020-02-25,58.5044
2020-02-26,58.1128
2020-02-27,55.8285
2020-02-28,56.8278
2020-02-29,56.8278
2020-03-01,56.8278
2020-03-02,54.9173
2020-03-03,55.116
2020-03-04,57.9632
2020-03-05,53.1045
2020-03-06,49.3012
2020-03-07,49.3012
2020-03-08,49.3012
2020-03-09,40.1847
2020-03-10,42.4157
2020-03-11,39.8228
2020-03-12,35.7833
2020-03-13,34.7836
2020-03-14,34.7836
2020-03-15,34.7836
2020-03-16,31.0698
2020-03-17,31.6505
2020-03-18,29.405
2020-03-19,33.7394
2020-03-20,33.4031
2020-03-21,33.4031
2020-03-22,33.4031
2020-03-23,33.4031
2020-03-24,42.2839
2020-03-25,42.0058
2020-03-26,41.5347
2020-03-27,41.216
2020-03-28,41.216
2020-03-29,41.216
2020-03-30,42.2251
2020-03-31,42.8251
2020-04-01,39.8605
2020-04-02,39.6868
2020-04-03,40.755
2020-04-04,40.755
2020-04-05,40.755
2020-04-06,43.4623
2020-04-07,44.7789
2020-04-08,46.5547
2020-04-09,47.7922
2020-04-10,47.7922
2020-04-11,47.7922
2020-04-12,47.7922
2020-04-13,43.8828
2020-04-14,43.2442
2020-04-15,42.4157
2020-04-16,42.4395
2020-04-17,45.7515
2020-04-18,45.7515
2020-04-19,45.7515
2020-04-20,46.0434
2020-04-21,46.0237
2020-04-22,47.5566
2020-04-23,48.2704
2020-04-24,48.0304
2020-04-25,48.0304
2020-04-26,48.0304
2020-04-27,48.6308
2020-04-28,50.9298
2020-04-29,53.0374
2020-04-30,51.8018
2020-05-01,48.8036
2020-05-02,48.8036
2020-05-03,48.8036
2020-05-04,49.8883
2020-05-05,49.9816
2020-05-06,49.8376
2020-05-07,50.0856
2020-05-08,54.611
2020-05-09,54.611
2020-05-10,54.611
2020-05-11,55.6561
2020-05-12,52.7824
2020-05-13,51.5531
2020-05-14,52.1753
2020-05-15,52.3862
2020-05-16,52.3862
2020-05-17,52.3862
2020-05-18,56.788
2020-05-19,57.9095
2020-05-20,58.1103
2020-05-21,58.3366
2020-05-22,57.663
2020-05-23,57.663
2020-05-24,57.663
2020-05-25,57.663
2020-05-26,58.7971
2020-05-27,59.4542
2020-05-28,57.6739
2020-05-29,57.6123
2020-05-30,57.6123
2020-05-31,57.6123
2020-06-01,58.4381
2020-06-02,58.6695
2020-06-03,59.3023
2020-06-04,60.8967
2020-06-05,61.3808
2020-06-06,61.3808
2020-06-07,61.3808
2020-06-08,61.858
2020-06-09,61.4095
2020-06-10,58.0699
2020-06-11,54.5038
2020-06-12,56.3938
2020-06-13,56.3938
2020-06-14,56.3938
2020-06-15,57.9532
2020-06-16,59.9296
2020-06-17,58.0478
2020-06-18,58.8358
2020-06-19,58.9325
2020-06-20,58.9325
2020-06-21,58.9325
2020-06-22,59.1559
2020-06-23,58.6426
2020-06-24,56.3312
2020-06-25,57.0428
2020-06-26,56.5297
2020-06-27,56.5297
2020-06-28,56.5297
2020-06-29,60.5898
2020-06-30,60.1771
2020-07-01,58.674
2020-07-02,62.1688
2020-07-03,62.1688
2020-07-04,62.1688
2020-07-05,62.1688
2020-07-06,61.9037
2020-07-07,59.3601
2020-07-08,62.5011
2020-07-09,59.3494
2020-07-10,58.798
2020-07-11,58.798
2020-07-12,58.798
2020-07-13,59.1172
2020-07-14,63.0167
2020-07-15,64.2742
2020-07-16,63.7595
2020-07-17,66.4404
2020-07-18,66.4404
2020-07-19,66.4404
2020-07-20,68.1724
2020-07-21,68.6775
2020-07-22,67.3804
2020-07-23,66.6148
2020-07-24,64.1274
2020-07-25,64.1274
2020-07-26,64.1274
2020-07-27,63.4589
2020-07-28,61.4345
2020-07-29,57.8914
2020-07-30,58.1119
2020-07-31,56.7123
2020-08-01,56.7123
2020-08-02,56.7123
2020-08-03,58.8622
2020-08-04,61.8902
2020-08-05,64.4734
2020-08-06,62.2397
2020-08-07,63.0944
2020-08-08,63.0944
2020-08-09,63.0944
2020-08-10,66.5616
2020-08-11,62.8972
2020-08-12,64.31
2020-08-13,68.881
2020-08-14,68.7864
2020-08-15,68.7864
2020-08-16,68.7864
2020-08-17,65.0581
2020-08-18,65.1066
2020-08-19,65.2563
2020-08-20,63.8398
2020-08-21,63.3341
2020-08-22,63.3341
2020-08-23,63.3341
2020-08-24,63.8525
2020-08-25,62.418
2020-08-26,61.1266
2020-08-27,61.3129
2020-08-28,62.147
2020-08-29,62.147
2020-08-30,62.147
2020-08-31,59.7804
2020-09-01,60.5251
2020-09-02,61.1381
2020-09-03,55.2143
2020-09-04,52.0084
2020-09-05,52.0084
2020-09-06,52.0084
2020-09-07,52.0084
2020-09-08,48.6065
2020-09-09,52.0451
2020-09-10,51.2951
2020-09-11,48.9361
2020-09-12,48.9361
2020-09-13,48.9361
2020-09-14,49.4321
2020-09-15,51.1976
2020-09-16,50.8659
2020-09-17,46.4368
2020-09-18,47.9818
2020-09-19,47.9818
2020-09-20,47.9818
2020-09-21,47.1968
2020-09-22,46.2755
2020-09-23,43.5492
2020-09-24,46.1685
2020-09-25,48.2752
2020-09-26,48.2752
2020-09-27,48.2752
2020-09-28,51.192
2020-09-29,52.0714
2020-09-30,53.8576
2020-10-01,55.3865
2020-10-02,54.0987
2020-10-03,54.0987
2020-10-04,54.0987
2020-10-05,57.9426
2020-10-06,58.4727
2020-10-07,64.5767
2020-10-08,62.0276
2020-10-09,64.1779
2020-10-10,64.1779
2020-10-11,64.1779
2020-10-12,62.7525
2020-10-13,62.8722
2020-10-14,63.1479
2020-10-15,62.3234
2020-10-16,61.9186
2020-10-17,61.9186
2020-10-18,61.9186
2020-10-19,61.7803
2020-10-20,62.1997
2020-10-21,56.5316
2020-10-22,55.91
2020-10-23,57.7182
2020-10-24,57.7182
2020-10-25,57.7182
2020-10-26,56.4195
2020-10-27,56.7942
2020-10-28,53.8454
2020-10-29,54.2445
2020-10-30,56.1044
2020-10-31,56.1044
2020-11-01,56.1044
2020-11-02,59.4222
2020-11-03,59.4222
2020-11-04,55.8107
2020-11-05,62.4971
2020-11-06,67.6501
2020-11-07,67.6501
2020-11-08,67.6501
2020-11-09,62.5652
2020-11-10,60.3509
2020-11-11,63.9585
2020-11-12,64.2857
2020-11-13,61.4409
2020-11-14,61.4409
2020-11-15,61.4409
2020-11-16,61.5148
2020-11-17,60.633
2020-11-18,60.0461
2020-11-19,59.7162
2020-11-20,59.1073
2020-11-21,59.1073
2020-11-22,59.1073
2020-11-23,60.8038
2020-11-24,58.4027
2020-11-25,60.104
2020-11-26,60.104
2020-11-27,62.2895
2020-11-28,62.2895
2020-11-29,62.2895
2020-11-30,59.3198
2020-12-01,63.8512
2020-12-02,65.3355
2020-12-03,60.2543
2020-12-04,58.5448
2020-12-05,58.5448
2020-12-06,58.5448
2020-12-07,59.1564
2020-12-08,60.7614
2020-12-09,57.3348
2020-12-10,56.3667
2020-12-11,55.9957
2020-12-12,55.9957
2020-12-13,55.9957
2020-12-14,59.5856
2020-12-15,60.2749
2020-12-16,61.6951
2020-12-17,63.1567
2020-12-18,67.0138
2020-12-19,67.0138
2020-12-20,67.0138
2020-12-21,69.4956
2020-12-22,72.8446
2020-12-23,70.3571
2020-12-24,67.6404
2020-12-25,67.6404
2020-12-26,67.6404
2020-12-27,67.6404
2020-12-28,65.6346
2020-12-29,62.5235
