,NBL US Equity
,RSI_30D
2020-01-01,65.9269
2020-01-02,62.2214
2020-01-03,60.1524
2020-01-04,60.1524
2020-01-05,60.1524
2020-01-06,60.8892
2020-01-07,57.6303
2020-01-08,55.2032
2020-01-09,53.9836
2020-01-10,53.202
2020-01-11,53.202
2020-01-12,53.202
2020-01-13,53.202
2020-01-14,54.7221
2020-01-15,55.1472
2020-01-16,58.037
2020-01-17,57.4966
2020-01-18,57.4966
2020-01-19,57.4966
2020-01-20,57.4966
2020-01-21,54.8545
2020-01-22,52.2359
2020-01-23,52.4384
2020-01-24,49.487
2020-01-25,49.487
2020-01-26,49.487
2020-01-27,46.6133
2020-01-28,46.6578
2020-01-29,45.2529
2020-01-30,44.108
2020-01-31,42.1586
2020-02-01,42.1586
2020-02-02,42.1586
2020-02-03,42.0136
2020-02-04,42.8271
2020-02-05,49.351
2020-02-06,47.081
2020-02-07,45.0015
2020-02-08,45.0015
2020-02-09,45.0015
2020-02-10,43.7521
2020-02-11,44.6603
2020-02-12,43.1816
2020-02-13,43.699
2020-02-14,42.1123
2020-02-15,42.1123
2020-02-16,42.1123
2020-02-17,42.1123
2020-02-18,41.4401
2020-02-19,41.2608
2020-02-20,39.9381
2020-02-21,37.8999
2020-02-22,37.8999
2020-02-23,37.8999
2020-02-24,33.5331
2020-02-25,31.3374
2020-02-26,30.6222
2020-02-27,30.1944
2020-02-28,33.9587
2020-02-29,33.9587
2020-03-01,33.9587
2020-03-02,33.8788
2020-03-03,32.2696
2020-03-04,32.9924
2020-03-05,31.6219
2020-03-06,28.2543
2020-03-07,28.2543
2020-03-08,28.2543
2020-03-09,21.763
2020-03-10,21.6596
2020-03-11,19.4369
2020-03-12,18.2593
2020-03-13,22.2278
2020-03-14,22.2278
2020-03-15,22.2278
2020-03-16,20.0793
2020-03-17,19.0677
2020-03-18,18.0115
2020-03-19,21.5463
2020-03-20,21.8871
2020-03-21,21.8871
2020-03-22,21.8871
2020-03-23,23.5663
2020-03-24,28.4822
2020-03-25,29.4827
2020-03-26,29.798
2020-03-27,28.5508
2020-03-28,28.5508
2020-03-29,28.5508
2020-03-30,28.4783
2020-03-31,31.1211
2020-04-01,30.8786
2020-04-02,32.4045
2020-04-03,32.177
2020-04-04,32.177
2020-04-05,32.177
2020-04-06,33.9838
2020-04-07,34.3897
2020-04-08,36.0175
2020-04-09,37.0819
2020-04-10,37.0819
2020-04-11,37.0819
2020-04-12,37.0819
2020-04-13,36.4545
2020-04-14,36.6076
2020-04-15,35.7395
2020-04-16,34.3877
2020-04-17,37.1612
2020-04-18,37.1612
2020-04-19,37.1612
2020-04-20,36.9549
2020-04-21,36.6393
2020-04-22,38.744
2020-04-23,40.8725
2020-04-24,42.3054
2020-04-25,42.3054
2020-04-26,42.3054
2020-04-27,41.8362
2020-04-28,42.3807
2020-04-29,49.0731
2020-04-30,48.3395
2020-05-01,45.3306
2020-05-02,45.3306
2020-05-03,45.3306
2020-05-04,46.5175
2020-05-05,45.6086
2020-05-06,45.4918
2020-05-07,45.7791
2020-05-08,49.8541
2020-05-09,49.8541
2020-05-10,49.8541
2020-05-11,48.4763
2020-05-12,47.4321
2020-05-13,44.7809
2020-05-14,45.0842
2020-05-15,45.8622
2020-05-16,45.8622
2020-05-17,45.8622
2020-05-18,49.8609
2020-05-19,47.9356
2020-05-20,49.6049
2020-05-21,50.5851
2020-05-22,50.7799
2020-05-23,50.7799
2020-05-24,50.7799
2020-05-25,50.7799
2020-05-26,51.1782
2020-05-27,51.0358
2020-05-28,48.6885
2020-05-29,46.1332
2020-05-30,46.1332
2020-05-31,46.1332
2020-06-01,48.704
2020-06-02,49.9397
2020-06-03,50.6233
2020-06-04,51.0726
2020-06-05,54.7427
2020-06-06,54.7427
2020-06-07,54.7427
2020-06-08,58.8742
2020-06-09,55.5118
2020-06-10,52.1026
2020-06-11,48.5397
2020-06-12,50.5673
2020-06-13,50.5673
2020-06-14,50.5673
2020-06-15,50.7709
2020-06-16,51.9265
2020-06-17,50.0941
2020-06-18,50.4286
2020-06-19,49.7079
2020-06-20,49.7079
2020-06-21,49.7079
2020-06-22,49.7079
2020-06-23,49.2493
2020-06-24,47.3143
2020-06-25,49.3061
2020-06-26,46.993
2020-06-27,46.993
2020-06-28,46.993
2020-06-29,45.5985
2020-06-30,46.7011
2020-07-01,46.3874
2020-07-02,48.8406
2020-07-03,48.8406
2020-07-04,48.8406
2020-07-05,48.8406
2020-07-06,48.5078
2020-07-07,46.8246
2020-07-08,46.4486
2020-07-09,45.8362
2020-07-10,47.2557
