,WD US Equity
,RSI_30D
2020-01-01,56.8216
2020-01-02,56.777
2020-01-03,57.4681
2020-01-04,57.4681
2020-01-05,57.4681
2020-01-06,51.7737
2020-01-07,52.3249
2020-01-08,58.1905
2020-01-09,58.9824
2020-01-10,56.9172
2020-01-11,56.9172
2020-01-12,56.9172
2020-01-13,60.3629
2020-01-14,62.0129
2020-01-15,62.0906
2020-01-16,65.8283
2020-01-17,61.6879
2020-01-18,61.6879
2020-01-19,61.6879
2020-01-20,61.6879
2020-01-21,58.6926
2020-01-22,60.4555
2020-01-23,59.8599
2020-01-24,57.9053
2020-01-25,57.9053
2020-01-26,57.9053
2020-01-27,55.0293
2020-01-28,56.0214
2020-01-29,55.3894
2020-01-30,56.2405
2020-01-31,55.7272
2020-02-01,55.7272
2020-02-02,55.7272
2020-02-03,56.5765
2020-02-04,61.0296
2020-02-05,72.6032
2020-02-06,73.8362
2020-02-07,74.5449
2020-02-08,74.5449
2020-02-09,74.5449
2020-02-10,75.9272
2020-02-11,77.3425
2020-02-12,75.9468
2020-02-13,75.7448
2020-02-14,75.767
2020-02-15,75.767
2020-02-16,75.767
2020-02-17,75.767
2020-02-18,68.3485
2020-02-19,64.7948
2020-02-20,64.8408
2020-02-21,61.229
2020-02-22,61.229
2020-02-23,61.229
2020-02-24,54.302
2020-02-25,50.209
2020-02-26,50.7978
2020-02-27,46.0217
2020-02-28,43.5571
2020-02-29,43.5571
2020-03-01,43.5571
2020-03-02,52.2825
2020-03-03,48.5611
2020-03-04,51.9937
2020-03-05,47.7183
2020-03-06,46.2604
2020-03-07,46.2604
2020-03-08,46.2604
2020-03-09,38.283
2020-03-10,41.4248
2020-03-11,37.856
2020-03-12,34.2687
2020-03-13,36.2972
2020-03-14,36.2972
2020-03-15,36.2972
2020-03-16,32.2945
2020-03-17,33.9685
2020-03-18,29.6183
2020-03-19,31.0169
2020-03-20,29.2886
2020-03-21,29.2886
2020-03-22,29.2886
2020-03-23,27.2947
2020-03-24,32.0992
2020-03-25,31.9089
2020-03-26,38.5607
2020-03-27,37.1299
2020-03-28,37.1299
2020-03-29,37.1299
2020-03-30,36.351
2020-03-31,35.8418
2020-04-01,32.3258
2020-04-02,31.2217
2020-04-03,28.5864
2020-04-04,28.5864
2020-04-05,28.5864
2020-04-06,31.5692
2020-04-07,36.1523
2020-04-08,38.7559
2020-04-09,42.2338
2020-04-10,42.2338
2020-04-11,42.2338
2020-04-12,42.2338
2020-04-13,40.4478
2020-04-14,40.4785
2020-04-15,38.9305
2020-04-16,39.2049
2020-04-17,40.6096
2020-04-18,40.6096
2020-04-19,40.6096
2020-04-20,39.2276
2020-04-21,38.5516
2020-04-22,38.6033
2020-04-23,39.1157
2020-04-24,39.0924
2020-04-25,39.0924
2020-04-26,39.0924
2020-04-27,40.2327
2020-04-28,41.4042
2020-04-29,44.7147
2020-04-30,43.9269
2020-05-01,43.1006
2020-05-02,43.1006
2020-05-03,43.1006
2020-05-04,42.9978
2020-05-05,42.8848
