,SBGI US Equity
,RSI_30D
2020-01-01,37.9945
2020-01-02,35.1186
2020-01-03,35.0342
2020-01-04,35.0342
2020-01-05,35.0342
2020-01-06,34.5192
2020-01-07,34.2157
2020-01-08,35.3084
2020-01-09,33.8112
2020-01-10,33.7891
2020-01-11,33.7891
2020-01-12,33.7891
2020-01-13,36.6204
2020-01-14,39.0706
2020-01-15,44.7427
2020-01-16,44.054
2020-01-17,43.255
2020-01-18,43.255
2020-01-19,43.255
2020-01-20,43.255
2020-01-21,41.1517
2020-01-22,41.45
2020-01-23,41.5266
2020-01-24,37.698
2020-01-25,37.698
2020-01-26,37.698
2020-01-27,36.3573
2020-01-28,38.5029
2020-01-29,37.2053
2020-01-30,38.1463
2020-01-31,35.8102
2020-02-01,35.8102
2020-02-02,35.8102
2020-02-03,37.9884
2020-02-04,38.8698
2020-02-05,40.9825
2020-02-06,40.4658
2020-02-07,36.1936
2020-02-08,36.1936
2020-02-09,36.1936
2020-02-10,36.1936
2020-02-11,39.0835
2020-02-12,39.2333
2020-02-13,38.6676
2020-02-14,38.5426
2020-02-15,38.5426
2020-02-16,38.5426
2020-02-17,38.5426
2020-02-18,39.9483
2020-02-19,41.7213
2020-02-20,38.6519
2020-02-21,37.529
2020-02-22,37.529
2020-02-23,37.529
2020-02-24,35.7759
2020-02-25,34.1898
2020-02-26,27.0825
2020-02-27,27.3857
2020-02-28,27.0511
2020-02-29,27.0511
2020-03-01,27.0511
2020-03-02,28.3503
2020-03-03,31.1006
2020-03-04,32.6162
2020-03-05,30.5238
2020-03-06,28.4189
2020-03-07,28.4189
2020-03-08,28.4189
2020-03-09,25.629
2020-03-10,29.2561
2020-03-11,27.1122
2020-03-12,23.9885
2020-03-13,23.696
2020-03-14,23.696
2020-03-15,23.696
2020-03-16,20.9365
2020-03-17,22.2351
2020-03-18,21.5044
2020-03-19,26.4461
2020-03-20,25.7196
2020-03-21,25.7196
2020-03-22,25.7196
2020-03-23,29.5038
2020-03-24,32.7111
2020-03-25,40.0106
2020-03-26,38.1783
2020-03-27,37.3203
2020-03-28,37.3203
2020-03-29,37.3203
2020-03-30,35.8673
2020-03-31,35.6674
2020-04-01,32.0529
2020-04-02,32.0208
2020-04-03,31.295
2020-04-04,31.295
2020-04-05,31.295
2020-04-06,35.6207
2020-04-07,36.312
2020-04-08,38.7161
2020-04-09,38.49
2020-04-10,38.49
2020-04-11,38.49
2020-04-12,38.49
2020-04-13,38.0639
2020-04-14,40.6221
2020-04-15,38.1333
2020-04-16,37.8418
2020-04-17,41.1224
2020-04-18,41.1224
2020-04-19,41.1224
2020-04-20,40.2019
2020-04-21,38.7524
2020-04-22,38.4384
2020-04-23,39.8631
2020-04-24,41.4168
2020-04-25,41.4168
2020-04-26,41.4168
2020-04-27,42.983
2020-04-28,45.3521
2020-04-29,48.3204
2020-04-30,46.4999
2020-05-01,45.2109
2020-05-02,45.2109
2020-05-03,45.2109
2020-05-04,42.4165
2020-05-05,43.0881
2020-05-06,43.9263
2020-05-07,44.4666
2020-05-08,45.2491
2020-05-09,45.2491
2020-05-10,45.2491
2020-05-11,45.3015
2020-05-12,44.4642
2020-05-13,42.3665
2020-05-14,42.7301
2020-05-15,44.2203
2020-05-16,44.2203
2020-05-17,44.2203
2020-05-18,47.4082
2020-05-19,47.5239
2020-05-20,48.5353
2020-05-21,48.0113
2020-05-22,49.4656
2020-05-23,49.4656
2020-05-24,49.4656
2020-05-25,49.4656
2020-05-26,50.2182
2020-05-27,52.8537
2020-05-28,50.6268
2020-05-29,51.2585
2020-05-30,51.2585
2020-05-31,51.2585
2020-06-01,52.5459
2020-06-02,54.458
2020-06-03,54.8957
2020-06-04,57.6875
2020-06-05,62.3739
2020-06-06,62.3739
2020-06-07,62.3739
2020-06-08,62.5552
2020-06-09,58.0021
2020-06-10,55.1043
2020-06-11,50.102
2020-06-12,50.3943
2020-06-13,50.3943
2020-06-14,50.3943
2020-06-15,51.2074
2020-06-16,51.168
2020-06-17,49.8378
2020-06-18,50.9212
2020-06-19,49.8678
2020-06-20,49.8678
2020-06-21,49.8678
2020-06-22,50.7196
2020-06-23,50.7609
2020-06-24,48.6762
2020-06-25,48.3649
2020-06-26,45.2325
2020-06-27,45.2325
2020-06-28,45.2325
2020-06-29,47.3015
2020-06-30,48.9075
2020-07-01,48.4125
2020-07-02,48.2861
2020-07-03,48.2861
2020-07-04,48.2861
2020-07-05,48.2861
2020-07-06,49.2457
2020-07-07,49.0216
2020-07-08,49.0456
2020-07-09,45.3186
2020-07-10,47.5626
2020-07-11,47.5626
2020-07-12,47.5626
2020-07-13,47.3986
2020-07-14,48.7041
2020-07-15,51.4863
2020-07-16,52.6967
2020-07-17,52.0314
2020-07-18,52.0314
2020-07-19,52.0314
2020-07-20,48.3804
2020-07-21,50.0312
2020-07-22,51.9564
2020-07-23,53.1294
2020-07-24,53.7354
2020-07-25,53.7354
2020-07-26,53.7354
2020-07-27,51.1228
2020-07-28,51.8917
2020-07-29,53.4296
2020-07-30,55.0456
2020-07-31,53.5339
2020-08-01,53.5339
2020-08-02,53.5339
2020-08-03,54.4764
2020-08-04,55.4334
2020-08-05,50.1089
2020-08-06,52.7304
2020-08-07,52.4453
2020-08-08,52.4453
2020-08-09,52.4453
2020-08-10,53.8645
2020-08-11,55.5486
2020-08-12,54.3824
2020-08-13,53.399
2020-08-14,54.2977
2020-08-15,54.2977
2020-08-16,54.2977
2020-08-17,53.5679
2020-08-18,52.1185
2020-08-19,53.5577
2020-08-20,52.222
2020-08-21,51.5441
2020-08-22,51.5441
2020-08-23,51.5441
2020-08-24,53.4438
2020-08-25,53.563
2020-08-26,53.7346
2020-08-27,54.2343
2020-08-28,54.5895
2020-08-29,54.5895
2020-08-30,54.5895
2020-08-31,52.5223
2020-09-01,50.6265
2020-09-02,51.8437
2020-09-03,51.3084
2020-09-04,52.6842
2020-09-05,52.6842
2020-09-06,52.6842
2020-09-07,52.6842
2020-09-08,53.1038
2020-09-09,52.1783
2020-09-10,50.062
2020-09-11,49.6029
2020-09-12,49.6029
2020-09-13,49.6029
2020-09-14,53.0752
2020-09-15,52.5312
2020-09-16,54.8677
2020-09-17,55.5225
2020-09-18,54.2336
2020-09-19,54.2336
2020-09-20,54.2336
2020-09-21,49.7098
2020-09-22,49.4431
2020-09-23,47.2578
2020-09-24,48.7573
2020-09-25,48.7887
2020-09-26,48.7887
2020-09-27,48.7887
2020-09-28,50.1774
2020-09-29,49.5145
2020-09-30,46.9479
2020-10-01,44.9123
2020-10-02,45.5317
2020-10-03,45.5317
2020-10-04,45.5317
2020-10-05,45.5023
2020-10-06,44.9913
2020-10-07,45.5862
2020-10-08,48.0213
2020-10-09,46.7612
2020-10-10,46.7612
2020-10-11,46.7612
2020-10-12,46.909
2020-10-13,46.5746
2020-10-14,45.6323
2020-10-15,44.5338
2020-10-16,44.9904
2020-10-17,44.9904
2020-10-18,44.9904
2020-10-19,43.1208
2020-10-20,47.7348
2020-10-21,48.5975
2020-10-22,48.133
2020-10-23,47.1995
2020-10-24,47.1995
2020-10-25,47.1995
2020-10-26,44.6173
2020-10-27,42.1072
2020-10-28,41.7993
2020-10-29,47.0471
2020-10-30,47.3471
2020-10-31,47.3471
2020-11-01,47.3471
2020-11-02,49.3146
2020-11-03,51.2352
2020-11-04,46.0534
2020-11-05,48.6528
2020-11-06,50.0795
2020-11-07,50.0795
2020-11-08,50.0795
2020-11-09,53.8721
2020-11-10,56.3805
2020-11-11,57.2621
2020-11-12,56.4397
2020-11-13,61.5116
2020-11-14,61.5116
2020-11-15,61.5116
2020-11-16,64.2944
2020-11-17,64.4756
2020-11-18,63.1497
2020-11-19,66.0764
2020-11-20,67.3621
2020-11-21,67.3621
2020-11-22,67.3621
2020-11-23,68.9944
2020-11-24,69.841
2020-11-25,70.0071
2020-11-26,70.0071
2020-11-27,68.9464
2020-11-28,68.9464
2020-11-29,68.9464
2020-11-30,66.6851
2020-12-01,68.3162
2020-12-02,69.3397
2020-12-03,68.3551
2020-12-04,69.1526
2020-12-05,69.1526
2020-12-06,69.1526
2020-12-07,69.0299
2020-12-08,69.395
2020-12-09,69.5379
2020-12-10,69.6162
2020-12-11,67.0755
2020-12-12,67.0755
2020-12-13,67.0755
2020-12-14,65.218
2020-12-15,66.6404
2020-12-16,64.3848
2020-12-17,65.8296
2020-12-18,64.5596
2020-12-19,64.5596
2020-12-20,64.5596
2020-12-21,61.143
2020-12-22,62.0821
2020-12-23,68.8798
2020-12-24,67.9311
2020-12-25,67.9311
2020-12-26,67.9311
2020-12-27,67.9311
2020-12-28,69.6438
2020-12-29,67.0615
2020-12-30,68.3967
2020-12-31,66.7037
2021-01-01,66.7037
2021-01-02,66.7037
2021-01-03,66.7037
2021-01-04,66.2611
2021-01-05,65.8842
2021-01-06,69.2659
2021-01-07,65.5969
2021-01-08,65.6154
2021-01-09,65.6154
2021-01-10,65.6154
2021-01-11,66.3992
2021-01-12,66.6799
2021-01-13,63.4978
2021-01-14,66.5708
2021-01-15,64.4571
2021-01-16,64.4571
2021-01-17,64.4571
2021-01-18,64.4571
2021-01-19,61.4147
2021-01-20,59.124
2021-01-21,58.02
2021-01-22,59.7064
2021-01-23,59.7064
2021-01-24,59.7064
2021-01-25,60.8129
2021-01-26,60.4887
2021-01-27,65.2597
2021-01-28,59.255
2021-01-29,55.6864
2021-01-30,55.6864
2021-01-31,55.6864
2021-02-01,57.4972
2021-02-02,56.5462
2021-02-03,54.9701
2021-02-04,56.1131
2021-02-05,56.8017
2021-02-06,56.8017
2021-02-07,56.8017
2021-02-08,57.4317
2021-02-09,56.8507
2021-02-10,56.2896
2021-02-11,56.4231
2021-02-12,56.3934
2021-02-13,56.3934
2021-02-14,56.3934
2021-02-15,56.3934
2021-02-16,57.025
2021-02-17,58.0266
2021-02-18,57.4468
2021-02-19,58.0015
2021-02-20,58.0015
2021-02-21,58.0015
2021-02-22,61.9097
2021-02-23,64.7772
2021-02-24,60.4511
2021-02-25,50.7563
2021-02-26,50.2464
2021-02-27,50.2464
2021-02-28,50.2464
2021-03-01,53.8344
2021-03-02,57.3663
2021-03-03,59.3698
2021-03-04,59.1523
2021-03-05,60.4027
2021-03-06,60.4027
2021-03-07,60.4027
2021-03-08,62.2516
2021-03-09,61.9404
2021-03-10,62.7745
2021-03-11,63.9227
2021-03-12,63.6445
2021-03-13,63.6445
2021-03-14,63.6445
2021-03-15,62.2434
2021-03-16,61.5703
2021-03-17,62.0828
2021-03-18,56.5416
2021-03-19,52.7361
2021-03-20,52.7361
2021-03-21,52.7361
2021-03-22,51.7074
2021-03-23,47.3081
2021-03-24,42.731
2021-03-25,43.2156
2021-03-26,42.8744
2021-03-27,42.8744
2021-03-28,42.8744
2021-03-29,42.2702
2021-03-30,44.6008
2021-03-31,43.6267
2021-04-01,45.1639
2021-04-02,45.1639
2021-04-03,45.1639
2021-04-04,45.1639
2021-04-05,44.8242
2021-04-06,45.2267
2021-04-07,45.348
2021-04-08,45.7457
2021-04-09,45.1299
2021-04-10,45.1299
2021-04-11,45.1299
2021-04-12,45.4443
2021-04-13,44.4776
2021-04-14,44.3225
2021-04-15,46.7125
2021-04-16,46.1472
2021-04-17,46.1472
2021-04-18,46.1472
2021-04-19,48.7663
2021-04-20,47.1681
2021-04-21,50.3796
2021-04-22,52.0547
2021-04-23,52.6686
2021-04-24,52.6686
2021-04-25,52.6686
2021-04-26,53.7754
2021-04-27,54.2231
2021-04-28,55.3071
2021-04-29,53.8447
2021-04-30,51.7358
2021-05-01,51.7358
2021-05-02,51.7358
2021-05-03,50.4711
2021-05-04,48.8673
2021-05-05,52.0216
2021-05-06,52.8842
2021-05-07,54.1274
2021-05-08,54.1274
2021-05-09,54.1274
2021-05-10,53.6678
2021-05-11,53.2006
2021-05-12,51.7441
2021-05-13,53.202
2021-05-14,53.8575
2021-05-15,53.8575
2021-05-16,53.8575
2021-05-17,51.8153
2021-05-18,50.8473
2021-05-19,48.3824
2021-05-20,49.5173
2021-05-21,51.2515
2021-05-22,51.2515
2021-05-23,51.2515
2021-05-24,51.6179
2021-05-25,49.945
2021-05-26,52.0686
2021-05-27,55.9603
2021-05-28,54.4776
2021-05-29,54.4776
2021-05-30,54.4776
2021-05-31,54.4776
2021-06-01,55.8393
2021-06-02,56.8047
2021-06-03,53.9873
2021-06-04,53.1092
2021-06-05,53.1092
2021-06-06,53.1092
2021-06-07,53.1636
2021-06-08,53.6361
2021-06-09,51.7613
2021-06-10,49.2271
2021-06-11,49.1087
2021-06-12,49.1087
2021-06-13,49.1087
2021-06-14,49.298
2021-06-15,49.5889
2021-06-16,49.8206
2021-06-17,48.5993
2021-06-18,48.0721
2021-06-19,48.0721
2021-06-20,48.0721
2021-06-21,51.3159
2021-06-22,51.8724
2021-06-23,53.6769
2021-06-24,55.5252
2021-06-25,57.5963
2021-06-26,57.5963
2021-06-27,57.5963
2021-06-28,54.4557
2021-06-29,51.0985
2021-06-30,51.8125
2021-07-01,49.5355
2021-07-02,48.5888
2021-07-03,48.5888
2021-07-04,48.5888
2021-07-05,48.5888
2021-07-06,46.3877
2021-07-07,43.4733
2021-07-08,41.6847
2021-07-09,43.3511
2021-07-10,43.3511
2021-07-11,43.3511
