,BLDR US Equity
,RSI_30D
2020-01-01,58.3527
2020-01-02,58.3527
2020-01-03,56.8823
2020-01-04,56.8823
2020-01-05,56.8823
2020-01-06,59.7536
2020-01-07,60.7164
2020-01-08,62.0613
2020-01-09,62.5616
2020-01-10,62.9658
2020-01-11,62.9658
2020-01-12,62.9658
2020-01-13,65.0171
2020-01-14,61.9734
2020-01-15,65.1603
2020-01-16,64.5024
2020-01-17,62.7811
2020-01-18,62.7811
2020-01-19,62.7811
2020-01-20,62.7811
2020-01-21,64.2385
2020-01-22,62.1278
2020-01-23,62.3737
2020-01-24,57.9365
2020-01-25,57.9365
2020-01-26,57.9365
2020-01-27,58.6046
2020-01-28,61.229
2020-01-29,56.6814
2020-01-30,54.8098
2020-01-31,47.3819
2020-02-01,47.3819
2020-02-02,47.3819
2020-02-03,46.619
2020-02-04,48.9706
2020-02-05,54.2011
2020-02-06,49.2091
2020-02-07,46.6198
2020-02-08,46.6198
2020-02-09,46.6198
2020-02-10,49.3979
2020-02-11,51.624
2020-02-12,55.9171
2020-02-13,59.4645
2020-02-14,57.0883
2020-02-15,57.0883
2020-02-16,57.0883
2020-02-17,57.0883
2020-02-18,57.3648
2020-02-19,59.6824
2020-02-20,60.3926
2020-02-21,53.7584
2020-02-22,53.7584
2020-02-23,53.7584
2020-02-24,53.7936
2020-02-25,46.5303
2020-02-26,42.2125
2020-02-27,41.4442
2020-02-28,40.6783
2020-02-29,40.6783
2020-03-01,40.6783
2020-03-02,46.0555
2020-03-03,44.7618
2020-03-04,50.855
2020-03-05,47.5487
2020-03-06,41.8051
2020-03-07,41.8051
2020-03-08,41.8051
2020-03-09,35.9582
2020-03-10,40.6519
2020-03-11,38.0075
2020-03-12,32.0025
2020-03-13,34.7955
2020-03-14,34.7955
2020-03-15,34.7955
2020-03-16,30.5785
2020-03-17,29.6638
2020-03-18,29.032
2020-03-19,32.2062
2020-03-20,31.5514
2020-03-21,31.5514
2020-03-22,31.5514
2020-03-23,31.2497
2020-03-24,37.0333
2020-03-25,38.8945
2020-03-26,38.3151
2020-03-27,37.2315
2020-03-28,37.2315
2020-03-29,37.2315
2020-03-30,36.6387
2020-03-31,35.8473
2020-04-01,34.9185
2020-04-02,35.0577
2020-04-03,34.2614
2020-04-04,34.2614
2020-04-05,34.2614
2020-04-06,38.6118
2020-04-07,40.2899
2020-04-08,40.2753
2020-04-09,43.3748
2020-04-10,43.3748
2020-04-11,43.3748
2020-04-12,43.3748
2020-04-13,41.5271
2020-04-14,42.1799
2020-04-15,40.8262
2020-04-16,40.3744
2020-04-17,43.9466
2020-04-18,43.9466
2020-04-19,43.9466
2020-04-20,42.8649
2020-04-21,42.139
2020-04-22,42.107
2020-04-23,43.2244
2020-04-24,44.9076
2020-04-25,44.9076
2020-04-26,44.9076
2020-04-27,47.1837
2020-04-28,50.1562
2020-04-29,54.1432
2020-04-30,51.8633
2020-05-01,49.8295
2020-05-02,49.8295
2020-05-03,49.8295
2020-05-04,49.1235
2020-05-05,49.2366
2020-05-06,47.9689
2020-05-07,49.7907
2020-05-08,51.1826
2020-05-09,51.1826
2020-05-10,51.1826
2020-05-11,50.6526
2020-05-12,48.5621
2020-05-13,46.3288
2020-05-14,47.1296
2020-05-15,47.923
2020-05-16,47.923
2020-05-17,47.923
2020-05-18,53.1981
2020-05-19,50.9626
2020-05-20,52.3781
2020-05-21,52.2416
2020-05-22,53.565
2020-05-23,53.565
2020-05-24,53.565
2020-05-25,53.565
2020-05-26,55.9131
2020-05-27,58.643
2020-05-28,55.3142
2020-05-29,55.5544
2020-05-30,55.5544
2020-05-31,55.5544
2020-06-01,56.6628
2020-06-02,58.2097
2020-06-03,57.6932
2020-06-04,57.9984
2020-06-05,59.7378
2020-06-06,59.7378
2020-06-07,59.7378
2020-06-08,59.4139
2020-06-09,57.8153
2020-06-10,57.7687
2020-06-11,53.2812
2020-06-12,53.8685
2020-06-13,53.8685
2020-06-14,53.8685
2020-06-15,56.9312
2020-06-16,57.4489
2020-06-17,55.6844
2020-06-18,55.3505
2020-06-19,54.1632
2020-06-20,54.1632
2020-06-21,54.1632
2020-06-22,54.3923
2020-06-23,54.3923
2020-06-24,51.9823
2020-06-25,51.1926
2020-06-26,49.0771
2020-06-27,49.0771
2020-06-28,49.0771
2020-06-29,51.4756
2020-06-30,51.9815
2020-07-01,49.8104
2020-07-02,50.5591
2020-07-03,50.5591
2020-07-04,50.5591
2020-07-05,50.5591
2020-07-06,51.3649
2020-07-07,49.991
2020-07-08,52.2558
2020-07-09,49.3756
2020-07-10,50.0926
2020-07-11,50.0926
2020-07-12,50.0926
2020-07-13,48.8185
2020-07-14,51.8836
2020-07-15,54.5369
2020-07-16,55.1858
2020-07-17,54.4548
2020-07-18,54.4548
2020-07-19,54.4548
2020-07-20,54.0843
2020-07-21,54.8679
2020-07-22,56.9627
2020-07-23,56.8823
2020-07-24,56.4432
2020-07-25,56.4432
2020-07-26,56.4432
2020-07-27,57.934
2020-07-28,54.5345
2020-07-29,56.9195
2020-07-30,56.1972
2020-07-31,56.744
2020-08-01,56.744
2020-08-02,56.744
2020-08-03,63.2741
2020-08-04,60.5028
2020-08-05,61.0242
2020-08-06,60.9168
