,GWW US Equity
,RSI_30D
2020-01-01,61.495
2020-01-02,64.3049
2020-01-03,61.2782
2020-01-04,61.2782
2020-01-05,61.2782
2020-01-06,59.0285
2020-01-07,59.1996
2020-01-08,60.9214
2020-01-09,61.7448
2020-01-10,60.3546
2020-01-11,60.3546
2020-01-12,60.3546
2020-01-13,61.8499
2020-01-14,58.8007
2020-01-15,58.0815
2020-01-16,59.041
2020-01-17,58.31
2020-01-18,58.31
2020-01-19,58.31
2020-01-20,58.31
2020-01-21,54.3054
2020-01-22,52.1101
2020-01-23,52.9655
2020-01-24,50.709
2020-01-25,50.709
2020-01-26,50.709
2020-01-27,46.7081
2020-01-28,47.5359
2020-01-29,49.9775
2020-01-30,42.4244
2020-01-31,38.4492
2020-02-01,38.4492
2020-02-02,38.4492
2020-02-03,38.7855
2020-02-04,41.6761
2020-02-05,45.4328
2020-02-06,43.3141
2020-02-07,39.9451
2020-02-08,39.9451
2020-02-09,39.9451
2020-02-10,39.3964
2020-02-11,40.8788
2020-02-12,45.9865
2020-02-13,43.8133
2020-02-14,44.9145
2020-02-15,44.9145
2020-02-16,44.9145
2020-02-17,44.9145
2020-02-18,45.1718
2020-02-19,44.7475
2020-02-20,46.327
2020-02-21,43.4818
2020-02-22,43.4818
2020-02-23,43.4818
2020-02-24,40.7759
2020-02-25,37.0864
2020-02-26,37.1178
2020-02-27,35.5695
2020-02-28,34.8998
2020-02-29,34.8998
2020-03-01,34.8998
2020-03-02,40.7189
2020-03-03,39.7403
2020-03-04,43.8153
2020-03-05,42.3589
2020-03-06,40.5214
2020-03-07,40.5214
2020-03-08,40.5214
2020-03-09,33.0427
2020-03-10,42.1642
2020-03-11,40.9489
2020-03-12,35.0249
2020-03-13,41.1683
2020-03-14,41.1683
2020-03-15,41.1683
2020-03-16,34.8888
2020-03-17,39.3231
2020-03-18,37.668
2020-03-19,37.5269
2020-03-20,34.4203
2020-03-21,34.4203
2020-03-22,34.4203
2020-03-23,33.8339
2020-03-24,40.9202
2020-03-25,40.704
2020-03-26,43.3007
2020-03-27,42.9903
2020-03-28,42.9903
2020-03-29,42.9903
2020-03-30,44.7416
2020-03-31,43.5904
2020-04-01,41.5929
2020-04-02,42.3165
2020-04-03,42.158
2020-04-04,42.158
2020-04-05,42.158
2020-04-06,45.0038
2020-04-07,46.4841
2020-04-08,49.1023
2020-04-09,50.9861
2020-04-10,50.9861
2020-04-11,50.9861
2020-04-12,50.9861
2020-04-13,49.875
2020-04-14,52.4563
2020-04-15,50.7845
2020-04-16,50.8813
2020-04-17,50.9424
2020-04-18,50.9424
2020-04-19,50.9424
2020-04-20,49.7247
2020-04-21,48.7907
2020-04-22,50.1152
2020-04-23,46.4715
2020-04-24,48.8992
2020-04-25,48.8992
2020-04-26,48.8992
2020-04-27,50.4605
2020-04-28,52.2491
2020-04-29,51.0955
2020-04-30,50.0209
2020-05-01,48.3737
2020-05-02,48.3737
2020-05-03,48.3737
2020-05-04,49.3455
2020-05-05,50.8663
2020-05-06,51.1424
2020-05-07,51.2764
2020-05-08,52.5577
2020-05-09,52.5577
2020-05-10,52.5577
2020-05-11,52.811
2020-05-12,50.516
2020-05-13,49.5332
2020-05-14,50.484
2020-05-15,50.9128
2020-05-16,50.9128
2020-05-17,50.9128
2020-05-18,53.7515
2020-05-19,52.6073
2020-05-20,54.7666
2020-05-21,54.597
2020-05-22,53.9036
2020-05-23,53.9036
2020-05-24,53.9036
2020-05-25,53.9036
2020-05-26,56.7872
2020-05-27,58.577
2020-05-28,57.1139
2020-05-29,57.2022
2020-05-30,57.2022
2020-05-31,57.2022
2020-06-01,56.1282
2020-06-02,58.1283
2020-06-03,58.775
2020-06-04,58.2586
2020-06-05,59.6848
2020-06-06,59.6848
2020-06-07,59.6848
2020-06-08,60.8659
2020-06-09,60.1953
2020-06-10,58.4104
2020-06-11,53.8977
2020-06-12,53.2732
2020-06-13,53.2732
2020-06-14,53.2732
2020-06-15,53.0005
2020-06-16,54.9908
2020-06-17,54.8714
2020-06-18,53.0973
2020-06-19,52.654
2020-06-20,52.654
2020-06-21,52.654
2020-06-22,52.7044
2020-06-23,52.1591
2020-06-24,50.063
2020-06-25,50.4204
2020-06-26,49.5259
2020-06-27,49.5259
2020-06-28,49.5259
2020-06-29,52.7008
2020-06-30,55.6795
2020-07-01,53.6523
2020-07-02,56.1937
2020-07-03,56.1937
2020-07-04,56.1937
2020-07-05,56.1937
2020-07-06,57.3784
2020-07-07,56.9224
2020-07-08,52.9947
2020-07-09,53.0558
2020-07-10,53.6304
2020-07-11,53.6304
2020-07-12,53.6304
2020-07-13,55.9679
2020-07-14,58.0403
2020-07-15,59.515
2020-07-16,59.4075
2020-07-17,58.3004
2020-07-18,58.3004
2020-07-19,58.3004
2020-07-20,58.4213
2020-07-21,60.1341
2020-07-22,60.55
2020-07-23,60.434
2020-07-24,61.1587
2020-07-25,61.1587
2020-07-26,61.1587
2020-07-27,60.487
2020-07-28,57.9596
2020-07-29,59.9635
2020-07-30,59.5629
2020-07-31,60.0581
2020-08-01,60.0581
2020-08-02,60.0581
2020-08-03,60.1828
2020-08-04,58.6673
2020-08-05,60.4322
2020-08-06,61.0686
2020-08-07,62.3167
2020-08-08,62.3167
2020-08-09,62.3167
2020-08-10,63.0792
2020-08-11,63.3218
2020-08-12,64.1503
2020-08-13,62.2673
2020-08-14,61.9205
2020-08-15,61.9205
2020-08-16,61.9205
2020-08-17,62.0851
2020-08-18,62.5204
2020-08-19,61.2171
2020-08-20,62.3641
2020-08-21,61.4624
2020-08-22,61.4624
2020-08-23,61.4624
2020-08-24,59.5875
2020-08-25,61.5299
2020-08-26,63.7533
2020-08-27,64.0625
2020-08-28,65.1636
2020-08-29,65.1636
2020-08-30,65.1636
2020-08-31,64.8415
2020-09-01,65.4801
2020-09-02,66.4555
2020-09-03,60.4959
2020-09-04,59.4127
2020-09-05,59.4127
2020-09-06,59.4127
2020-09-07,59.4127
2020-09-08,55.4267
2020-09-09,59.3845
2020-09-10,54.8702
2020-09-11,56.2049
2020-09-12,56.2049
2020-09-13,56.2049
2020-09-14,55.8332
2020-09-15,55.9444
2020-09-16,56.6942
2020-09-17,56.0807
2020-09-18,54.0299
2020-09-19,54.0299
2020-09-20,54.0299
2020-09-21,49.89
2020-09-22,50.7551
2020-09-23,48.8569
2020-09-24,50.2777
2020-09-25,52.2685
2020-09-26,52.2685
2020-09-27,52.2685
2020-09-28,54.6617
2020-09-29,53.9521
2020-09-30,55.7067
2020-10-01,56.1708
2020-10-02,56.6777
2020-10-03,56.6777
2020-10-04,56.6777
2020-10-05,60.7425
2020-10-06,59.0622
2020-10-07,61.8147
2020-10-08,64.5368
2020-10-09,64.2552
2020-10-10,64.2552
2020-10-11,64.2552
2020-10-12,65.1495
2020-10-13,62.8888
2020-10-14,63.4945
2020-10-15,63.1918
2020-10-16,62.0968
2020-10-17,62.0968
2020-10-18,62.0968
2020-10-19,57.7773
2020-10-20,58.1537
2020-10-21,57.0066
2020-10-22,51.9616
