,GOLF US Equity
,RSI_30D
2020-01-01,67.5793
2020-01-02,66.0299
2020-01-03,67.3837
2020-01-04,67.3837
2020-01-05,67.3837
2020-01-06,68.604
2020-01-07,61.7262
2020-01-08,61.3911
2020-01-09,61.4776
2020-01-10,59.0146
2020-01-11,59.0146
2020-01-12,59.0146
2020-01-13,62.2722
2020-01-14,62.9625
2020-01-15,64.1596
2020-01-16,64.0881
2020-01-17,60.5327
2020-01-18,60.5327
2020-01-19,60.5327
2020-01-20,60.5327
2020-01-21,59.5939
2020-01-22,57.1069
2020-01-23,58.3835
2020-01-24,55.4137
2020-01-25,55.4137
2020-01-26,55.4137
2020-01-27,55.7112
2020-01-28,55.456
2020-01-29,55.3904
2020-01-30,56.9197
2020-01-31,50.9953
2020-02-01,50.9953
2020-02-02,50.9953
2020-02-03,51.2714
2020-02-04,52.436
2020-02-05,54.2665
2020-02-06,52.8433
2020-02-07,49.6239
2020-02-08,49.6239
2020-02-09,49.6239
2020-02-10,49.1173
2020-02-11,46.6021
2020-02-12,51.0033
2020-02-13,50.1266
2020-02-14,49.0899
2020-02-15,49.0899
2020-02-16,49.0899
2020-02-17,49.0899
2020-02-18,46.1294
2020-02-19,45.5314
2020-02-20,47.4688
2020-02-21,45.0573
2020-02-22,45.0573
2020-02-23,45.0573
2020-02-24,38.7014
2020-02-25,35.2389
2020-02-26,33.9329
2020-02-27,30.2593
2020-02-28,29.9566
2020-02-29,29.9566
2020-03-01,29.9566
2020-03-02,36.0757
2020-03-03,35.9878
2020-03-04,38.3199
2020-03-05,35.7733
2020-03-06,35.1758
2020-03-07,35.1758
2020-03-08,35.1758
2020-03-09,30.949
2020-03-10,35.1724
2020-03-11,33.8196
2020-03-12,31.3016
2020-03-13,42.6538
2020-03-14,42.6538
2020-03-15,42.6538
2020-03-16,36.222
2020-03-17,41.2543
2020-03-18,39.032
2020-03-19,37.6398
2020-03-20,35.8078
2020-03-21,35.8078
2020-03-22,35.8078
2020-03-23,34.537
2020-03-24,41.4141
2020-03-25,42.5195
2020-03-26,47.413
2020-03-27,46.338
2020-03-28,46.338
2020-03-29,46.338
2020-03-30,46.6163
2020-03-31,46.8065
2020-04-01,44.4123
2020-04-02,45.6175
2020-04-03,43.4877
2020-04-04,43.4877
2020-04-05,43.4877
2020-04-06,47.2275
2020-04-07,48.0654
2020-04-08,45.4238
2020-04-09,45.5656
2020-04-10,45.5656
2020-04-11,45.5656
2020-04-12,45.5656
2020-04-13,44.6068
2020-04-14,43.2344
2020-04-15,42.9998
2020-04-16,43.5543
2020-04-17,45.3103
2020-04-18,45.3103
2020-04-19,45.3103
2020-04-20,45.6756
2020-04-21,44.0032
2020-04-22,44.6028
2020-04-23,44.5803
2020-04-24,45.3484
2020-04-25,45.3484
2020-04-26,45.3484
2020-04-27,49.6773
2020-04-28,53.2041
2020-04-29,54.6388
2020-04-30,53.4649
2020-05-01,51.2379
2020-05-02,51.2379
2020-05-03,51.2379
2020-05-04,52.0595
2020-05-05,51.956
2020-05-06,52.9242
2020-05-07,53.3857
2020-05-08,55.0649
2020-05-09,55.0649
2020-05-10,55.0649
2020-05-11,55.7249
2020-05-12,53.1852
2020-05-13,51.5556
2020-05-14,52.0451
2020-05-15,54.805
2020-05-16,54.805
2020-05-17,54.805
2020-05-18,58.5001
2020-05-19,58.6056
2020-05-20,60.2563
2020-05-21,61.0096
2020-05-22,61.1126
2020-05-23,61.1126
2020-05-24,61.1126
2020-05-25,61.1126
2020-05-26,63.4883
2020-05-27,65.3121
2020-05-28,64.8719
2020-05-29,65.2815
2020-05-30,65.2815
2020-05-31,65.2815
2020-06-01,66.5825
2020-06-02,67.3665
2020-06-03,68.4118
2020-06-04,68.8183
2020-06-05,69.4415
2020-06-06,69.4415
2020-06-07,69.4415
2020-06-08,70.2113
2020-06-09,68.2354
2020-06-10,67.0256
2020-06-11,60.5422
2020-06-12,61.7271
2020-06-13,61.7271
2020-06-14,61.7271
2020-06-15,61.8119
2020-06-16,62.3933
2020-06-17,64.05
2020-06-18,63.9393
2020-06-19,60.8232
2020-06-20,60.8232
2020-06-21,60.8232
2020-06-22,61.6989
2020-06-23,62.8444
2020-06-24,58.3647
2020-06-25,58.4834
2020-06-26,56.8085
2020-06-27,56.8085
2020-06-28,56.8085
2020-06-29,59.631
2020-06-30,60.156
2020-07-01,59.841
2020-07-02,59.3055
2020-07-03,59.3055
2020-07-04,59.3055
2020-07-05,59.3055
2020-07-06,59.6047
2020-07-07,56.2873
2020-07-08,57.2403
2020-07-09,56.1154
2020-07-10,57.4403
2020-07-11,57.4403
2020-07-12,57.4403
2020-07-13,55.5975
2020-07-14,57.7288
2020-07-15,60.3459
2020-07-16,61.2211
2020-07-17,61.5767
2020-07-18,61.5767
2020-07-19,61.5767
2020-07-20,61.7942
2020-07-21,64.4106
2020-07-22,63.4951
2020-07-23,64.7133
2020-07-24,62.9819
2020-07-25,62.9819
2020-07-26,62.9819
2020-07-27,65.9616
2020-07-28,63.437
2020-07-29,65.5758
2020-07-30,62.7466
2020-07-31,62.2712
2020-08-01,62.2712
2020-08-02,62.2712
2020-08-03,63.7361
2020-08-04,65.0356
2020-08-05,56.9933
2020-08-06,51.0445
2020-08-07,51.8426
2020-08-08,51.8426
2020-08-09,51.8426
2020-08-10,50.3251
2020-08-11,52.2842
2020-08-12,53.0032
2020-08-13,52.5121
