,PARA US Equity
,RSI_30D
2020-01-01,60.5768
2020-01-02,60.8648
2020-01-03,58.5066
2020-01-04,58.5066
2020-01-05,58.5066
2020-01-06,60.0334
2020-01-07,60.2072
2020-01-08,59.2177
2020-01-09,55.3788
2020-01-10,53.6807
2020-01-11,53.6807
2020-01-12,53.6807
2020-01-13,55.0772
2020-01-14,53.4774
2020-01-15,51.3753
2020-01-16,52.4331
2020-01-17,50.6422
2020-01-18,50.6422
2020-01-19,50.6422
2020-01-20,50.6422
2020-01-21,48.2847
2020-01-22,47.4429
2020-01-23,43.3651
2020-01-24,40.4118
2020-01-25,40.4118
2020-01-26,40.4118
2020-01-27,38.9043
2020-01-28,39.715
2020-01-29,38.188
2020-01-30,37.0871
2020-01-31,36.9548
2020-02-01,36.9548
2020-02-02,36.9548
2020-02-03,34.7139
2020-02-04,36.5708
2020-02-05,39.3738
2020-02-06,40.2955
2020-02-07,40.6901
2020-02-08,40.6901
2020-02-09,40.6901
2020-02-10,39.4636
2020-02-11,42.2029
2020-02-12,43.3201
2020-02-13,42.4969
2020-02-14,42.4969
2020-02-15,42.4969
2020-02-16,42.4969
2020-02-17,42.4969
2020-02-18,42.946
2020-02-19,45.0547
2020-02-20,31.5518
2020-02-21,30.0479
2020-02-22,30.0479
2020-02-23,30.0479
2020-02-24,28.2492
2020-02-25,26.3248
2020-02-26,25.2809
2020-02-27,24.6757
2020-02-28,27.0409
2020-02-29,27.0409
2020-03-01,27.0409
2020-03-02,26.6798
2020-03-03,25.2497
2020-03-04,25.317
2020-03-05,23.5401
2020-03-06,23.8473
2020-03-07,23.8473
2020-03-08,23.8473
2020-03-09,21.4681
2020-03-10,25.8073
2020-03-11,25.039
2020-03-12,21.6903
2020-03-13,23.1644
2020-03-14,23.1644
2020-03-15,23.1644
2020-03-16,20.894
2020-03-17,20.2536
2020-03-18,19.8698
2020-03-19,21.0668
2020-03-20,20.563
2020-03-21,20.563
2020-03-22,20.563
2020-03-23,20.0369
2020-03-24,29.4307
2020-03-25,29.4204
2020-03-26,28.6424
2020-03-27,27.4412
2020-03-28,27.4412
2020-03-29,27.4412
2020-03-30,30.6862
2020-03-31,30.6042
2020-04-01,29.2769
2020-04-02,29.2556
2020-04-03,28.896
2020-04-04,28.896
2020-04-05,28.896
2020-04-06,32.8051
2020-04-07,34.6511
2020-04-08,37.2773
2020-04-09,39.0321
2020-04-10,39.0321
2020-04-11,39.0321
2020-04-12,39.0321
2020-04-13,38.3075
2020-04-14,38.8011
2020-04-15,37.2309
2020-04-16,36.4187
2020-04-17,39.2335
2020-04-18,39.2335
2020-04-19,39.2335
2020-04-20,38.8082
2020-04-21,38.2414
2020-04-22,37.901
2020-04-23,39.3854
2020-04-24,39.6786
2020-04-25,39.6786
2020-04-26,39.6786
2020-04-27,43.0258
2020-04-28,44.142
2020-04-29,47.6206
2020-04-30,44.4068
2020-05-01,43.018
2020-05-02,43.018
2020-05-03,43.018
2020-05-04,42.3923
2020-05-05,40.9815
2020-05-06,40.3494
2020-05-07,43.9726
2020-05-08,47.5267
2020-05-09,47.5267
2020-05-10,47.5267
2020-05-11,47.4517
2020-05-12,47.8984
2020-05-13,45.2456
2020-05-14,45.9316
2020-05-15,46.2462
2020-05-16,46.2462
2020-05-17,46.2462
2020-05-18,50.0076
2020-05-19,51.1986
2020-05-20,51.1773
2020-05-21,51.6162
2020-05-22,51.051
2020-05-23,51.051
2020-05-24,51.051
2020-05-25,51.051
2020-05-26,52.7218
2020-05-27,55.9893
2020-05-28,54.0796
2020-05-29,53.0173
2020-05-30,53.0173
2020-05-31,53.0173
2020-06-01,54.6017
2020-06-02,55.2147
2020-06-03,56.923
2020-06-04,59.4675
2020-06-05,60.6692
2020-06-06,60.6692
2020-06-07,60.6692
2020-06-08,66.1428
2020-06-09,60.2861
2020-06-10,56.116
2020-06-11,55.3127
2020-06-12,54.4191
2020-06-13,54.4191
2020-06-14,54.4191
2020-06-15,57.5561
2020-06-16,56.1499
2020-06-17,54.4017
2020-06-18,56.2994
2020-06-19,54.7095
2020-06-20,54.7095
2020-06-21,54.7095
2020-06-22,54.3177
2020-06-23,54.687
2020-06-24,54.4181
2020-06-25,53.1495
2020-06-26,51.8179
2020-06-27,51.8179
2020-06-28,51.8179
2020-06-29,53.1807
2020-06-30,53.6819
2020-07-01,54.2079
2020-07-02,53.4234
2020-07-03,53.4234
2020-07-04,53.4234
2020-07-05,53.4234
2020-07-06,54.2838
2020-07-07,52.5936
2020-07-08,52.525
2020-07-09,50.657
2020-07-10,52.4285
2020-07-11,52.4285
2020-07-12,52.4285
2020-07-13,54.0329
2020-07-14,55.1169
2020-07-15,56.4929
2020-07-16,57.5506
2020-07-17,56.7462
2020-07-18,56.7462
2020-07-19,56.7462
2020-07-20,54.9024
2020-07-21,55.0074
2020-07-22,55.7326
2020-07-23,56.3111
2020-07-24,55.2597
2020-07-25,55.2597
2020-07-26,55.2597
2020-07-27,55.4409
2020-07-28,54.5553
2020-07-29,56.3471
2020-07-30,57.5172
2020-07-31,58.0982
2020-08-01,58.0982
2020-08-02,58.0982
2020-08-03,56.9668
2020-08-04,58.8843
2020-08-05,57.1691
2020-08-06,59.1605
2020-08-07,57.0635
2020-08-08,57.0635
2020-08-09,57.0635
2020-08-10,57.2938
2020-08-11,57.7625
2020-08-12,56.8905
2020-08-13,57.9841
2020-08-14,59.7896
2020-08-15,59.7896
2020-08-16,59.7896
2020-08-17,59.0061
2020-08-18,58.1155
2020-08-19,58.9777
2020-08-20,56.8004
2020-08-21,56.1873
2020-08-22,56.1873
2020-08-23,56.1873
2020-08-24,59.0573
2020-08-25,58.8104
2020-08-26,59.6089
2020-08-27,60.5484
2020-08-28,59.4936
2020-08-29,59.4936
2020-08-30,59.4936
2020-08-31,58.9623
2020-09-01,58.3844
2020-09-02,60.0324
2020-09-03,59.7915
2020-09-04,61.1361
2020-09-05,61.1361
2020-09-06,61.1361
2020-09-07,61.1361
2020-09-08,60.9673
2020-09-09,60.9673
2020-09-10,62.5967
2020-09-11,62.5052
2020-09-12,62.5052
2020-09-13,62.5052
2020-09-14,64.379
2020-09-15,65.4154
2020-09-16,66.7898
2020-09-17,64.7568
2020-09-18,64.2749
2020-09-19,64.2749
2020-09-20,64.2749
2020-09-21,58.9641
2020-09-22,60.1716
2020-09-23,57.6959
2020-09-24,58.6878
2020-09-25,59.8103
2020-09-26,59.8103
2020-09-27,59.8103
2020-09-28,60.7113
2020-09-29,56.9615
2020-09-30,53.286
2020-10-01,52.0785
2020-10-02,53.0458
2020-10-03,53.0458
2020-10-04,53.0458
2020-10-05,54.4241
2020-10-06,54.621
2020-10-07,55.9337
2020-10-08,58.3044
2020-10-09,55.4808
2020-10-10,55.4808
2020-10-11,55.4808
2020-10-12,53.2174
2020-10-13,50.0829
2020-10-14,49.7022
2020-10-15,51.4045
2020-10-16,51.7835
2020-10-17,51.7835
2020-10-18,51.7835
2020-10-19,48.8798
2020-10-20,50.06
2020-10-21,53.4618
2020-10-22,55.4212
2020-10-23,55.9691
2020-10-24,55.9691
2020-10-25,55.9691
2020-10-26,53.9493
2020-10-27,51.9724
2020-10-28,50.5184
2020-10-29,51.6448
2020-10-30,53.1168
2020-10-31,53.1168
2020-11-01,53.1168
2020-11-02,56.3358
2020-11-03,57.8753
2020-11-04,56.4761
2020-11-05,60.6331
2020-11-06,53.6882
2020-11-07,53.6882
2020-11-08,53.6882
2020-11-09,52.9008
2020-11-10,55.6465
2020-11-11,55.9848
2020-11-12,52.9326
2020-11-13,55.4454
2020-11-14,55.4454
2020-11-15,55.4454
2020-11-16,59.4527
2020-11-17,60.3001
2020-11-18,61.1824
2020-11-19,62.7088
2020-11-20,63.8373
2020-11-21,63.8373
2020-11-22,63.8373
2020-11-23,65.0675
2020-11-24,64.6701
2020-11-25,65.2882
2020-11-26,65.2882
2020-11-27,65.7776
2020-11-28,65.7776
2020-11-29,65.7776
2020-11-30,66.2102
2020-12-01,68.2926
2020-12-02,68.3113
2020-12-03,68.7218
2020-12-04,69.4174
2020-12-05,69.4174
2020-12-06,69.4174
2020-12-07,68.8532
2020-12-08,68.1044
2020-12-09,67.1708
2020-12-10,64.6814
2020-12-11,63.5276
2020-12-12,63.5276
2020-12-13,63.5276
2020-12-14,60.6484
2020-12-15,61.8663
2020-12-16,63.7198
2020-12-17,64.4585
2020-12-18,60.5889
2020-12-19,60.5889
2020-12-20,60.5889
2020-12-21,58.991
2020-12-22,59.0998
2020-12-23,61.8744
2020-12-24,61.9751
2020-12-25,61.9751
2020-12-26,61.9751
2020-12-27,61.9751
2020-12-28,63.8046
2020-12-29,63.7617
2020-12-30,64.2097
2020-12-31,65.1022
2021-01-01,65.1022
2021-01-02,65.1022
2021-01-03,65.1022
2021-01-04,62.1622
2021-01-05,63.1787
2021-01-06,70.0331
2021-01-07,69.6986
2021-01-08,69.4412
2021-01-09,69.4412
2021-01-10,69.4412
2021-01-11,71.2701
2021-01-12,72.4961
2021-01-13,74.5843
2021-01-14,78.2549
2021-01-15,75.5128
2021-01-16,75.5128
2021-01-17,75.5128
2021-01-18,75.5128
2021-01-19,69.902
2021-01-20,68.5758
2021-01-21,71.1193
2021-01-22,71.7545
2021-01-23,71.7545
2021-01-24,71.7545
2021-01-25,74.3947
2021-01-26,78.5033
2021-01-27,81.4821
2021-01-28,68.4981
2021-01-29,64.3587
2021-01-30,64.3587
2021-01-31,64.3587
2021-02-01,67.9986
2021-02-02,64.3256
2021-02-03,65.9787
2021-02-04,65.9787
2021-02-05,67.7385
