,TGE US Equity
,RSI_30D
2020-01-01,73.7745
2020-01-02,73.5148
2020-01-03,73.5629
2020-01-04,73.5629
2020-01-05,73.5629
2020-01-06,74.0508
2020-01-07,74.1986
2020-01-08,73.6203
2020-01-09,73.8313
2020-01-10,73.8853
2020-01-11,73.8853
2020-01-12,73.8853
2020-01-13,73.7279
2020-01-14,73.7857
2020-01-15,73.9634
2020-01-16,73.2782
2020-01-17,73.5945
2020-01-18,73.5945
2020-01-19,73.5945
2020-01-20,73.5945
2020-01-21,73.2358
2020-01-22,73.2358
2020-01-23,73.3054
2020-01-24,73.6598
2020-01-25,73.6598
2020-01-26,73.6598
2020-01-27,73.458
2020-01-28,72.6347
2020-01-29,72.0085
2020-01-30,72.0085
2020-01-31,72.5157
2020-02-01,72.5157
2020-02-02,72.5157
2020-02-03,72.2898
2020-02-04,72.2898
2020-02-05,72.3819
2020-02-06,72.134
2020-02-07,71.8794
2020-02-08,71.8794
2020-02-09,71.8794
2020-02-10,71.6179
2020-02-11,71.6179
2020-02-12,71.8372
2020-02-13,70.9861
2020-02-14,71.3374
2020-02-15,71.3374
2020-02-16,71.3374
2020-02-17,71.3374
2020-02-18,71.3374
2020-02-19,71.3374
2020-02-20,71.5913
2020-02-21,71.5913
2020-02-22,71.5913
2020-02-23,71.5913
2020-02-24,71.5913
2020-02-25,70.2144
2020-02-26,69.5228
2020-02-27,63.6828
2020-02-28,63.3768
2020-02-29,63.3768
2020-03-01,63.3768
2020-03-02,52.8666
2020-03-03,57.4309
2020-03-04,59.2281
2020-03-05,53.1128
2020-03-06,37.5039
2020-03-07,37.5039
2020-03-08,37.5039
2020-03-09,21.9632
2020-03-10,29.2301
2020-03-11,25.3198
2020-03-12,20.4453
2020-03-13,26.6573
2020-03-14,26.6573
2020-03-15,26.6573
2020-03-16,18.7837
2020-03-17,32.0335
2020-03-18,28.3089
2020-03-19,30.199
2020-03-20,31.7996
2020-03-21,31.7996
2020-03-22,31.7996
2020-03-23,32.3633
2020-03-24,37.3112
2020-03-25,39.6335
2020-03-26,42.5565
2020-03-27,44.5786
