,PINC US Equity
,RSI_30D
2020-01-01,56.4161
2020-01-02,51.9004
2020-01-03,50.6001
2020-01-04,50.6001
2020-01-05,50.6001
2020-01-06,51.0233
2020-01-07,50.5455
2020-01-08,50.393
2020-01-09,50.7314
2020-01-10,49.8992
2020-01-11,49.8992
2020-01-12,49.8992
2020-01-13,48.1094
2020-01-14,49.2976
2020-01-15,52.9794
2020-01-16,53.8247
2020-01-17,52.9086
2020-01-18,52.9086
2020-01-19,52.9086
2020-01-20,52.9086
2020-01-21,52.4638
2020-01-22,53.0914
2020-01-23,53.2828
2020-01-24,49.1986
2020-01-25,49.1986
2020-01-26,49.1986
2020-01-27,48.0365
2020-01-28,47.9713
2020-01-29,46.8864
2020-01-30,46.9991
2020-01-31,46.0884
2020-02-01,46.0884
2020-02-02,46.0884
2020-02-03,46.7213
2020-02-04,38.0558
2020-02-05,37.3628
2020-02-06,36.6486
2020-02-07,37.5136
2020-02-08,37.5136
2020-02-09,37.5136
2020-02-10,39.1903
2020-02-11,39.5179
2020-02-12,38.1364
2020-02-13,40.2555
2020-02-14,40.1718
2020-02-15,40.1718
2020-02-16,40.1718
2020-02-17,40.1718
2020-02-18,38.8617
2020-02-19,38.9493
2020-02-20,37.773
2020-02-21,37.7169
2020-02-22,37.7169
2020-02-23,37.7169
2020-02-24,36.3214
2020-02-25,35.5592
2020-02-26,32.8354
2020-02-27,31.9367
2020-02-28,34.6163
2020-02-29,34.6163
2020-03-01,34.6163
2020-03-02,40.196
2020-03-03,38.5744
2020-03-04,39.1668
2020-03-05,35.4988
2020-03-06,35.9269
2020-03-07,35.9269
2020-03-08,35.9269
2020-03-09,36.4937
2020-03-10,37.6783
2020-03-11,41.1681
2020-03-12,41.978
2020-03-13,56.3873
2020-03-14,56.3873
2020-03-15,56.3873
2020-03-16,50.6647
2020-03-17,53.3761
2020-03-18,52.3747
2020-03-19,46.3189
2020-03-20,41.9482
2020-03-21,41.9482
2020-03-22,41.9482
2020-03-23,39.4121
2020-03-24,43.2736
2020-03-25,41.9596
2020-03-26,45.6863
2020-03-27,46.9182
2020-03-28,46.9182
2020-03-29,46.9182
2020-03-30,49.3562
2020-03-31,51.394
2020-04-01,51.984
2020-04-02,48.69
2020-04-03,48.5946
2020-04-04,48.5946
2020-04-05,48.5946
2020-04-06,51.6697
2020-04-07,53.2721
2020-04-08,55.0615
2020-04-09,50.7611
2020-04-10,50.7611
2020-04-11,50.7611
2020-04-12,50.7611
2020-04-13,48.1325
2020-04-14,49.5576
2020-04-15,51.2492
2020-04-16,50.2842
2020-04-17,51.7307
2020-04-18,51.7307
2020-04-19,51.7307
2020-04-20,51.5948
2020-04-21,50.2299
2020-04-22,49.5328
2020-04-23,50.5001
2020-04-24,51.5395
2020-04-25,51.5395
2020-04-26,51.5395
2020-04-27,52.8533
2020-04-28,51.2264
2020-04-29,52.098
2020-04-30,51.6424
2020-05-01,49.9425
2020-05-02,49.9425
2020-05-03,49.9425
2020-05-04,47.8392
2020-05-05,46.0683
2020-05-06,45.6795
2020-05-07,44.704
2020-05-08,46.4777
2020-05-09,46.4777
2020-05-10,46.4777
2020-05-11,46.8305
2020-05-12,45.4662
2020-05-13,44.8517
2020-05-14,45.4365
2020-05-15,46.0286
2020-05-16,46.0286
2020-05-17,46.0286
2020-05-18,48.8969
2020-05-19,51.9519
2020-05-20,51.4258
2020-05-21,54.3391
2020-05-22,52.9897
2020-05-23,52.9897
2020-05-24,52.9897
2020-05-25,52.9897
2020-05-26,54.7238
2020-05-27,55.1414
2020-05-28,55.4178
2020-05-29,56.3594
2020-05-30,56.3594
2020-05-31,56.3594
2020-06-01,54.2578
2020-06-02,54.4605
2020-06-03,54.3774
2020-06-04,54.876
2020-06-05,55.2852
2020-06-06,55.2852
2020-06-07,55.2852
2020-06-08,57.5791
2020-06-09,55.7379
2020-06-10,54.6705
2020-06-11,51.0995
2020-06-12,48.8637
2020-06-13,48.8637
2020-06-14,48.8637
2020-06-15,49.9439
2020-06-16,52.882
2020-06-17,53.3181
2020-06-18,54.7852
2020-06-19,55.1675
2020-06-20,55.1675
2020-06-21,55.1675
2020-06-22,51.851
2020-06-23,53.1945
2020-06-24,51.1442
2020-06-25,51.4795
2020-06-26,48.6873
2020-06-27,48.6873
2020-06-28,48.6873
2020-06-29,51.2902
2020-06-30,53.0636
2020-07-01,53.8838
2020-07-02,50.4755
2020-07-03,50.4755
2020-07-04,50.4755
2020-07-05,50.4755
2020-07-06,51.1426
2020-07-07,51.0219
2020-07-08,46.8756
2020-07-09,45.4004
2020-07-10,46.4248
2020-07-11,46.4248
2020-07-12,46.4248
2020-07-13,45.2846
2020-07-14,46.9415
2020-07-15,49.5404
2020-07-16,52.2823
2020-07-17,54.4694
2020-07-18,54.4694
2020-07-19,54.4694
2020-07-20,52.3313
2020-07-21,53.6104
2020-07-22,54.2795
2020-07-23,54.9289
2020-07-24,53.7997
2020-07-25,53.7997
2020-07-26,53.7997
2020-07-27,53.2897
2020-07-28,51.9868
2020-07-29,52.0659
2020-07-30,53.6452
2020-07-31,54.3454
2020-08-01,54.3454
2020-08-02,54.3454
2020-08-03,53.8777
2020-08-04,54.0957
2020-08-05,52.3985
2020-08-06,51.9846
2020-08-07,53.3622
2020-08-08,53.3622
2020-08-09,53.3622
2020-08-10,53.4798
2020-08-11,55.2021
2020-08-12,53.0663
2020-08-13,54.7602
2020-08-14,59.3405
2020-08-15,59.3405
2020-08-16,59.3405
2020-08-17,53.2102
2020-08-18,54.6332
2020-08-19,50.6037
2020-08-20,50.2019
2020-08-21,49.4172
2020-08-22,49.4172
2020-08-23,49.4172
2020-08-24,49.0887
2020-08-25,45.4674
2020-08-26,43.2135
2020-08-27,46.41
2020-08-28,44.0316
2020-08-29,44.0316
2020-08-30,44.0316
2020-08-31,48.0839
2020-09-01,48.1615
2020-09-02,49.0291
2020-09-03,47.8983
2020-09-04,47.5203
2020-09-05,47.5203
2020-09-06,47.5203
2020-09-07,47.5203
2020-09-08,46.707
2020-09-09,47.8892
2020-09-10,46.7127
2020-09-11,44.1213
2020-09-12,44.1213
2020-09-13,44.1213
2020-09-14,43.7351
2020-09-15,44.3024
2020-09-16,46.6518
2020-09-17,46.6518
2020-09-18,44.4852
2020-09-19,44.4852
2020-09-20,44.4852
2020-09-21,44.6797
2020-09-22,43.8845
2020-09-23,43.1692
2020-09-24,45.1227
2020-09-25,47.7312
2020-09-26,47.7312
2020-09-27,47.7312
2020-09-28,49.7095
2020-09-29,48.6383
2020-09-30,50.5373
2020-10-01,49.2018
2020-10-02,51.261
2020-10-03,51.261
2020-10-04,51.261
2020-10-05,54.5672
2020-10-06,52.8998
2020-10-07,51.0723
2020-10-08,51.6198
2020-10-09,51.4318
2020-10-10,51.4318
2020-10-11,51.4318
2020-10-12,49.6544
2020-10-13,48.9785
2020-10-14,53.2291
2020-10-15,55.7534
2020-10-16,56.2728
2020-10-17,56.2728
2020-10-18,56.2728
2020-10-19,52.2733
2020-10-20,51.8498
2020-10-21,50.875
2020-10-22,53.8482
2020-10-23,53.9298
2020-10-24,53.9298
2020-10-25,53.9298
2020-10-26,53.1837
2020-10-27,51.2081
