,BBY US Equity
,RSI_30D
2020-01-01,68.6003
2020-01-02,67.3761
2020-01-03,67.0477
2020-01-04,67.0477
2020-01-05,67.0477
2020-01-06,67.955
2020-01-07,68.5682
2020-01-08,68.8641
2020-01-09,69.7478
2020-01-10,71.2486
2020-01-11,71.2486
2020-01-12,71.2486
2020-01-13,71.935
2020-01-14,69.7055
2020-01-15,65.5802
2020-01-16,65.6209
2020-01-17,66.9561
2020-01-18,66.9561
2020-01-19,66.9561
2020-01-20,66.9561
2020-01-21,67.3535
2020-01-22,64.7486
2020-01-23,65.5306
2020-01-24,64.5079
2020-01-25,64.5079
2020-01-26,64.5079
2020-01-27,60.3059
2020-01-28,62.0075
2020-01-29,60.124
2020-01-30,57.7214
2020-01-31,52.5853
2020-02-01,52.5853
2020-02-02,52.5853
2020-02-03,53.5956
2020-02-04,56.0272
2020-02-05,60.2602
2020-02-06,58.478
2020-02-07,55.2912
2020-02-08,55.2912
2020-02-09,55.2912
2020-02-10,57.7606
2020-02-11,59.4036
2020-02-12,60.7828
2020-02-13,59.7133
2020-02-14,59.3262
2020-02-15,59.3262
2020-02-16,59.3262
2020-02-17,59.3262
2020-02-18,59.2217
2020-02-19,60.349
2020-02-20,61.7378
2020-02-21,58.1817
2020-02-22,58.1817
2020-02-23,58.1817
2020-02-24,49.7348
2020-02-25,44.6491
2020-02-26,45.1155
2020-02-27,40.4144
2020-02-28,37.6266
2020-02-29,37.6266
2020-03-01,37.6266
2020-03-02,43.6165
2020-03-03,40.5069
2020-03-04,45.5706
2020-03-05,43.0749
2020-03-06,39.5061
2020-03-07,39.5061
2020-03-08,39.5061
2020-03-09,34.4407
2020-03-10,38.2696
2020-03-11,35.1645
2020-03-12,29.8973
2020-03-13,35.5654
2020-03-14,35.5654
2020-03-15,35.5654
2020-03-16,33.6932
2020-03-17,36.4718
2020-03-18,33.6584
2020-03-19,34.3395
2020-03-20,32.8955
2020-03-21,32.8955
2020-03-22,32.8955
2020-03-23,32.4583
2020-03-24,39.7965
2020-03-25,40.8588
2020-03-26,42.6447
2020-03-27,42.4106
2020-03-28,42.4106
2020-03-29,42.4106
2020-03-30,40.8706
2020-03-31,39.3752
2020-04-01,37.7639
2020-04-02,37.185
2020-04-03,37.8079
2020-04-04,37.8079
2020-04-05,37.8079
2020-04-06,43.205
2020-04-07,44.4023
2020-04-08,46.3757
2020-04-09,47.4757
2020-04-10,47.4757
2020-04-11,47.4757
2020-04-12,47.4757
2020-04-13,49.1232
2020-04-14,50.1623
2020-04-15,46.8273
2020-04-16,46.9849
2020-04-17,50.7083
2020-04-18,50.7083
2020-04-19,50.7083
2020-04-20,50.297
2020-04-21,48.9569
2020-04-22,49.7777
2020-04-23,50.2129
2020-04-24,51.8016
2020-04-25,51.8016
2020-04-26,51.8016
2020-04-27,53.6083
2020-04-28,55.5438
2020-04-29,57.0536
2020-04-30,54.4709
2020-05-01,51.2402
2020-05-02,51.2402
2020-05-03,51.2402
2020-05-04,52.6063
2020-05-05,52.86
2020-05-06,52.2956
2020-05-07,53.8127
2020-05-08,55.3593
2020-05-09,55.3593
2020-05-10,55.3593
2020-05-11,54.8721
2020-05-12,54.0891
2020-05-13,52.4759
2020-05-14,53.9937
2020-05-15,54.9717
2020-05-16,54.9717
2020-05-17,54.9717
2020-05-18,60.2368
2020-05-19,57.2559
2020-05-20,55.7514
2020-05-21,53.1024
2020-05-22,52.3364
2020-05-23,52.3364
2020-05-24,52.3364
2020-05-25,52.3364
2020-05-26,53.9881
2020-05-27,53.6937
2020-05-28,51.7117
2020-05-29,52.8398
2020-05-30,52.8398
2020-05-31,52.8398
2020-06-01,52.3898
2020-06-02,54.4506
2020-06-03,55.5605
2020-06-04,53.7177
2020-06-05,55.4522
2020-06-06,55.4522
2020-06-07,55.4522
2020-06-08,56.2004
2020-06-09,54.5041
2020-06-10,54.9373
2020-06-11,51.3634
2020-06-12,51.7356
2020-06-13,51.7356
2020-06-14,51.7356
2020-06-15,53.3646
2020-06-16,55.741
2020-06-17,55.5464
2020-06-18,54.7383
2020-06-19,53.7909
2020-06-20,53.7909
2020-06-21,53.7909
2020-06-22,56.3352
2020-06-23,57.0594
2020-06-24,55.2529
2020-06-25,55.8894
2020-06-26,55.9549
2020-06-27,55.9549
2020-06-28,55.9549
2020-06-29,57.0766
2020-06-30,57.7603
2020-07-01,57.8194
2020-07-02,57.8956
2020-07-03,57.8956
