,CBRL US Equity
,RSI_30D
2020-01-01,46.7379
2020-01-02,47.7322
2020-01-03,48.734
2020-01-04,48.734
2020-01-05,48.734
2020-01-06,49.6501
2020-01-07,48.1218
2020-01-08,50.2951
2020-01-09,48.2714
2020-01-10,52.0708
2020-01-11,52.0708
2020-01-12,52.0708
2020-01-13,52.2634
2020-01-14,56.1052
2020-01-15,56.4306
2020-01-16,54.0349
2020-01-17,54.0659
2020-01-18,54.0659
2020-01-19,54.0659
2020-01-20,54.0659
2020-01-21,52.2531
2020-01-22,53.1207
2020-01-23,54.0283
2020-01-24,51.816
2020-01-25,51.816
2020-01-26,51.816
2020-01-27,49.8811
2020-01-28,50.722
2020-01-29,50.7694
2020-01-30,49.4033
2020-01-31,46.0972
2020-02-01,46.0972
2020-02-02,46.0972
2020-02-03,45.2322
2020-02-04,45.9232
2020-02-05,50.5748
2020-02-06,52.8996
2020-02-07,52.7884
2020-02-08,52.7884
2020-02-09,52.7884
2020-02-10,55.1598
2020-02-11,54.9902
2020-02-12,56.4295
2020-02-13,59.6709
2020-02-14,59.3922
2020-02-15,59.3922
2020-02-16,59.3922
2020-02-17,59.3922
2020-02-18,56.8908
2020-02-19,57.1166
2020-02-20,60.2864
2020-02-21,62.3058
2020-02-22,62.3058
2020-02-23,62.3058
2020-02-24,58.5477
2020-02-25,51.4746
2020-02-26,47.9938
2020-02-27,41.6984
2020-02-28,38.0368
2020-02-29,38.0368
2020-03-01,38.0368
2020-03-02,43.6728
2020-03-03,40.2883
2020-03-04,43.0385
2020-03-05,37.5002
2020-03-06,35.295
2020-03-07,35.295
2020-03-08,35.295
2020-03-09,30.7488
2020-03-10,33.1427
2020-03-11,28.1576
2020-03-12,24.2516
2020-03-13,28.05
2020-03-14,28.05
2020-03-15,28.05
2020-03-16,23.4506
2020-03-17,22.0469
2020-03-18,20.1146
2020-03-19,27.024
2020-03-20,26.2944
2020-03-21,26.2944
2020-03-22,26.2944
2020-03-23,32.8831
2020-03-24,38.658
2020-03-25,38.0599
2020-03-26,36.4775
2020-03-27,33.9521
2020-03-28,33.9521
2020-03-29,33.9521
2020-03-30,35.2621
2020-03-31,37.728
2020-04-01,35.6365
2020-04-02,35.0213
2020-04-03,34.9387
2020-04-04,34.9387
2020-04-05,34.9387
2020-04-06,37.9237
2020-04-07,37.7758
2020-04-08,39.5505
2020-04-09,42.0136
2020-04-10,42.0136
2020-04-11,42.0136
2020-04-12,42.0136
2020-04-13,41.6143
2020-04-14,41.8246
2020-04-15,42.1122
2020-04-16,41.8056
2020-04-17,43.4774
2020-04-18,43.4774
2020-04-19,43.4774
2020-04-20,41.9595
2020-04-21,40.7202
2020-04-22,43.9648
2020-04-23,43.3628
2020-04-24,43.4531
2020-04-25,43.4531
2020-04-26,43.4531
2020-04-27,45.7971
2020-04-28,46.7477
2020-04-29,48.5116
2020-04-30,46.993
2020-05-01,45.776
2020-05-02,45.776
2020-05-03,45.776
2020-05-04,44.9137
2020-05-05,43.555
2020-05-06,42.5307
2020-05-07,43.9655
2020-05-08,47.1062
2020-05-09,47.1062
2020-05-10,47.1062
2020-05-11,46.3352
2020-05-12,44.558
2020-05-13,43.5633
2020-05-14,43.3369
2020-05-15,44.983
2020-05-16,44.983
2020-05-17,44.983
2020-05-18,48.0027
2020-05-19,48.7169
2020-05-20,49.4665
2020-05-21,50.266
2020-05-22,51.0161
2020-05-23,51.0161
2020-05-24,51.0161
2020-05-25,51.0161
2020-05-26,53.247
2020-05-27,54.9615
2020-05-28,52.9734
2020-05-29,52.4635
2020-05-30,52.4635
2020-05-31,52.4635
2020-06-01,52.6834
2020-06-02,52.388
2020-06-03,56.8517
2020-06-04,59.1347
2020-06-05,60.4255
2020-06-06,60.4255
2020-06-07,60.4255
2020-06-08,61.4299
2020-06-09,60.1594
2020-06-10,55.2485
2020-06-11,51.8162
2020-06-12,53.0147
2020-06-13,53.0147
2020-06-14,53.0147
2020-06-15,53.6274
2020-06-16,54.0669
2020-06-17,52.3749
2020-06-18,52.4821
2020-06-19,51.7933
2020-06-20,51.7933
2020-06-21,51.7933
2020-06-22,51.091
2020-06-23,52.6133
2020-06-24,50.5049
2020-06-25,50.3357
2020-06-26,47.5812
2020-06-27,47.5812
2020-06-28,47.5812
2020-06-29,50.5604
2020-06-30,51.2221
2020-07-01,50.5183
2020-07-02,49.0587
2020-07-03,49.0587
2020-07-04,49.0587
2020-07-05,49.0587
2020-07-06,49.6967
2020-07-07,47.8291
2020-07-08,47.9137
2020-07-09,45.7527
2020-07-10,46.394
2020-07-11,46.394
2020-07-12,46.394
2020-07-13,46.8985
2020-07-14,47.2595
2020-07-15,51.9519
2020-07-16,50.4268
2020-07-17,49.6771
2020-07-18,49.6771
2020-07-19,49.6771
2020-07-20,48.3067
2020-07-21,49.2
2020-07-22,49.7157
2020-07-23,50.0852
2020-07-24,51.33
2020-07-25,51.33
2020-07-26,51.33
2020-07-27,50.0694
2020-07-28,50.744
2020-07-29,52.9813
2020-07-30,52.8977
2020-07-31,51.7435
2020-08-01,51.7435
2020-08-02,51.7435
2020-08-03,50.9137
2020-08-04,52.1264
2020-08-05,52.6034
2020-08-06,54.1745
2020-08-07,54.8646
2020-08-08,54.8646
2020-08-09,54.8646
2020-08-10,55.7217
2020-08-11,57.059
2020-08-12,56.4217
2020-08-13,56.9725
2020-08-14,57.114
2020-08-15,57.114
2020-08-16,57.114
2020-08-17,55.8566
2020-08-18,55.5404
2020-08-19,54.5814
2020-08-20,54.8937
2020-08-21,55.6321
2020-08-22,55.6321
2020-08-23,55.6321
2020-08-24,57.3069
2020-08-25,58.2101
2020-08-26,57.9564
2020-08-27,62.4787
2020-08-28,66.5654
2020-08-29,66.5654
2020-08-30,66.5654
2020-08-31,62.5872
2020-09-01,63.5794
2020-09-02,63.8646
2020-09-03,62.7988
2020-09-04,63.3169
2020-09-05,63.3169
2020-09-06,63.3169
2020-09-07,63.3169
2020-09-08,60.888
2020-09-09,62.3087
2020-09-10,62.7815
2020-09-11,62.5195
2020-09-12,62.5195
2020-09-13,62.5195
2020-09-14,63.1909
2020-09-15,57.5791
2020-09-16,53.1563
2020-09-17,52.1534
2020-09-18,48.8809
2020-09-19,48.8809
2020-09-20,48.8809
2020-09-21,47.35
2020-09-22,49.1692
2020-09-23,47.1923
2020-09-24,46.8655
2020-09-25,47.99
2020-09-26,47.99
2020-09-27,47.99
2020-09-28,50.0973
2020-09-29,46.6765
2020-09-30,47.174
2020-10-01,46.9712
2020-10-02,49.5955
2020-10-03,49.5955
2020-10-04,49.5955
2020-10-05,48.7922
2020-10-06,48.4245
2020-10-07,48.5972
2020-10-08,49.2512
2020-10-09,49.7068
2020-10-10,49.7068
2020-10-11,49.7068
2020-10-12,49.3559
2020-10-13,48.9618
2020-10-14,49.5178
2020-10-15,51.1166
2020-10-16,48.7695
2020-10-17,48.7695
2020-10-18,48.7695
2020-10-19,48.604
2020-10-20,51.1817
2020-10-21,51.197
2020-10-22,55.706
2020-10-23,54.5682
2020-10-24,54.5682
2020-10-25,54.5682
2020-10-26,50.7779
2020-10-27,51.6041
2020-10-28,43.7829
2020-10-29,46.3837
2020-10-30,46.8631
2020-10-31,46.8631
2020-11-01,46.8631
2020-11-02,47.42
2020-11-03,47.7284
2020-11-04,47.3608
2020-11-05,50.3393
2020-11-06,51.2424
2020-11-07,51.2424
2020-11-08,51.2424
2020-11-09,60.9674
2020-11-10,59.214
2020-11-11,55.9199
2020-11-12,54.15
2020-11-13,55.5331
2020-11-14,55.5331
2020-11-15,55.5331
2020-11-16,58.5527
2020-11-17,59.1124
2020-11-18,58.9491
2020-11-19,59.9274
2020-11-20,60.014
2020-11-21,60.014
2020-11-22,60.014
2020-11-23,61.2409
2020-11-24,62.9519
2020-11-25,62.6282
2020-11-26,62.6282
2020-11-27,61.1411
2020-11-28,61.1411
2020-11-29,61.1411
2020-11-30,58.535
2020-12-01,59.818
2020-12-02,59.4855
2020-12-03,60.9746
2020-12-04,58.3605
2020-12-05,58.3605
2020-12-06,58.3605
2020-12-07,51.8438
2020-12-08,52.7232
2020-12-09,53.9099
2020-12-10,54.6366
2020-12-11,53.7271
2020-12-12,53.7271
2020-12-13,53.7271
2020-12-14,53.6799
2020-12-15,54.8415
2020-12-16,54.5058
2020-12-17,54.0472
2020-12-18,53.2452
2020-12-19,53.2452
2020-12-20,53.2452
2020-12-21,52.5935
2020-12-22,53.6994
2020-12-23,53.8002
2020-12-24,53.2804
2020-12-25,53.2804
2020-12-26,53.2804
2020-12-27,53.2804
2020-12-28,54.9563
2020-12-29,53.1314
2020-12-30,51.2528
2020-12-31,50.5412
2021-01-01,50.5412
2021-01-02,50.5412
2021-01-03,50.5412
2021-01-04,46.6184
2021-01-05,49.0835
2021-01-06,52.0374
2021-01-07,52.2426
2021-01-08,53.7902
2021-01-09,53.7902
2021-01-10,53.7902
2021-01-11,54.8047
2021-01-12,56.6879
2021-01-13,55.9749
2021-01-14,57.8743
2021-01-15,56.1666
2021-01-16,56.1666
2021-01-17,56.1666
2021-01-18,56.1666
2021-01-19,56.3896
2021-01-20,57.5396
2021-01-21,54.814
2021-01-22,54.7551
2021-01-23,54.7551
2021-01-24,54.7551
2021-01-25,54.677
2021-01-26,51.7093
2021-01-27,51.9865
2021-01-28,53.4162
2021-01-29,50.7199
2021-01-30,50.7199
2021-01-31,50.7199
2021-02-01,52.94
2021-02-02,53.8885
2021-02-03,56.4629
2021-02-04,59.1351
2021-02-05,59.4732
2021-02-06,59.4732
2021-02-07,59.4732
2021-02-08,60.1738
2021-02-09,60.4415
2021-02-10,60.6565
2021-02-11,60.9293
2021-02-12,60.359
2021-02-13,60.359
