,OGS US Equity
,RSI_30D
2020-01-01,51.2451
2020-01-02,48.4686
2020-01-03,48.7958
2020-01-04,48.7958
2020-01-05,48.7958
2020-01-06,47.6637
2020-01-07,45.1286
2020-01-08,44.1351
2020-01-09,44.6394
2020-01-10,46.8983
2020-01-11,46.8983
2020-01-12,46.8983
2020-01-13,50.229
2020-01-14,50.3282
2020-01-15,53.4242
2020-01-16,54.582
2020-01-17,54.1723
2020-01-18,54.1723
2020-01-19,54.1723
2020-01-20,54.1723
2020-01-21,55.4635
2020-01-22,55.3482
2020-01-23,56.989
2020-01-24,55.9701
2020-01-25,55.9701
2020-01-26,55.9701
2020-01-27,54.7491
2020-01-28,56.8397
2020-01-29,57.0729
2020-01-30,58.398
2020-01-31,52.3558
2020-02-01,52.3558
2020-02-02,52.3558
2020-02-03,54.6866
2020-02-04,53.5372
2020-02-05,55.4956
2020-02-06,53.785
2020-02-07,51.6594
2020-02-08,51.6594
2020-02-09,51.6594
2020-02-10,51.0077
2020-02-11,50.4286
2020-02-12,50.0545
2020-02-13,53.0163
2020-02-14,55.7764
2020-02-15,55.7764
2020-02-16,55.7764
2020-02-17,55.7764
2020-02-18,56.8522
2020-02-19,54.074
2020-02-20,53.7672
2020-02-21,51.3034
2020-02-22,51.3034
2020-02-23,51.3034
2020-02-24,50.193
2020-02-25,42.7618
2020-02-26,41.6084
2020-02-27,35.3837
2020-02-28,30.3032
2020-02-29,30.3032
2020-03-01,30.3032
2020-03-02,40.1238
2020-03-03,38.6672
2020-03-04,45.3267
2020-03-05,42.6792
2020-03-06,44.3443
2020-03-07,44.3443
2020-03-08,44.3443
2020-03-09,38.8001
2020-03-10,40.8202
2020-03-11,36.4973
2020-03-12,29.8111
2020-03-13,39.7906
2020-03-14,39.7906
2020-03-15,39.7906
2020-03-16,33.784
2020-03-17,47.0171
2020-03-18,40.2312
2020-03-19,42.9353
2020-03-20,39.1466
2020-03-21,39.1466
2020-03-22,39.1466
2020-03-23,39.0038
2020-03-24,41.9946
2020-03-25,41.8581
2020-03-26,45.6227
2020-03-27,46.5699
2020-03-28,46.5699
2020-03-29,46.5699
2020-03-30,48.9733
2020-03-31,49.0307
2020-04-01,45.7149
2020-04-02,46.6495
2020-04-03,46.1125
2020-04-04,46.1125
2020-04-05,46.1125
2020-04-06,50.6575
2020-04-07,49.0256
2020-04-08,50.9846
2020-04-09,53.3675
2020-04-10,53.3675
2020-04-11,53.3675
2020-04-12,53.3675
2020-04-13,51.1234
2020-04-14,52.7622
2020-04-15,50.1861
2020-04-16,50.4114
2020-04-17,51.9081
2020-04-18,51.9081
2020-04-19,51.9081
2020-04-20,49.3439
2020-04-21,50.02
2020-04-22,50.9445
2020-04-23,50.2568
2020-04-24,50.9858
2020-04-25,50.9858
2020-04-26,50.9858
2020-04-27,50.6691
2020-04-28,49.6125
2020-04-29,48.3936
2020-04-30,46.734
2020-05-01,46.1399
2020-05-02,46.1399
2020-05-03,46.1399
2020-05-04,46.9301
2020-05-05,47.0506
2020-05-06,44.9836
2020-05-07,46.206
2020-05-08,47.9988
2020-05-09,47.9988
2020-05-10,47.9988
2020-05-11,47.319
2020-05-12,46.1555
2020-05-13,45.4604
2020-05-14,44.8911
2020-05-15,44.8279
2020-05-16,44.8279
