,RRX US Equity
,RSI_30D
2020-01-01,67.2238
2020-01-02,68.7568
2020-01-03,66.0188
2020-01-04,66.0188
2020-01-05,66.0188
2020-01-06,64.6864
2020-01-07,63.2404
2020-01-08,64.7298
2020-01-09,65.6719
2020-01-10,63.6261
2020-01-11,63.6261
2020-01-12,63.6261
2020-01-13,66.0055
2020-01-14,65.1804
2020-01-15,63.4143
2020-01-16,64.6186
2020-01-17,63.5056
2020-01-18,63.5056
2020-01-19,63.5056
2020-01-20,63.5056
2020-01-21,60.022
2020-01-22,57.8619
2020-01-23,56.7354
2020-01-24,54.0156
2020-01-25,54.0156
2020-01-26,54.0156
2020-01-27,48.5936
2020-01-28,50.2468
2020-01-29,48.8255
2020-01-30,50.258
2020-01-31,43.67
2020-02-01,43.67
2020-02-02,43.67
2020-02-03,43.6517
2020-02-04,55.8733
2020-02-05,57.7741
2020-02-06,57.2559
2020-02-07,57.1132
2020-02-08,57.1132
2020-02-09,57.1132
2020-02-10,56.841
2020-02-11,59.5842
2020-02-12,62.7832
2020-02-13,62.131
2020-02-14,61.1669
2020-02-15,61.1669
2020-02-16,61.1669
2020-02-17,61.1669
2020-02-18,59.878
2020-02-19,59.1784
2020-02-20,61.2287
2020-02-21,61.4291
2020-02-22,61.4291
2020-02-23,61.4291
2020-02-24,55.4752
2020-02-25,49.0054
2020-02-26,47.79
2020-02-27,44.0648
2020-02-28,41.2558
2020-02-29,41.2558
2020-03-01,41.2558
2020-03-02,46.5509
2020-03-03,44.9813
2020-03-04,47.1859
2020-03-05,43.5963
2020-03-06,41.1612
2020-03-07,41.1612
2020-03-08,41.1612
2020-03-09,33.7976
2020-03-10,41.5487
2020-03-11,40.5075
2020-03-12,34.0585
2020-03-13,38.7128
2020-03-14,38.7128
2020-03-15,38.7128
2020-03-16,34.8124
2020-03-17,41.9743
2020-03-18,35.9314
2020-03-19,37.333
2020-03-20,36.6165
2020-03-21,36.6165
2020-03-22,36.6165
2020-03-23,34.5052
2020-03-24,37.8055
2020-03-25,40.3886
2020-03-26,42.3789
2020-03-27,40.4699
2020-03-28,40.4699
2020-03-29,40.4699
2020-03-30,41.9482
2020-03-31,43.2029
2020-04-01,41.717
2020-04-02,42.9105
2020-04-03,40.7803
2020-04-04,40.7803
2020-04-05,40.7803
2020-04-06,46.094
2020-04-07,46.7299
2020-04-08,49.3116
2020-04-09,49.6633
2020-04-10,49.6633
2020-04-11,49.6633
2020-04-12,49.6633
2020-04-13,48.4076
2020-04-14,48.6683
2020-04-15,45.7112
2020-04-16,44.8903
2020-04-17,46.7186
2020-04-18,46.7186
2020-04-19,46.7186
2020-04-20,45.6008
2020-04-21,45.2705
2020-04-22,45.9217
2020-04-23,46.8306
2020-04-24,47.2707
2020-04-25,47.2707
2020-04-26,47.2707
2020-04-27,49.206
2020-04-28,50.4875
2020-04-29,52.2209
2020-04-30,50.7533
2020-05-01,49.5134
2020-05-02,49.5134
2020-05-03,49.5134
2020-05-04,48.2792
2020-05-05,51.7897
2020-05-06,50.9051
2020-05-07,51.961
2020-05-08,53.9048
2020-05-09,53.9048
2020-05-10,53.9048
2020-05-11,52.5397
2020-05-12,49.4048
2020-05-13,46.6321
2020-05-14,48.9266
2020-05-15,49.6433
2020-05-16,49.6433
2020-05-17,49.6433
2020-05-18,53.7018
2020-05-19,53.3617
2020-05-20,54.775
2020-05-21,54.3583
2020-05-22,53.979
2020-05-23,53.979
2020-05-24,53.979
2020-05-25,53.979
2020-05-26,56.0112
2020-05-27,57.3743
2020-05-28,56.3502
2020-05-29,55.3285
2020-05-30,55.3285
