,LE US Equity
,RSI_30D
2020-01-01,62.5305
2020-01-02,56.0854
2020-01-03,55.1061
2020-01-04,55.1061
2020-01-05,55.1061
2020-01-06,55.3882
2020-01-07,56.5578
2020-01-08,56.4522
2020-01-09,54.2015
2020-01-10,53.2314
2020-01-11,53.2314
2020-01-12,53.2314
2020-01-13,54.986
2020-01-14,56.7486
2020-01-15,54.1878
2020-01-16,51.5366
2020-01-17,50.4028
2020-01-18,50.4028
2020-01-19,50.4028
2020-01-20,50.4028
2020-01-21,51.1441
2020-01-22,49.1494
2020-01-23,46.9829
2020-01-24,46.3663
2020-01-25,46.3663
2020-01-26,46.3663
2020-01-27,44.0995
2020-01-28,42.2839
2020-01-29,40.8532
2020-01-30,39.9463
2020-01-31,37.9491
2020-02-01,37.9491
2020-02-02,37.9491
2020-02-03,38.3549
2020-02-04,38.4144
2020-02-05,40.6092
2020-02-06,40.0112
2020-02-07,37.4265
2020-02-08,37.4265
2020-02-09,37.4265
2020-02-10,36.8828
2020-02-11,39.5477
2020-02-12,41.0116
2020-02-13,37.6883
2020-02-14,36.8459
2020-02-15,36.8459
2020-02-16,36.8459
2020-02-17,36.8459
2020-02-18,38.7347
2020-02-19,42.1466
2020-02-20,41.5579
2020-02-21,39.9788
2020-02-22,39.9788
2020-02-23,39.9788
2020-02-24,37.8041
2020-02-25,35.8858
2020-02-26,38.8696
2020-02-27,36.988
2020-02-28,40.5999
2020-02-29,40.5999
2020-03-01,40.5999
2020-03-02,36.696
2020-03-03,35.0663
2020-03-04,36.3991
2020-03-05,35.6423
2020-03-06,34.1723
2020-03-07,34.1723
2020-03-08,34.1723
2020-03-09,32.0673
2020-03-10,31.4167
2020-03-11,30.893
2020-03-12,27.7076
2020-03-13,31.5166
2020-03-14,31.5166
2020-03-15,31.5166
2020-03-16,27.8928
2020-03-17,39.2681
2020-03-18,36.6895
2020-03-19,39.2428
2020-03-20,38.7774
2020-03-21,38.7774
2020-03-22,38.7774
2020-03-23,35.6722
2020-03-24,36.3446
2020-03-25,38.8169
2020-03-26,41.0518
2020-03-27,39.8603
2020-03-28,39.8603
2020-03-29,39.8603
2020-03-30,37.6224
2020-03-31,38.3386
2020-04-01,37.1411
2020-04-02,36.5812
2020-04-03,35.8767
2020-04-04,35.8767
2020-04-05,35.8767
2020-04-06,39.9581
2020-04-07,39.9128
2020-04-08,40.8495
2020-04-09,43.1255
2020-04-10,43.1255
2020-04-11,43.1255
2020-04-12,43.1255
2020-04-13,44.5102
2020-04-14,44.3506
2020-04-15,45.0301
2020-04-16,44.8601
2020-04-17,49.0703
2020-04-18,49.0703
2020-04-19,49.0703
2020-04-20,49.0398
2020-04-21,47.1306
2020-04-22,44.7831
2020-04-23,45.4684
2020-04-24,45.6429
2020-04-25,45.6429
2020-04-26,45.6429
2020-04-27,49.081
2020-04-28,49.9164
2020-04-29,52.4019
2020-04-30,51.1865
2020-05-01,49.1468
2020-05-02,49.1468
2020-05-03,49.1468
2020-05-04,48.2762
2020-05-05,44.9928
2020-05-06,44.4736
2020-05-07,46.5764
2020-05-08,49.2799
2020-05-09,49.2799
2020-05-10,49.2799
2020-05-11,48.3947
2020-05-12,45.9509
2020-05-13,43.8532
2020-05-14,45.0149
2020-05-15,44.6774
2020-05-16,44.6774
2020-05-17,44.6774
2020-05-18,44.962
2020-05-19,44.9985
2020-05-20,45.3368
2020-05-21,45.9105
2020-05-22,45.712
2020-05-23,45.712
2020-05-24,45.712
2020-05-25,45.712
2020-05-26,46.233
2020-05-27,48.5324
2020-05-28,45.9439
2020-05-29,45.842
2020-05-30,45.842
2020-05-31,45.842
2020-06-01,49.4728
2020-06-02,46.7155
2020-06-03,48.281
2020-06-04,52.8217
2020-06-05,54.6041
2020-06-06,54.6041
2020-06-07,54.6041
2020-06-08,57.4257
2020-06-09,57.6491
2020-06-10,52.8273
2020-06-11,50.6601
2020-06-12,51.6778
2020-06-13,51.6778
2020-06-14,51.6778
2020-06-15,52.0805
2020-06-16,53.2587
2020-06-17,53.7845
2020-06-18,52.9151
2020-06-19,52.0984
2020-06-20,52.0984
2020-06-21,52.0984
2020-06-22,51.1367
2020-06-23,55.41
2020-06-24,50.2178
2020-06-25,50.922
2020-06-26,49.9634
2020-06-27,49.9634
2020-06-28,49.9634
2020-06-29,50.551
2020-06-30,50.7173
2020-07-01,50.4714
2020-07-02,51.4794
2020-07-03,51.4794
2020-07-04,51.4794
2020-07-05,51.4794
2020-07-06,51.8291
2020-07-07,50.511
2020-07-08,51.2259
2020-07-09,51.2446
2020-07-10,52.597
2020-07-11,52.597
2020-07-12,52.597
2020-07-13,51.6097
2020-07-14,51.8047
2020-07-15,52.8655
2020-07-16,52.5773
2020-07-17,52.8433
2020-07-18,52.8433
2020-07-19,52.8433
