,SYBT US Equity
,RSI_30D
2020-01-01,62.2569
2020-01-02,62.1832
2020-01-03,59.9794
2020-01-04,59.9794
2020-01-05,59.9794
2020-01-06,59.7603
2020-01-07,57.7245
2020-01-08,59.238
2020-01-09,59.3146
2020-01-10,56.5999
2020-01-11,56.5999
2020-01-12,56.5999
2020-01-13,58.4094
2020-01-14,56.8236
2020-01-15,55.2712
2020-01-16,58.5215
2020-01-17,57.1826
2020-01-18,57.1826
2020-01-19,57.1826
2020-01-20,57.1826
2020-01-21,52.5363
2020-01-22,52.4741
2020-01-23,52.0918
2020-01-24,50.2608
2020-01-25,50.2608
2020-01-26,50.2608
2020-01-27,50.2608
2020-01-28,50.5175
2020-01-29,53.6136
2020-01-30,53.7334
2020-01-31,45.015
2020-02-01,45.015
2020-02-02,45.015
2020-02-03,48.5859
2020-02-04,49.6017
2020-02-05,52.9163
2020-02-06,50.9591
2020-02-07,48.3681
2020-02-08,48.3681
2020-02-09,48.3681
2020-02-10,50.2377
2020-02-11,51.2805
2020-02-12,51.1142
2020-02-13,52.3913
2020-02-14,49.758
2020-02-15,49.758
2020-02-16,49.758
2020-02-17,49.758
2020-02-18,48.8395
2020-02-19,49.0113
2020-02-20,50.5574
2020-02-21,48.9096
2020-02-22,48.9096
2020-02-23,48.9096
2020-02-24,42.4879
2020-02-25,39.0975
2020-02-26,40.3435
2020-02-27,35.1686
2020-02-28,31.9459
2020-02-29,31.9459
2020-03-01,31.9459
2020-03-02,40.618
2020-03-03,36.0098
2020-03-04,40.4319
2020-03-05,36.3931
2020-03-06,34.5323
2020-03-07,34.5323
2020-03-08,34.5323
2020-03-09,27.886
2020-03-10,31.8871
2020-03-11,29.5877
2020-03-12,26.4858
2020-03-13,33.4872
2020-03-14,33.4872
2020-03-15,33.4872
2020-03-16,30.0521
2020-03-17,38.287
2020-03-18,34.4186
2020-03-19,37.8048
2020-03-20,34.4951
2020-03-21,34.4951
2020-03-22,34.4951
2020-03-23,33.9457
2020-03-24,40.2496
2020-03-25,39.0794
2020-03-26,42.4714
2020-03-27,40.3693
2020-03-28,40.3693
2020-03-29,40.3693
2020-03-30,42.6337
2020-03-31,43.0873
2020-04-01,41.5459
2020-04-02,42.2526
2020-04-03,40.3998
2020-04-04,40.3998
2020-04-05,40.3998
2020-04-06,43.6216
2020-04-07,43.3467
2020-04-08,44.1086
2020-04-09,49.0822
2020-04-10,49.0822
2020-04-11,49.0822
2020-04-12,49.0822
2020-04-13,46.3853
2020-04-14,45.2506
2020-04-15,43.2326
2020-04-16,42.5701
2020-04-17,46.0234
2020-04-18,46.0234
2020-04-19,46.0234
2020-04-20,45.2267
2020-04-21,44.8876
2020-04-22,46.665
2020-04-23,48.5872
2020-04-24,47.4975
2020-04-25,47.4975
2020-04-26,47.4975
2020-04-27,51.271
2020-04-28,51.8741
2020-04-29,54.1938
2020-04-30,51.7857
2020-05-01,50.7045
2020-05-02,50.7045
2020-05-03,50.7045
2020-05-04,50.3374
2020-05-05,49.1482
2020-05-06,47.9757
2020-05-07,47.8913
2020-05-08,49.9416
2020-05-09,49.9416
2020-05-10,49.9416
2020-05-11,48.268
2020-05-12,46.047
2020-05-13,44.678
2020-05-14,44.711
2020-05-15,44.8642
2020-05-16,44.8642
2020-05-17,44.8642
2020-05-18,49.1255
2020-05-19,47.2717
2020-05-20,49.7793
2020-05-21,50.1803
2020-05-22,50.119
2020-05-23,50.119
2020-05-24,50.119
2020-05-25,50.119
2020-05-26,53.1272
2020-05-27,55.8924
2020-05-28,54.2847
2020-05-29,53.9281
2020-05-30,53.9281
2020-05-31,53.9281
2020-06-01,54.0558
2020-06-02,54.2453
2020-06-03,56.0905
2020-06-04,56.2615
2020-06-05,59.6994
2020-06-06,59.6994
2020-06-07,59.6994
2020-06-08,59.9557
2020-06-09,59.5054
2020-06-10,56.13
2020-06-11,51.4799
2020-06-12,53.2204
2020-06-13,53.2204
2020-06-14,53.2204
2020-06-15,54.3404
2020-06-16,55.8408
2020-06-17,54.0715
2020-06-18,55.5154
2020-06-19,57.1811
2020-06-20,57.1811
2020-06-21,57.1811
2020-06-22,58.0208
2020-06-23,57.7604
2020-06-24,55.6563
2020-06-25,58.1074
2020-06-26,59.0079
2020-06-27,59.0079
2020-06-28,59.0079
2020-06-29,59.5502
2020-06-30,60.0569
2020-07-01,56.2585
2020-07-02,55.1648
2020-07-03,55.1648
2020-07-04,55.1648
2020-07-05,55.1648
2020-07-06,54.5975
2020-07-07,52.681
2020-07-08,51.6201
2020-07-09,49.9381
2020-07-10,52.434
2020-07-11,52.434
2020-07-12,52.434
2020-07-13,54.0808
2020-07-14,53.4789
2020-07-15,56.6128
2020-07-16,56.6128
2020-07-17,56.0467
2020-07-18,56.0467
2020-07-19,56.0467
2020-07-20,55.5514
2020-07-21,59.3972
2020-07-22,59.8276
2020-07-23,58.3217
2020-07-24,58.1764
2020-07-25,58.1764
2020-07-26,58.1764
2020-07-27,57.541
2020-07-28,57.8427
2020-07-29,58.9387
2020-07-30,56.6426
2020-07-31,54.5499
2020-08-01,54.5499
2020-08-02,54.5499
2020-08-03,55.4275
2020-08-04,54.9967
2020-08-05,56.6186
2020-08-06,57.3873
2020-08-07,59.5461
2020-08-08,59.5461
2020-08-09,59.5461
2020-08-10,60.0732
