,MXIM US Equity
,RSI_30D
2020-01-01,59.7684
2020-01-02,62.0699
2020-01-03,58.0379
2020-01-04,58.0379
2020-01-05,58.0379
2020-01-06,54.2726
2020-01-07,57.7444
2020-01-08,57.678
2020-01-09,58.7808
2020-01-10,56.8071
2020-01-11,56.8071
2020-01-12,56.8071
2020-01-13,57.7806
2020-01-14,58.6568
2020-01-15,56.1262
2020-01-16,57.4441
2020-01-17,55.4508
2020-01-18,55.4508
2020-01-19,55.4508
2020-01-20,55.4508
2020-01-21,57.1455
2020-01-22,58.3558
2020-01-23,60.9467
2020-01-24,57.4526
2020-01-25,57.4526
2020-01-26,57.4526
2020-01-27,50.8111
2020-01-28,55.0715
2020-01-29,53.565
2020-01-30,54.7768
2020-01-31,49.8927
2020-02-01,49.8927
2020-02-02,49.8927
2020-02-03,51.5512
2020-02-04,54.8774
2020-02-05,58.8552
2020-02-06,57.8059
2020-02-07,54.122
2020-02-08,54.122
2020-02-09,54.122
2020-02-10,55.0211
2020-02-11,56.3395
2020-02-12,57.7488
2020-02-13,57.3261
2020-02-14,55.4973
2020-02-15,55.4973
2020-02-16,55.4973
2020-02-17,55.4973
2020-02-18,52.8796
2020-02-19,54.3836
2020-02-20,52.6005
2020-02-21,49.8347
2020-02-22,49.8347
2020-02-23,49.8347
2020-02-24,45.548
2020-02-25,42.6576
2020-02-26,44.2149
2020-02-27,41.5626
2020-02-28,41.0183
2020-02-29,41.0183
2020-03-01,41.0183
2020-03-02,45.7521
2020-03-03,42.6327
2020-03-04,46.8118
2020-03-05,43.5171
2020-03-06,41.9749
2020-03-07,41.9749
2020-03-08,41.9749
2020-03-09,36.0776
2020-03-10,41.4368
2020-03-11,37.7556
2020-03-12,33.4881
2020-03-13,39.1421
2020-03-14,39.1421
2020-03-15,39.1421
2020-03-16,34.3168
2020-03-17,41.3076
2020-03-18,38.738
2020-03-19,39.8838
2020-03-20,38.6689
2020-03-21,38.6689
2020-03-22,38.6689
2020-03-23,40.6199
2020-03-24,43.0423
2020-03-25,43.6556
2020-03-26,45.3328
2020-03-27,43.1171
2020-03-28,43.1171
2020-03-29,43.1171
2020-03-30,45.5849
2020-03-31,44.4806
2020-04-01,42.3653
2020-04-02,44.2092
2020-04-03,45.1276
2020-04-04,45.1276
2020-04-05,45.1276
2020-04-06,49.8182
2020-04-07,48.3144
2020-04-08,49.7452
2020-04-09,48.3777
2020-04-10,48.3777
2020-04-11,48.3777
2020-04-12,48.3777
2020-04-13,48.8059
2020-04-14,49.7262
2020-04-15,48.6979
2020-04-16,49.0876
2020-04-17,49.6857
2020-04-18,49.6857
2020-04-19,49.6857
2020-04-20,48.4191
2020-04-21,46.985
2020-04-22,49.1168
2020-04-23,49.2009
2020-04-24,50.5022
2020-04-25,50.5022
2020-04-26,50.5022
2020-04-27,52.0418
2020-04-28,51.8626
2020-04-29,54.3041
2020-04-30,51.5754
2020-05-01,48.5316
2020-05-02,48.5316
2020-05-03,48.5316
2020-05-04,48.0792
2020-05-05,49.2961
2020-05-06,49.4602
2020-05-07,49.4271
2020-05-08,50.867
2020-05-09,50.867
2020-05-10,50.867
2020-05-11,51.4079
2020-05-12,50.7932
2020-05-13,49.5319
2020-05-14,49.9361
2020-05-15,48.3461
2020-05-16,48.3461
2020-05-17,48.3461
2020-05-18,52.0589
2020-05-19,51.9461
2020-05-20,54.1512
2020-05-21,52.4359
2020-05-22,52.9804
2020-05-23,52.9804
2020-05-24,52.9804
2020-05-25,52.9804
2020-05-26,55.3326
2020-05-27,55.1124
2020-05-28,53.6629
2020-05-29,55.0151
2020-05-30,55.0151
2020-05-31,55.0151
2020-06-01,55.2248
2020-06-02,56.2105
2020-06-03,58.3125
2020-06-04,58.3237
2020-06-05,59.125
2020-06-06,59.125
2020-06-07,59.125
2020-06-08,58.9763
2020-06-09,58.0863
2020-06-10,56.913
2020-06-11,52.3783
2020-06-12,52.4998
2020-06-13,52.4998
2020-06-14,52.4998
2020-06-15,54.0235
2020-06-16,56.0867
2020-06-17,56.6527
2020-06-18,56.9461
2020-06-19,56.756
2020-06-20,56.756
2020-06-21,56.756
2020-06-22,56.9183
2020-06-23,58.2027
2020-06-24,55.3116
2020-06-25,55.7074
2020-06-26,53.9593
2020-06-27,53.9593
2020-06-28,53.9593
2020-06-29,54.5554
2020-06-30,56.0419
2020-07-01,54.3661
2020-07-02,55.4301
2020-07-03,55.4301
2020-07-04,55.4301
2020-07-05,55.4301
2020-07-06,57.7005
2020-07-07,56.81
2020-07-08,57.6304
2020-07-09,60.8556
2020-07-10,60.1031
2020-07-11,60.1031
2020-07-12,60.1031
2020-07-13,66.0466
2020-07-14,66.6737
2020-07-15,67.2114
2020-07-16,65.3501
2020-07-17,65.8757
2020-07-18,65.8757
2020-07-19,65.8757
2020-07-20,67.243
2020-07-21,62.6179
2020-07-22,62.4866
2020-07-23,59.7283
2020-07-24,59.1662
2020-07-25,59.1662
2020-07-26,59.1662
2020-07-27,61.328
2020-07-28,61.3637
2020-07-29,62.5082
2020-07-30,60.7814
2020-07-31,59.0374
2020-08-01,59.0374
2020-08-02,59.0374
2020-08-03,60.0555
2020-08-04,60.4417
2020-08-05,59.8629
2020-08-06,60.1353
2020-08-07,59.3026
2020-08-08,59.3026
2020-08-09,59.3026
2020-08-10,59.6207
2020-08-11,59.3155
2020-08-12,61.2643
2020-08-13,59.7072
2020-08-14,57.9653
2020-08-15,57.9653
2020-08-16,57.9653
2020-08-17,58.5439
2020-08-18,58.3866
2020-08-19,58.4691
2020-08-20,58.5456
2020-08-21,57.3678
2020-08-22,57.3678
2020-08-23,57.3678
2020-08-24,58.4204
2020-08-25,61.3021
2020-08-26,61.2122
2020-08-27,60.517
2020-08-28,60.8296
2020-08-29,60.8296
2020-08-30,60.8296
2020-08-31,56.272
