,AWI US Equity
,RSI_30D
2020-01-01,45.8489
2020-01-02,48.473
2020-01-03,49.177
2020-01-04,49.177
2020-01-05,49.177
2020-01-06,48.8483
2020-01-07,50.1749
2020-01-08,52.5082
2020-01-09,52.239
2020-01-10,53.712
2020-01-11,53.712
2020-01-12,53.712
2020-01-13,56.3139
2020-01-14,57.9302
2020-01-15,60.2467
2020-01-16,59.0135
2020-01-17,57.9642
2020-01-18,57.9642
2020-01-19,57.9642
2020-01-20,57.9642
2020-01-21,61.6386
2020-01-22,62.7136
2020-01-23,62.181
2020-01-24,57.3733
2020-01-25,57.3733
2020-01-26,57.3733
2020-01-27,55.0646
2020-01-28,56.1322
2020-01-29,55.0289
2020-01-30,55.0583
2020-01-31,52.5634
2020-02-01,52.5634
2020-02-02,52.5634
2020-02-03,54.0556
2020-02-04,55.619
2020-02-05,56.3219
2020-02-06,56.1303
2020-02-07,55.9531
2020-02-08,55.9531
2020-02-09,55.9531
2020-02-10,58.4556
2020-02-11,56.6504
2020-02-12,54.2437
2020-02-13,54.2055
2020-02-14,56.9
2020-02-15,56.9
2020-02-16,56.9
2020-02-17,56.9
2020-02-18,58.6135
2020-02-19,57.2648
2020-02-20,60.0734
2020-02-21,60.2373
2020-02-22,60.2373
2020-02-23,60.2373
2020-02-24,59.6256
2020-02-25,58.4194
2020-02-26,54.479
2020-02-27,53.4009
2020-02-28,48.3636
2020-02-29,48.3636
2020-03-01,48.3636
2020-03-02,54.2449
2020-03-03,54.9809
2020-03-04,62.9423
2020-03-05,59.6509
2020-03-06,54.161
2020-03-07,54.161
2020-03-08,54.161
2020-03-09,43.2398
2020-03-10,48.9491
2020-03-11,41.8974
2020-03-12,35.861
2020-03-13,41.2877
2020-03-14,41.2877
2020-03-15,41.2877
2020-03-16,34.5861
2020-03-17,35.8072
2020-03-18,33.7279
2020-03-19,36.4272
2020-03-20,33.5664
2020-03-21,33.5664
2020-03-22,33.5664
2020-03-23,33.5626
2020-03-24,37.4252
2020-03-25,41.5834
2020-03-26,44.703
2020-03-27,42.9604
2020-03-28,42.9604
2020-03-29,42.9604
2020-03-30,44.3737
2020-03-31,43.118
2020-04-01,40.4192
2020-04-02,40.3078
2020-04-03,38.1645
2020-04-04,38.1645
2020-04-05,38.1645
2020-04-06,42.9286
2020-04-07,43.0221
2020-04-08,44.5494
