,BBDC US Equity
,RSI_30D
2020-01-01,53.3361
2020-01-02,54.135
2020-01-03,54.135
2020-01-04,54.135
2020-01-05,54.135
2020-01-06,54.9601
2020-01-07,58.4407
2020-01-08,59.1661
2020-01-09,59.1661
2020-01-10,60.2791
2020-01-11,60.2791
2020-01-12,60.2791
2020-01-13,59.1669
2020-01-14,61.3784
2020-01-15,61.7357
2020-01-16,60.0127
2020-01-17,58.8794
2020-01-18,58.8794
2020-01-19,58.8794
2020-01-20,58.8794
2020-01-21,57.7512
2020-01-22,61.5609
2020-01-23,55.8319
2020-01-24,53.9435
2020-01-25,53.9435
2020-01-26,53.9435
2020-01-27,51.2535
2020-01-28,55.4654
2020-01-29,55.0183
2020-01-30,53.6756
2020-01-31,49.5093
2020-02-01,49.5093
2020-02-02,49.5093
2020-02-03,51.0806
2020-02-04,53.334
2020-02-05,54.42
2020-02-06,53.5604
2020-02-07,55.383
2020-02-08,55.383
2020-02-09,55.383
2020-02-10,56.0961
2020-02-11,54.7387
2020-02-12,51.7178
2020-02-13,54.3254
2020-02-14,56.0781
2020-02-15,56.0781
2020-02-16,56.0781
2020-02-17,56.0781
2020-02-18,57.0999
2020-02-19,57.0999
2020-02-20,52.7244
2020-02-21,47.7986
2020-02-22,47.7986
2020-02-23,47.7986
2020-02-24,45.1153
2020-02-25,39.3958
2020-02-26,38.3889
2020-02-27,34.1055
2020-02-28,28.1254
2020-02-29,28.1254
2020-03-01,28.1254
2020-03-02,41.7177
2020-03-03,44.1459
2020-03-04,47.1093
2020-03-05,45.2009
2020-03-06,41.5448
2020-03-07,41.5448
2020-03-08,41.5448
2020-03-09,34.5283
2020-03-10,37.7814
2020-03-11,33.1272
2020-03-12,27.3471
2020-03-13,27.9211
2020-03-14,27.9211
2020-03-15,27.9211
2020-03-16,21.4384
2020-03-17,20.422
2020-03-18,15.349
2020-03-19,23.2392
2020-03-20,26.7698
2020-03-21,26.7698
2020-03-22,26.7698
2020-03-23,23.7772
2020-03-24,31.2436
2020-03-25,34.5182
2020-03-26,41.0183
2020-03-27,41.302
2020-03-28,41.302
2020-03-29,41.302
2020-03-30,41.9518
2020-03-31,41.4247
2020-04-01,41.1041
2020-04-02,37.9638
2020-04-03,36.5655
2020-04-04,36.5655
2020-04-05,36.5655
2020-04-06,37.7515
2020-04-07,38.5438
2020-04-08,42.2689
2020-04-09,41.9468
2020-04-10,41.9468
2020-04-11,41.9468
2020-04-12,41.9468
2020-04-13,42.3256
2020-04-14,41.7062
2020-04-15,40.6435
