,BAH US Equity
,RSI_30D
2020-01-01,52.0493
2020-01-02,53.9018
2020-01-03,55.6733
2020-01-04,55.6733
2020-01-05,55.6733
2020-01-06,58.1985
2020-01-07,56.9647
2020-01-08,58.3456
2020-01-09,62.3103
2020-01-10,63.2587
2020-01-11,63.2587
2020-01-12,63.2587
2020-01-13,66.1169
2020-01-14,66.2101
2020-01-15,67.6379
2020-01-16,66.3591
2020-01-17,67.0044
2020-01-18,67.0044
2020-01-19,67.0044
2020-01-20,67.0044
2020-01-21,64.6271
2020-01-22,61.9637
2020-01-23,63.078
2020-01-24,61.8289
2020-01-25,61.8289
2020-01-26,61.8289
2020-01-27,60.6747
2020-01-28,62.4946
2020-01-29,61.5327
2020-01-30,62.5029
2020-01-31,60.3529
2020-02-01,60.3529
2020-02-02,60.3529
2020-02-03,61.341
2020-02-04,61.0325
2020-02-05,60.156
2020-02-06,60.5536
2020-02-07,57.6407
2020-02-08,57.6407
2020-02-09,57.6407
2020-02-10,57.7763
2020-02-11,57.1145
2020-02-12,53.4642
2020-02-13,54.6097
2020-02-14,55.6651
2020-02-15,55.6651
2020-02-16,55.6651
2020-02-17,55.6651
2020-02-18,57.3815
2020-02-19,54.8492
2020-02-20,49.2912
2020-02-21,46.1082
2020-02-22,46.1082
2020-02-23,46.1082
2020-02-24,43.9965
2020-02-25,40.6233
2020-02-26,44.3612
2020-02-27,43.9046
2020-02-28,43.1454
2020-02-29,43.1454
2020-03-01,43.1454
2020-03-02,49.6615
2020-03-03,50.8689
2020-03-04,55.5338
2020-03-05,52.2541
2020-03-06,53.7228
2020-03-07,53.7228
2020-03-08,53.7228
2020-03-09,46.7333
2020-03-10,50.4904
2020-03-11,49.121
2020-03-12,39.0451
2020-03-13,44.714
2020-03-14,44.714
2020-03-15,44.714
2020-03-16,38.4023
2020-03-17,41.3809
2020-03-18,46.0006
2020-03-19,40.9719
2020-03-20,36.36
2020-03-21,36.36
2020-03-22,36.36
2020-03-23,35.9736
2020-03-24,42.4545
2020-03-25,44.36
2020-03-26,47.4512
2020-03-27,47.3848
2020-03-28,47.3848
2020-03-29,47.3848
2020-03-30,50.0519
2020-03-31,47.8083
2020-04-01,48.6738
2020-04-02,49.4684
2020-04-03,49.0931
2020-04-04,49.0931
2020-04-05,49.0931
2020-04-06,52.5341
2020-04-07,50.2173
2020-04-08,50.6482
2020-04-09,52.7054
2020-04-10,52.7054
2020-04-11,52.7054
2020-04-12,52.7054
2020-04-13,50.7116
2020-04-14,53.857
