,HZNP US Equity
,RSI_30D
2020-01-01,74.2232
2020-01-02,74.6417
2020-01-03,72.7412
2020-01-04,72.7412
2020-01-05,72.7412
2020-01-06,73.0455
2020-01-07,73.429
2020-01-08,72.085
2020-01-09,72.3604
2020-01-10,73.2347
2020-01-11,73.2347
2020-01-12,73.2347
2020-01-13,77.1188
2020-01-14,77.4048
2020-01-15,72.9565
2020-01-16,74.233
2020-01-17,74.4823
2020-01-18,74.4823
2020-01-19,74.4823
2020-01-20,74.4823
2020-01-21,73.4797
2020-01-22,74.2215
2020-01-23,65.3736
2020-01-24,60.0142
2020-01-25,60.0142
2020-01-26,60.0142
2020-01-27,59.8691
2020-01-28,60.9434
2020-01-29,58.5364
2020-01-30,54.5772
2020-01-31,52.4269
2020-02-01,52.4269
2020-02-02,52.4269
2020-02-03,51.3597
2020-02-04,53.2163
2020-02-05,56.2155
2020-02-06,55.0137
2020-02-07,55.1907
2020-02-08,55.1907
2020-02-09,55.1907
2020-02-10,58.0261
2020-02-11,58.4521
2020-02-12,58.7849
2020-02-13,56.1777
2020-02-14,56.4985
2020-02-15,56.4985
2020-02-16,56.4985
2020-02-17,56.4985
2020-02-18,55.3802
2020-02-19,56.7456
2020-02-20,56.6487
2020-02-21,54.069
2020-02-22,54.069
2020-02-23,54.069
2020-02-24,49.7306
2020-02-25,47.2966
2020-02-26,52.1783
2020-02-27,48.223
2020-02-28,48.8231
2020-02-29,48.8231
2020-03-01,48.8231
2020-03-02,52.3242
2020-03-03,49.4326
2020-03-04,56.8616
2020-03-05,54.2271
2020-03-06,51.1767
2020-03-07,51.1767
2020-03-08,51.1767
2020-03-09,43.6819
2020-03-10,43.7118
2020-03-11,39.9485
2020-03-12,33.716
2020-03-13,39.4632
2020-03-14,39.4632
2020-03-15,39.4632
2020-03-16,35.1673
2020-03-17,38.0458
2020-03-18,35.4259
2020-03-19,37.352
2020-03-20,35.6483
2020-03-21,35.6483
2020-03-22,35.6483
2020-03-23,35.4639
2020-03-24,40.387
2020-03-25,42.9507
