,ECOL US Equity
,RSI_30D
2020-01-01,42.2204
2020-01-02,40.2193
2020-01-03,41.0499
2020-01-04,41.0499
2020-01-05,41.0499
2020-01-06,40.9088
2020-01-07,39.2345
2020-01-08,38.2231
2020-01-09,37.4899
2020-01-10,37.3104
2020-01-11,37.3104
2020-01-12,37.3104
2020-01-13,36.8993
2020-01-14,34.2124
2020-01-15,33.3021
2020-01-16,37.8063
2020-01-17,40.1451
2020-01-18,40.1451
2020-01-19,40.1451
2020-01-20,40.1451
2020-01-21,39.3792
2020-01-22,40.6917
2020-01-23,39.5427
2020-01-24,38.4773
2020-01-25,38.4773
2020-01-26,38.4773
2020-01-27,39.1667
2020-01-28,40.6178
2020-01-29,39.5908
2020-01-30,38.7502
2020-01-31,37.8695
2020-02-01,37.8695
2020-02-02,37.8695
2020-02-03,39.605
2020-02-04,39.842
2020-02-05,38.4626
2020-02-06,38.4366
2020-02-07,33.519
2020-02-08,33.519
2020-02-09,33.519
2020-02-10,31.4757
2020-02-11,32.1816
2020-02-12,31.2036
2020-02-13,33.2598
2020-02-14,30.8824
2020-02-15,30.8824
2020-02-16,30.8824
2020-02-17,30.8824
2020-02-18,32.1571
2020-02-19,30.1704
2020-02-20,32.7415
2020-02-21,35.0605
2020-02-22,35.0605
2020-02-23,35.0605
2020-02-24,32.8902
2020-02-25,31.861
2020-02-26,33.2501
2020-02-27,26.1918
2020-02-28,23.6106
2020-02-29,23.6106
2020-03-01,23.6106
2020-03-02,31.4806
2020-03-03,29.6668
2020-03-04,32.2322
2020-03-05,30.8811
2020-03-06,31.3996
2020-03-07,31.3996
2020-03-08,31.3996
2020-03-09,26.5884
2020-03-10,24.175
2020-03-11,22.6005
2020-03-12,21.2778
2020-03-13,26.6056
2020-03-14,26.6056
2020-03-15,26.6056
2020-03-16,22.9017
2020-03-17,23.6088
2020-03-18,21.34
2020-03-19,27.4891
2020-03-20,29.4209
2020-03-21,29.4209
2020-03-22,29.4209
2020-03-23,28.8924
2020-03-24,30.8976
2020-03-25,32.0281
2020-03-26,34.0376
2020-03-27,33.2893
2020-03-28,33.2893
2020-03-29,33.2893
2020-03-30,32.8548
2020-03-31,32.5472
2020-04-01,31.3334
2020-04-02,32.1191
2020-04-03,31.2131
2020-04-04,31.2131
2020-04-05,31.2131
2020-04-06,32.9048
2020-04-07,35.2197
2020-04-08,36.5955
2020-04-09,40.4194
2020-04-10,40.4194
2020-04-11,40.4194
2020-04-12,40.4194
2020-04-13,38.6282
2020-04-14,40.5764
2020-04-15,38.2856
2020-04-16,38.6688
2020-04-17,41.3703
2020-04-18,41.3703
2020-04-19,41.3703
2020-04-20,39.3595
2020-04-21,38.3383
2020-04-22,37.8818
2020-04-23,41.4083
2020-04-24,41.1275
2020-04-25,41.1275
2020-04-26,41.1275
2020-04-27,43.7181
2020-04-28,43.3451
2020-04-29,44.9743
2020-04-30,43.7358
2020-05-01,43.1277
2020-05-02,43.1277
2020-05-03,43.1277
2020-05-04,44.639
2020-05-05,42.5631
2020-05-06,41.2988
2020-05-07,43.7831
2020-05-08,42.6455
2020-05-09,42.6455
2020-05-10,42.6455
2020-05-11,44.3683
2020-05-12,40.8479
2020-05-13,39.0596
2020-05-14,40.8245
2020-05-15,40.3765
2020-05-16,40.3765
2020-05-17,40.3765
2020-05-18,44.766
2020-05-19,46.1431
2020-05-20,46.6408
2020-05-21,46.6146
2020-05-22,46.305
2020-05-23,46.305
2020-05-24,46.305
2020-05-25,46.305
2020-05-26,49.8135
2020-05-27,52.3203
2020-05-28,49.1525
2020-05-29,48.7224
2020-05-30,48.7224
2020-05-31,48.7224
2020-06-01,48.8237
2020-06-02,50.0209
2020-06-03,52.3817
2020-06-04,52.506
2020-06-05,53.8899
2020-06-06,53.8899
2020-06-07,53.8899
2020-06-08,55.7056
2020-06-09,52.3205
2020-06-10,49.6201
2020-06-11,45.874
2020-06-12,48.2211
2020-06-13,48.2211
2020-06-14,48.2211
2020-06-15,48.3328
2020-06-16,50.0064
2020-06-17,48.9137
2020-06-18,49.2436
2020-06-19,50.1839
2020-06-20,50.1839
2020-06-21,50.1839
2020-06-22,50.3449
2020-06-23,50.6003
2020-06-24,49.3044
2020-06-25,48.4938
2020-06-26,45.4868
2020-06-27,45.4868
2020-06-28,45.4868
2020-06-29,47.021
2020-06-30,49.0622
2020-07-01,50.2851
2020-07-02,49.0815
2020-07-03,49.0815
2020-07-04,49.0815
2020-07-05,49.0815
2020-07-06,49.7357
2020-07-07,47.68
2020-07-08,45.4587
2020-07-09,43.9266
2020-07-10,45.1437
2020-07-11,45.1437
2020-07-12,45.1437
2020-07-13,46.2472
2020-07-14,47.0902
2020-07-15,48.3221
2020-07-16,48.3059
2020-07-17,48.5728
2020-07-18,48.5728
2020-07-19,48.5728
2020-07-20,47.2767
2020-07-21,49.8818
2020-07-22,51.1895
2020-07-23,52.208
2020-07-24,51.2493
2020-07-25,51.2493
2020-07-26,51.2493
2020-07-27,50.4023
2020-07-28,49.5732
2020-07-29,52.0052
2020-07-30,51.659
2020-07-31,51.4033
2020-08-01,51.4033
2020-08-02,51.4033
2020-08-03,52.9954
2020-08-04,53.2166
2020-08-05,54.8825
2020-08-06,56.587
2020-08-07,56.8996
2020-08-08,56.8996
2020-08-09,56.8996
2020-08-10,58.1634
2020-08-11,57.5181
2020-08-12,57.1054
2020-08-13,56.3429
2020-08-14,58.0981
2020-08-15,58.0981
2020-08-16,58.0981
2020-08-17,54.9381
2020-08-18,55.248
2020-08-19,55.8565
2020-08-20,53.4321
2020-08-21,52.5357
2020-08-22,52.5357
2020-08-23,52.5357
2020-08-24,55.099
2020-08-25,54.4661
2020-08-26,53.7779
2020-08-27,54.1206
2020-08-28,54.9201
2020-08-29,54.9201
2020-08-30,54.9201
2020-08-31,53.5122
2020-09-01,54.8428
2020-09-02,53.3679
2020-09-03,50.6982
2020-09-04,50.4029
2020-09-05,50.4029
2020-09-06,50.4029
2020-09-07,50.4029
2020-09-08,50.5271
2020-09-09,53.423
2020-09-10,53.5869
2020-09-11,49.9494
2020-09-12,49.9494
2020-09-13,49.9494
2020-09-14,49.0635
2020-09-15,46.4812
2020-09-16,48.0133
2020-09-17,47.9171
2020-09-18,44.9583
2020-09-19,44.9583
2020-09-20,44.9583
2020-09-21,40.406
2020-09-22,40.6005
2020-09-23,39.8511
2020-09-24,39.4646
2020-09-25,41.0897
2020-09-26,41.0897
2020-09-27,41.0897
2020-09-28,43.1563
2020-09-29,43.1849
2020-09-30,44.3735
2020-10-01,44.1405
2020-10-02,46.6333
2020-10-03,46.6333
2020-10-04,46.6333
2020-10-05,47.7002
2020-10-06,47.0347
2020-10-07,48.3815
2020-10-08,49.677
2020-10-09,48.3401
2020-10-10,48.3401
2020-10-11,48.3401
2020-10-12,51.3269
2020-10-13,49.7295
2020-10-14,49.5919
2020-10-15,49.7931
2020-10-16,47.4686
2020-10-17,47.4686
2020-10-18,47.4686
2020-10-19,46.5212
2020-10-20,47.9041
2020-10-21,48.6369
2020-10-22,48.9157
2020-10-23,50.4608
2020-10-24,50.4608
2020-10-25,50.4608
2020-10-26,44.7233
2020-10-27,40.8554
2020-10-28,39.6723
2020-10-29,39.3083
2020-10-30,40.4062
2020-10-31,40.4062
2020-11-01,40.4062
2020-11-02,45.3637
2020-11-03,48.9085
2020-11-04,47.887
2020-11-05,51.2764
2020-11-06,48.3906
2020-11-07,48.3906
2020-11-08,48.3906
2020-11-09,54.2625
2020-11-10,55.8146
2020-11-11,56.2337
2020-11-12,51.3627
2020-11-13,53.8094
2020-11-14,53.8094
2020-11-15,53.8094
2020-11-16,54.0683
2020-11-17,52.2953
2020-11-18,51.333
2020-11-19,51.7051
2020-11-20,50.7372
2020-11-21,50.7372
2020-11-22,50.7372
2020-11-23,52.5093
2020-11-24,54.5843
2020-11-25,55.0037
2020-11-26,55.0037
2020-11-27,53.8212
2020-11-28,53.8212
2020-11-29,53.8212
2020-11-30,48.6471
2020-12-01,49.4695
2020-12-02,48.7074
2020-12-03,49.9964
2020-12-04,51.62
2020-12-05,51.62
2020-12-06,51.62
2020-12-07,50.6848
2020-12-08,50.9676
2020-12-09,52.4937
2020-12-10,53.9315
2020-12-11,53.9772
2020-12-12,53.9772
2020-12-13,53.9772
2020-12-14,54.9716
2020-12-15,54.6026
2020-12-16,52.2047
2020-12-17,51.6589
2020-12-18,54.0918
2020-12-19,54.0918
2020-12-20,54.0918
2020-12-21,52.7194
2020-12-22,52.6348
2020-12-23,53.281
2020-12-24,53.1909
2020-12-25,53.1909
2020-12-26,53.1909
2020-12-27,53.1909
2020-12-28,54.9505
2020-12-29,53.4611
2020-12-30,53.5425
2020-12-31,53.5102
2021-01-01,53.5102
2021-01-02,53.5102
2021-01-03,53.5102
2021-01-04,50.2804
2021-01-05,49.1774
2021-01-06,55.911
2021-01-07,56.5331
2021-01-08,58.5572
2021-01-09,58.5572
2021-01-10,58.5572
2021-01-11,58.0111
2021-01-12,59.034
2021-01-13,55.0312
2021-01-14,56.0744
2021-01-15,51.663
2021-01-16,51.663
2021-01-17,51.663
2021-01-18,51.663
2021-01-19,51.0654
2021-01-20,50.2455
2021-01-21,50.8442
2021-01-22,52.1966
2021-01-23,52.1966
2021-01-24,52.1966
2021-01-25,52.1373
2021-01-26,49.1591
2021-01-27,49.7928
2021-01-28,46.4954
2021-01-29,42.6114
2021-01-30,42.6114
2021-01-31,42.6114
2021-02-01,45.3957
2021-02-02,47.4235
2021-02-03,49.2914
2021-02-04,49.6352
2021-02-05,51.5183
2021-02-06,51.5183
2021-02-07,51.5183
2021-02-08,55.1114
2021-02-09,55.6589
2021-02-10,54.7663
2021-02-11,54.5328
2021-02-12,54.3231
2021-02-13,54.3231
2021-02-14,54.3231
2021-02-15,54.3231
2021-02-16,54.4783
2021-02-17,56.4427
2021-02-18,54.6065
2021-02-19,53.9801
2021-02-20,53.9801
2021-02-21,53.9801
2021-02-22,57.9475
2021-02-23,58.9604
2021-02-24,61.935
2021-02-25,56.811
2021-02-26,53.7882
2021-02-27,53.7882
2021-02-28,53.7882
2021-03-01,55.4528
2021-03-02,54.6547
2021-03-03,56.1844
2021-03-04,55.0819
2021-03-05,59.2978
2021-03-06,59.2978
2021-03-07,59.2978
2021-03-08,62.039
2021-03-09,60.9206
2021-03-10,62.687
2021-03-11,63.6653
2021-03-12,65.8736
2021-03-13,65.8736
2021-03-14,65.8736
2021-03-15,66.1707
2021-03-16,64.0454
2021-03-17,63.4431
2021-03-18,61.9661
2021-03-19,62.1336
2021-03-20,62.1336
2021-03-21,62.1336
2021-03-22,59.7155
2021-03-23,51.9733
2021-03-24,52.702
2021-03-25,54.5282
2021-03-26,56.8462
2021-03-27,56.8462
2021-03-28,56.8462
2021-03-29,55.1316
2021-03-30,55.8503
2021-03-31,54.6184
2021-04-01,56.5604
2021-04-02,56.5604
2021-04-03,56.5604
2021-04-04,56.5604
2021-04-05,57.1726
2021-04-06,55.5781
2021-04-07,52.6876
2021-04-08,53.8436
2021-04-09,55.6497
2021-04-10,55.6497
2021-04-11,55.6497
2021-04-12,54.7079
2021-04-13,53.9422
2021-04-14,55.1964
2021-04-15,54.5866
2021-04-16,54.9003
2021-04-17,54.9003
2021-04-18,54.9003
2021-04-19,55.5135
2021-04-20,52.4018
2021-04-21,53.6513
2021-04-22,53.215
2021-04-23,55.0806
2021-04-24,55.0806
2021-04-25,55.0806
2021-04-26,55.0232
2021-04-27,54.5814
2021-04-28,55.8526
2021-04-29,56.9551
2021-04-30,53.8978
2021-05-01,53.8978
2021-05-02,53.8978
2021-05-03,52.7664
2021-05-04,52.5324
2021-05-05,54.5148
2021-05-06,55.2024
2021-05-07,55.7913
2021-05-08,55.7913
2021-05-09,55.7913
2021-05-10,52.2103
2021-05-11,48.4395
2021-05-12,47.6026
2021-05-13,51.8761
2021-05-14,52.2561
