,FFIV US Equity
,RSI_30D
2020-01-01,50.9853
2020-01-02,52.3557
2020-01-03,51.339
2020-01-04,51.339
2020-01-05,51.339
2020-01-06,49.0693
2020-01-07,47.5049
2020-01-08,46.8308
2020-01-09,46.275
2020-01-10,45.2381
2020-01-11,45.2381
2020-01-12,45.2381
2020-01-13,46.7801
2020-01-14,46.6507
2020-01-15,46.6812
2020-01-16,50.4355
2020-01-17,48.1346
2020-01-18,48.1346
2020-01-19,48.1346
2020-01-20,48.1346
2020-01-21,45.6226
2020-01-22,42.3994
2020-01-23,44.8527
2020-01-24,47.4178
2020-01-25,47.4178
2020-01-26,47.4178
2020-01-27,43.8764
2020-01-28,37.6328
2020-01-29,37.3537
2020-01-30,36.9042
2020-01-31,34.5166
2020-02-01,34.5166
2020-02-02,34.5166
2020-02-03,34.2491
2020-02-04,36.4748
2020-02-05,39.1622
2020-02-06,37.7664
2020-02-07,37.7493
2020-02-08,37.7493
2020-02-09,37.7493
2020-02-10,42.2476
2020-02-11,41.484
2020-02-12,42.2998
2020-02-13,44.2576
2020-02-14,43.539
2020-02-15,43.539
2020-02-16,43.539
2020-02-17,43.539
2020-02-18,43.7916
2020-02-19,46.4654
2020-02-20,50.1732
2020-02-21,50.7537
2020-02-22,50.7537
2020-02-23,50.7537
2020-02-24,47.2895
2020-02-25,43.8257
2020-02-26,43.5027
2020-02-27,40.2116
2020-02-28,37.8958
2020-02-29,37.8958
2020-03-01,37.8958
2020-03-02,38.0125
2020-03-03,35.0542
2020-03-04,42.48
2020-03-05,39.7786
2020-03-06,40.689
2020-03-07,40.689
2020-03-08,40.689
2020-03-09,35.4428
2020-03-10,41.5164
2020-03-11,35.8368
2020-03-12,31.6311
2020-03-13,37.533
2020-03-14,37.533
2020-03-15,37.533
2020-03-16,33.4622
2020-03-17,32.5422
2020-03-18,31.6249
2020-03-19,37.1514
2020-03-20,38.3506
2020-03-21,38.3506
2020-03-22,38.3506
2020-03-23,37.7374
2020-03-24,40.4226
2020-03-25,42.0652
2020-03-26,47.18
2020-03-27,45.6338
2020-03-28,45.6338
2020-03-29,45.6338
2020-03-30,45.1673
2020-03-31,43.6835
2020-04-01,42.3704
2020-04-02,44.3918
2020-04-03,44.4987
2020-04-04,44.4987
2020-04-05,44.4987
2020-04-06,47.6189
2020-04-07,49.8224
2020-04-08,51.9494
2020-04-09,54.1309
2020-04-10,54.1309
2020-04-11,54.1309
