,BKH US Equity
,RSI_30D
2020-01-01,52.4921
2020-01-02,46.5838
2020-01-03,45.7662
2020-01-04,45.7662
2020-01-05,45.7662
2020-01-06,45.8678
2020-01-07,45.3113
2020-01-08,44.9843
2020-01-09,47.716
2020-01-10,49.7281
2020-01-11,49.7281
2020-01-12,49.7281
2020-01-13,53.2633
2020-01-14,53.5302
2020-01-15,57.2612
2020-01-16,59.9615
2020-01-17,59.7086
2020-01-18,59.7086
2020-01-19,59.7086
2020-01-20,59.7086
2020-01-21,60.7366
2020-01-22,62.1863
2020-01-23,63.4008
2020-01-24,62.9274
2020-01-25,62.9274
2020-01-26,62.9274
2020-01-27,62.9274
2020-01-28,63.8424
2020-01-29,64.7194
2020-01-30,66.0324
2020-01-31,62.8083
2020-02-01,62.8083
2020-02-02,62.8083
2020-02-03,64.0737
2020-02-04,61.8951
2020-02-05,64.3111
2020-02-06,64.7194
2020-02-07,63.3856
2020-02-08,63.3856
2020-02-09,63.3856
2020-02-10,64.7025
2020-02-11,64.9124
2020-02-12,62.0303
2020-02-13,65.5755
2020-02-14,66.6184
2020-02-15,66.6184
2020-02-16,66.6184
2020-02-17,66.6184
2020-02-18,66.9983
2020-02-19,64.1051
2020-02-20,63.8571
2020-02-21,63.6448
2020-02-22,63.6448
2020-02-23,63.6448
2020-02-24,56.9464
2020-02-25,50.3718
2020-02-26,47.5463
2020-02-27,38.9491
2020-02-28,32.825
2020-02-29,32.825
2020-03-01,32.825
2020-03-02,42.9651
2020-03-03,42.807
2020-03-04,51.2472
2020-03-05,48.6362
2020-03-06,50.9006
2020-03-07,50.9006
2020-03-08,50.9006
2020-03-09,42.3709
2020-03-10,44.668
2020-03-11,38.5465
2020-03-12,32.0895
2020-03-13,37.0764
2020-03-14,37.0764
2020-03-15,37.0764
2020-03-16,29.8359
2020-03-17,36.1838
2020-03-18,31.6268
2020-03-19,32.0909
2020-03-20,32.414
2020-03-21,32.414
2020-03-22,32.414
2020-03-23,32.1274
2020-03-24,37.6986
2020-03-25,39.2897
2020-03-26,43.4872
2020-03-27,43.2483
2020-03-28,43.2483
2020-03-29,43.2483
2020-03-30,47.2556
2020-03-31,44.5945
2020-04-01,41.3713
2020-04-02,43.3554
2020-04-03,41.8291
2020-04-04,41.8291
2020-04-05,41.8291
2020-04-06,46.8047
2020-04-07,45.5143
2020-04-08,48.7459
2020-04-09,50.3703
2020-04-10,50.3703
2020-04-11,50.3703
2020-04-12,50.3703
2020-04-13,48.5719
2020-04-14,49.6121
2020-04-15,47.6828
2020-04-16,47.3918
2020-04-17,48.7006
2020-04-18,48.7006
2020-04-19,48.7006
2020-04-20,46.2195
2020-04-21,45.9906
2020-04-22,46.5384
2020-04-23,45.5639
2020-04-24,45.7266
2020-04-25,45.7266
2020-04-26,45.7266
2020-04-27,47.8585
2020-04-28,49.0954
2020-04-29,48.085
2020-04-30,45.6456
2020-05-01,44.2726
2020-05-02,44.2726
2020-05-03,44.2726
2020-05-04,44.4213
2020-05-05,44.5261
2020-05-06,43.3746
2020-05-07,43.3287
2020-05-08,45.4831
2020-05-09,45.4831
2020-05-10,45.4831
2020-05-11,44.5415
2020-05-12,43.6211
