,IBM US Equity
,RSI_30D
2020-01-01,51.5001
2020-01-02,54.2034
2020-01-03,51.8631
2020-01-04,51.8631
2020-01-05,51.8631
2020-01-06,51.3534
2020-01-07,51.5381
2020-01-08,53.7972
2020-01-09,56.477
2020-01-10,56.3587
2020-01-11,56.3587
2020-01-12,56.3587
2020-01-13,56.1399
2020-01-14,54.2512
2020-01-15,55.8279
2020-01-16,58.3522
2020-01-17,58.9412
2020-01-18,58.9412
2020-01-19,58.9412
2020-01-20,58.9412
2020-01-21,60.4491
2020-01-22,67.2731
2020-01-23,64.7746
2020-01-24,59.5898
2020-01-25,59.5898
2020-01-26,59.5898
2020-01-27,55.7153
2020-01-28,57.0986
2020-01-29,53.6325
2020-01-30,52.0168
2020-01-31,61.1712
2020-02-01,61.1712
2020-02-02,61.1712
2020-02-03,63.78
2020-02-04,66.3918
2020-02-05,71.7493
2020-02-06,72.0241
2020-02-07,69.1939
2020-02-08,69.1939
2020-02-09,69.1939
2020-02-10,69.9149
2020-02-11,68.373
2020-02-12,69.7044
2020-02-13,68.0842
2020-02-14,62.6462
2020-02-15,62.6462
2020-02-16,62.6462
2020-02-17,62.6462
2020-02-18,62.9851
2020-02-19,62.6324
2020-02-20,62.9543
2020-02-21,60.8749
2020-02-22,60.8749
2020-02-23,60.8749
2020-02-24,56.1352
2020-02-25,50.5046
2020-02-26,48.4184
2020-02-27,42.2954
2020-02-28,39.9648
2020-02-29,39.9648
2020-03-01,39.9648
2020-03-02,44.4078
2020-03-03,40.3847
2020-03-04,45.4237
2020-03-05,42.1857
2020-03-06,41.0072
2020-03-07,41.0072
2020-03-08,41.0072
2020-03-09,35.4268
2020-03-10,41.2314
2020-03-11,37.7973
2020-03-12,31.707
2020-03-13,35.3602
2020-03-14,35.3602
2020-03-15,35.3602
2020-03-16,32.2778
2020-03-17,37.1172
2020-03-18,36.0266
2020-03-19,34.9273
2020-03-20,33.306
2020-03-21,33.306
2020-03-22,33.306
2020-03-23,33.1069
2020-03-24,39.5636
2020-03-25,39.7714
2020-03-26,43.5885
2020-03-27,41.7011
2020-03-28,41.7011
2020-03-29,41.7011
2020-03-30,44.2202
2020-03-31,43.4279
2020-04-01,41.2161
2020-04-02,43.7056
2020-04-03,42.3097
2020-04-04,42.3097
2020-04-05,42.3097
2020-04-06,46.4121
2020-04-07,46.4678
2020-04-08,48.477
2020-04-09,49.4736
2020-04-10,49.4736
2020-04-11,49.4736
2020-04-12,49.4736
2020-04-13,49.3173
2020-04-14,50.5907
2020-04-15,48.2204
2020-04-16,46.9306
2020-04-17,49.0226
2020-04-18,49.0226
2020-04-19,49.0226
2020-04-20,49.1596
2020-04-21,47.498
2020-04-22,48.7499
2020-04-23,49.7417
2020-04-24,51.3506
2020-04-25,51.3506
2020-04-26,51.3506
2020-04-27,51.9176
2020-04-28,52.086
2020-04-29,53.2576
2020-04-30,51.5704
2020-05-01,49.6522
2020-05-02,49.6522
2020-05-03,49.6522
2020-05-04,49.554
2020-05-05,50.0381
2020-05-06,50.3612
2020-05-07,50.1824
2020-05-08,51.1997
2020-05-09,51.1997
2020-05-10,51.1997
2020-05-11,50.955
2020-05-12,49.5291
2020-05-13,46.89
2020-05-14,47.6668
2020-05-15,47.6863
2020-05-16,47.6863
2020-05-17,47.6863
2020-05-18,50.589
2020-05-19,49.7964
2020-05-20,50.4852
2020-05-21,49.042
2020-05-22,48.578
2020-05-23,48.578
2020-05-24,48.578
2020-05-25,48.578
2020-05-26,50.801
2020-05-27,53.1511
2020-05-28,52.4585
2020-05-29,52.6921
2020-05-30,52.6921
2020-05-31,52.6921
2020-06-01,52.6849
2020-06-02,53.4196
2020-06-03,55.3889
2020-06-04,55.2621
2020-06-05,57.2669
2020-06-06,57.2669
2020-06-07,57.2669
2020-06-08,59.4547
2020-06-09,56.3183
2020-06-10,54.7774
2020-06-11,46.9048
2020-06-12,49.3796
2020-06-13,49.3796
2020-06-14,49.3796
2020-06-15,49.2214
2020-06-16,51.3905
2020-06-17,50.7497
2020-06-18,50.7561
2020-06-19,49.637
2020-06-20,49.637
2020-06-21,49.637
2020-06-22,48.7164
2020-06-23,47.6329
2020-06-24,45.7375
2020-06-25,47.6197
2020-06-26,46.4448
2020-06-27,46.4448
2020-06-28,46.4448
2020-06-29,48.2814
2020-06-30,49.0022
2020-07-01,47.5047
2020-07-02,48.354
2020-07-03,48.354
2020-07-04,48.354
2020-07-05,48.354
2020-07-06,48.7166
2020-07-07,46.9023
2020-07-08,47.004
2020-07-09,45.6136
2020-07-10,47.7251
2020-07-11,47.7251
2020-07-12,47.7251
2020-07-13,48.3924
2020-07-14,49.4911
2020-07-15,51.3285
2020-07-16,52.0873
2020-07-17,52.9144
2020-07-18,52.9144
2020-07-19,52.9144
2020-07-20,53.8582
2020-07-21,53.5848
2020-07-22,55.5499
2020-07-23,54.3283
2020-07-24,52.9441
2020-07-25,52.9441
2020-07-26,52.9441
2020-07-27,53.2799
2020-07-28,51.6986
2020-07-29,52.4123
2020-07-30,50.2264
2020-07-31,50.2619
2020-08-01,50.2619
2020-08-02,50.2619
2020-08-03,51.4868
2020-08-04,52.8289
2020-08-05,52.4463
2020-08-06,53.0506
2020-08-07,53.4851
2020-08-08,53.4851
2020-08-09,53.4851
2020-08-10,55.4369
2020-08-11,55.0369
2020-08-12,54.9799
2020-08-13,53.0804
2020-08-14,53.3202
2020-08-15,53.3202
2020-08-16,53.3202
2020-08-17,52.3629
2020-08-18,52.8691
2020-08-19,51.593
2020-08-20,50.7829
2020-08-21,50.7944
2020-08-22,50.7944
2020-08-23,50.7944
2020-08-24,53.639
2020-08-25,52.347
2020-08-26,51.7641
2020-08-27,52.325
2020-08-28,52.8215
2020-08-29,52.8215
2020-08-30,52.8215
2020-08-31,50.5397
2020-09-01,50.6525
2020-09-02,56.146
2020-09-03,51.5165
2020-09-04,49.1023
2020-09-05,49.1023
2020-09-06,49.1023
2020-09-07,49.1023
2020-09-08,47.9244
2020-09-09,49.1402
2020-09-10,47.291
2020-09-11,48.3554
2020-09-12,48.3554
2020-09-13,48.3554
