,BWA US Equity
,RSI_30D
2020-01-01,57.1694
2020-01-02,58.7248
2020-01-03,53.1545
2020-01-04,53.1545
2020-01-05,53.1545
2020-01-06,52.5705
2020-01-07,53.3365
2020-01-08,54.1034
2020-01-09,51.51
2020-01-10,49.872
2020-01-11,49.872
2020-01-12,49.872
2020-01-13,49.7437
2020-01-14,50.8877
2020-01-15,49.4246
2020-01-16,51.3643
2020-01-17,50.1832
2020-01-18,50.1832
2020-01-19,50.1832
2020-01-20,50.1832
2020-01-21,46.8999
2020-01-22,46.2615
2020-01-23,47.2171
2020-01-24,43.3211
2020-01-25,43.3211
2020-01-26,43.3211
2020-01-27,40.9886
2020-01-28,34.5765
2020-01-29,34.3112
2020-01-30,33.8695
2020-01-31,32.424
2020-02-01,32.424
2020-02-02,32.424
2020-02-03,32.7709
2020-02-04,32.9687
2020-02-05,35.3684
2020-02-06,32.8181
2020-02-07,32.4587
2020-02-08,32.4587
2020-02-09,32.4587
2020-02-10,31.9069
2020-02-11,35.1696
2020-02-12,37.3399
2020-02-13,38.7659
2020-02-14,36.7053
2020-02-15,36.7053
2020-02-16,36.7053
2020-02-17,36.7053
2020-02-18,37.4085
2020-02-19,39.067
2020-02-20,40.3745
2020-02-21,37.6577
2020-02-22,37.6577
2020-02-23,37.6577
2020-02-24,33.9785
2020-02-25,31.5436
2020-02-26,30.6288
2020-02-27,32.0128
2020-02-28,36.1291
2020-02-29,36.1291
2020-03-01,36.1291
2020-03-02,38.5116
2020-03-03,36.4135
2020-03-04,37.3847
2020-03-05,34.4123
2020-03-06,32.7219
2020-03-07,32.7219
2020-03-08,32.7219
2020-03-09,28.7255
2020-03-10,33.88
2020-03-11,32.4833
2020-03-12,29.7319
2020-03-13,32.5639
2020-03-14,32.5639
2020-03-15,32.5639
2020-03-16,29.4795
2020-03-17,28.6617
2020-03-18,26.1353
2020-03-19,29.3561
2020-03-20,28.8378
2020-03-21,28.8378
2020-03-22,28.8378
2020-03-23,30.4566
2020-03-24,34.3543
2020-03-25,36.4439
2020-03-26,39.0757
2020-03-27,37.4453
2020-03-28,37.4453
2020-03-29,37.4453
2020-03-30,39.3045
2020-03-31,39.0182
2020-04-01,36.7627
2020-04-02,36.2806
2020-04-03,35.042
2020-04-04,35.042
2020-04-05,35.042
2020-04-06,42.1419
2020-04-07,42.059
2020-04-08,43.702
2020-04-09,44.1024
2020-04-10,44.1024
2020-04-11,44.1024
