,SIGI US Equity
,RSI_30D
2020-01-01,31.9451
2020-01-02,33.1059
2020-01-03,34.8531
2020-01-04,34.8531
2020-01-05,34.8531
2020-01-06,38.1096
2020-01-07,36.0919
2020-01-08,37.7539
2020-01-09,40.6211
2020-01-10,38.9252
2020-01-11,38.9252
2020-01-12,38.9252
2020-01-13,38.9252
2020-01-14,40.178
2020-01-15,41.1766
2020-01-16,45.977
2020-01-17,46.9382
2020-01-18,46.9382
2020-01-19,46.9382
2020-01-20,46.9382
2020-01-21,46.8081
2020-01-22,46.294
2020-01-23,41.832
2020-01-24,40.4194
2020-01-25,40.4194
2020-01-26,40.4194
2020-01-27,41.3435
2020-01-28,41.588
2020-01-29,39.9515
2020-01-30,45.445
2020-01-31,42.6671
2020-02-01,42.6671
2020-02-02,42.6671
2020-02-03,45.4413
2020-02-04,48.2004
2020-02-05,46.8136
2020-02-06,49.0404
2020-02-07,49.8896
2020-02-08,49.8896
2020-02-09,49.8896
2020-02-10,51.259
2020-02-11,53.0972
2020-02-12,51.2296
2020-02-13,55.0315
2020-02-14,55.1958
2020-02-15,55.1958
2020-02-16,55.1958
2020-02-17,55.1958
2020-02-18,49.27
2020-02-19,46.537
2020-02-20,44.3211
2020-02-21,44.3211
2020-02-22,44.3211
2020-02-23,44.3211
2020-02-24,41.6671
2020-02-25,38.1049
2020-02-26,37.2903
2020-02-27,31.4686
2020-02-28,26.6927
2020-02-29,26.6927
2020-03-01,26.6927
2020-03-02,32.7244
2020-03-03,31.3826
2020-03-04,36.8615
2020-03-05,32.7924
2020-03-06,32.7701
2020-03-07,32.7701
2020-03-08,32.7701
2020-03-09,28.0629
2020-03-10,34.8738
2020-03-11,32.4896
2020-03-12,28.7688
2020-03-13,35.7952
2020-03-14,35.7952
2020-03-15,35.7952
2020-03-16,28.7734
2020-03-17,36.3865
2020-03-18,35.7583
2020-03-19,37.8835
2020-03-20,36.6833
2020-03-21,36.6833
2020-03-22,36.6833
2020-03-23,36.206
2020-03-24,41.8223
2020-03-25,39.3521
2020-03-26,40.9171
2020-03-27,41.0011
2020-03-28,41.0011
2020-03-29,41.0011
2020-03-30,43.3347
2020-03-31,42.2541
2020-04-01,41.355
2020-04-02,41.2473
2020-04-03,40.1574
2020-04-04,40.1574
2020-04-05,40.1574
2020-04-06,41.9904
2020-04-07,41.3712
2020-04-08,43.1726
2020-04-09,46.6591
2020-04-10,46.6591
2020-04-11,46.6591
2020-04-12,46.6591
2020-04-13,45.8976
2020-04-14,47.5252
2020-04-15,44.0865
2020-04-16,44.61
2020-04-17,45.8067
2020-04-18,45.8067
2020-04-19,45.8067
2020-04-20,45.0733
2020-04-21,44.1741
2020-04-22,43.7843
2020-04-23,43.2106
2020-04-24,43.3665
2020-04-25,43.3665
2020-04-26,43.3665
2020-04-27,46.0203
2020-04-28,46.3899
2020-04-29,48.4769
2020-04-30,45.8629
2020-05-01,43.3866
2020-05-02,43.3866
2020-05-03,43.3866
2020-05-04,43.9887
2020-05-05,45.0322
2020-05-06,41.6989
2020-05-07,42.8381
2020-05-08,45.149
2020-05-09,45.149
2020-05-10,45.149
2020-05-11,44.5468
2020-05-12,42.4947
2020-05-13,40.4549
2020-05-14,42.081
2020-05-15,45.0063
2020-05-16,45.0063
2020-05-17,45.0063
2020-05-18,49.659
2020-05-19,47.994
2020-05-20,49.4679
2020-05-21,50.7556
2020-05-22,51.1362
2020-05-23,51.1362
2020-05-24,51.1362
2020-05-25,51.1362
2020-05-26,51.7152
2020-05-27,53.6621
2020-05-28,51.6734
2020-05-29,50.9553
2020-05-30,50.9553
2020-05-31,50.9553
2020-06-01,50.6235
2020-06-02,51.99
2020-06-03,53.5335
2020-06-04,52.9771
2020-06-05,55.9196
2020-06-06,55.9196
2020-06-07,55.9196
2020-06-08,56.3838
2020-06-09,54.5171
2020-06-10,52.5873
2020-06-11,47.8221
2020-06-12,47.7822
2020-06-13,47.7822
2020-06-14,47.7822
2020-06-15,49.6929
2020-06-16,50.2598
2020-06-17,49.38
2020-06-18,49.7507
2020-06-19,49.0081
2020-06-20,49.0081
2020-06-21,49.0081
2020-06-22,48.8709
2020-06-23,49.5647
2020-06-24,48.0041
2020-06-25,49.4389
2020-06-26,47.5277
2020-06-27,47.5277
2020-06-28,47.5277
2020-06-29,50.4164
2020-06-30,50.8081
2020-07-01,49.4011
2020-07-02,49.3642
2020-07-03,49.3642
2020-07-04,49.3642
2020-07-05,49.3642
2020-07-06,49.8421
2020-07-07,49.1931
2020-07-08,50.448
2020-07-09,49.0611
2020-07-10,51.6524
2020-07-11,51.6524
2020-07-12,51.6524
2020-07-13,51.7043
2020-07-14,52.9827
2020-07-15,55.2581
2020-07-16,56.3273
2020-07-17,55.238
2020-07-18,55.238
2020-07-19,55.238
2020-07-20,54.8976
2020-07-21,54.8182
2020-07-22,55.5629
2020-07-23,56.8122
2020-07-24,57.1271
2020-07-25,57.1271
2020-07-26,57.1271
2020-07-27,56.6287
2020-07-28,55.4664
2020-07-29,57.3339
2020-07-30,52.4909
2020-07-31,50.9142
2020-08-01,50.9142
2020-08-02,50.9142
2020-08-03,51.862
2020-08-04,51.5243
2020-08-05,51.5554
2020-08-06,52.2365
2020-08-07,54.6741
2020-08-08,54.6741
2020-08-09,54.6741
2020-08-10,53.8516
2020-08-11,54.9043
2020-08-12,53.7823
2020-08-13,53.1351
2020-08-14,52.1521
2020-08-15,52.1521
2020-08-16,52.1521
2020-08-17,51.5011
2020-08-18,54.3156
2020-08-19,52.9082
2020-08-20,52.6792
2020-08-21,54.3484
2020-08-22,54.3484
2020-08-23,54.3484
2020-08-24,55.2646
2020-08-25,56.6553
2020-08-26,56.0195
2020-08-27,58.1416
2020-08-28,59.2139
2020-08-29,59.2139
2020-08-30,59.2139
2020-08-31,59.1004
2020-09-01,59.5971
2020-09-02,60.8504
2020-09-03,59.0746
2020-09-04,57.3435
2020-09-05,57.3435
2020-09-06,57.3435
2020-09-07,57.3435
2020-09-08,54.8924
2020-09-09,55.399
2020-09-10,50.3627
2020-09-11,47.8246
2020-09-12,47.8246
2020-09-13,47.8246
2020-09-14,46.8546
2020-09-15,44.6846
2020-09-16,45.8266
2020-09-17,44.0313
2020-09-18,41.5457
2020-09-19,41.5457
2020-09-20,41.5457
2020-09-21,39.3796
2020-09-22,39.9563
2020-09-23,38.2618
2020-09-24,40.4285
2020-09-25,39.8175
