,SR US Equity
,RSI_30D
2020-01-01,52.8181
2020-01-02,50.3429
2020-01-03,51.0341
2020-01-04,51.0341
2020-01-05,51.0341
2020-01-06,50.8431
2020-01-07,49.5329
2020-01-08,46.4522
2020-01-09,45.7027
2020-01-10,45.8764
2020-01-11,45.8764
2020-01-12,45.8764
2020-01-13,48.5987
2020-01-14,49.902
2020-01-15,53.3297
2020-01-16,55.6823
2020-01-17,55.4071
2020-01-18,55.4071
2020-01-19,55.4071
2020-01-20,55.4071
2020-01-21,55.4071
2020-01-22,52.9566
2020-01-23,55.7614
2020-01-24,56.2619
2020-01-25,56.2619
2020-01-26,56.2619
2020-01-27,54.6968
2020-01-28,55.7107
2020-01-29,55.1634
2020-01-30,56.5756
2020-01-31,54.7184
2020-02-01,54.7184
2020-02-02,54.7184
2020-02-03,58.0253
2020-02-04,55.5645
2020-02-05,60.1879
2020-02-06,58.7476
2020-02-07,58.6414
2020-02-08,58.6414
2020-02-09,58.6414
2020-02-10,59.1004
2020-02-11,57.666
2020-02-12,57.4441
2020-02-13,59.6143
2020-02-14,61.8036
2020-02-15,61.8036
2020-02-16,61.8036
2020-02-17,61.8036
2020-02-18,61.8522
2020-02-19,59.6528
2020-02-20,60.0205
2020-02-21,59.3808
2020-02-22,59.3808
2020-02-23,59.3808
2020-02-24,54.9153
2020-02-25,47.6029
2020-02-26,44.622
2020-02-27,38.8143
2020-02-28,31.2141
2020-02-29,31.2141
2020-03-01,31.2141
2020-03-02,42.2856
2020-03-03,39.8232
2020-03-04,46.398
2020-03-05,44.3514
2020-03-06,46.9644
2020-03-07,46.9644
2020-03-08,46.9644
2020-03-09,41.1079
2020-03-10,42.2128
2020-03-11,38.365
2020-03-12,29.9517
2020-03-13,34.2217
2020-03-14,34.2217
2020-03-15,34.2217
2020-03-16,31.7721
2020-03-17,47.8535
2020-03-18,46.6767
2020-03-19,44.9869
2020-03-20,38.2314
2020-03-21,38.2314
2020-03-22,38.2314
2020-03-23,36.4633
2020-03-24,42.4153
2020-03-25,42.9993
2020-03-26,46.7227
2020-03-27,46.7519
2020-03-28,46.7519
2020-03-29,46.7519
2020-03-30,49.1447
2020-03-31,47.93
2020-04-01,44.2656
2020-04-02,45.3788
2020-04-03,45.0766
2020-04-04,45.0766
2020-04-05,45.0766
2020-04-06,50.1257
2020-04-07,48.7478
2020-04-08,49.4927
2020-04-09,51.7977
2020-04-10,51.7977
2020-04-11,51.7977
2020-04-12,51.7977
2020-04-13,49.8317
2020-04-14,50.6527
2020-04-15,48.492
2020-04-16,48.7121
2020-04-17,50.4642
2020-04-18,50.4642
2020-04-19,50.4642
2020-04-20,48.0434
2020-04-21,47.3927
2020-04-22,48.3317
2020-04-23,47.3114
2020-04-24,47.5733
2020-04-25,47.5733
2020-04-26,47.5733
2020-04-27,48.1974
2020-04-28,48.4991
2020-04-29,49.4899
2020-04-30,47.826
2020-05-01,46.1766
2020-05-02,46.1766
2020-05-03,46.1766
2020-05-04,46.7185
2020-05-05,47.7566
2020-05-06,45.3674
2020-05-07,46.6291
2020-05-08,48.8186
2020-05-09,48.8186
2020-05-10,48.8186
2020-05-11,47.2156
2020-05-12,45.6928
2020-05-13,44.9573
2020-05-14,44.7599
2020-05-15,44.1365
2020-05-16,44.1365
2020-05-17,44.1365
2020-05-18,48.2549
2020-05-19,46.2992
2020-05-20,47.6902
2020-05-21,47.5027
2020-05-22,48.3858
2020-05-23,48.3858
2020-05-24,48.3858
2020-05-25,48.3858
2020-05-26,48.4923
2020-05-27,50.2786
2020-05-28,49.3237
2020-05-29,49.5692
2020-05-30,49.5692
2020-05-31,49.5692
2020-06-01,49.6998
2020-06-02,49.6428
2020-06-03,50.877
2020-06-04,48.933
2020-06-05,50.8842
2020-06-06,50.8842
2020-06-07,50.8842
2020-06-08,52.7068
2020-06-09,51.54
2020-06-10,49.6867
2020-06-11,45.2385
2020-06-12,45.1874
2020-06-13,45.1874
2020-06-14,45.1874
2020-06-15,46.4502
2020-06-16,47.3014
2020-06-17,45.1554
2020-06-18,44.5728
2020-06-19,43.5426
2020-06-20,43.5426
2020-06-21,43.5426
2020-06-22,44.249
2020-06-23,43.8553
2020-06-24,42.7393
2020-06-25,42.3102
2020-06-26,40.7003
2020-06-27,40.7003
2020-06-28,40.7003
2020-06-29,43.4604
2020-06-30,45.0341
2020-07-01,46.0694
2020-07-02,46.7531
2020-07-03,46.7531
2020-07-04,46.7531
2020-07-05,46.7531
2020-07-06,46.6477
2020-07-07,45.8767
2020-07-08,44.7814
2020-07-09,42.6345
