,INDB US Equity
,RSI_30D
2020-01-01,53.3969
2020-01-02,53.8243
2020-01-03,52.9317
2020-01-04,52.9317
2020-01-05,52.9317
2020-01-06,50.9381
2020-01-07,47.9442
2020-01-08,50.3195
2020-01-09,48.7682
2020-01-10,48.0027
2020-01-11,48.0027
2020-01-12,48.0027
2020-01-13,48.7013
2020-01-14,48.5197
2020-01-15,45.6762
2020-01-16,48.9879
2020-01-17,45.6121
2020-01-18,45.6121
2020-01-19,45.6121
2020-01-20,45.6121
2020-01-21,42.9798
2020-01-22,40.2426
2020-01-23,40.7481
2020-01-24,37.739
2020-01-25,37.739
2020-01-26,37.739
2020-01-27,35.2897
2020-01-28,34.6957
2020-01-29,32.3254
2020-01-30,34.8297
2020-01-31,33.1106
2020-02-01,33.1106
2020-02-02,33.1106
2020-02-03,35.5911
2020-02-04,39.5761
2020-02-05,43.8946
2020-02-06,41.0879
2020-02-07,40.6451
2020-02-08,40.6451
2020-02-09,40.6451
2020-02-10,42.2546
2020-02-11,43.4111
2020-02-12,44.3605
2020-02-13,46.9054
2020-02-14,46.1339
2020-02-15,46.1339
2020-02-16,46.1339
2020-02-17,46.1339
2020-02-18,44.7052
2020-02-19,46.2917
2020-02-20,47.8399
2020-02-21,45.3993
2020-02-22,45.3993
2020-02-23,45.3993
2020-02-24,39.4465
2020-02-25,37.7001
2020-02-26,36.4578
2020-02-27,37.4663
2020-02-28,33.3583
2020-02-29,33.3583
2020-03-01,33.3583
2020-03-02,41.3423
2020-03-03,38.9988
2020-03-04,38.8683
2020-03-05,36.8713
2020-03-06,33.6386
2020-03-07,33.6386
2020-03-08,33.6386
2020-03-09,28.4596
2020-03-10,34.1413
2020-03-11,32.252
2020-03-12,27.6594
2020-03-13,35.1733
2020-03-14,35.1733
2020-03-15,35.1733
2020-03-16,33.5854
2020-03-17,39.2801
2020-03-18,40.0352
2020-03-19,43.4415
2020-03-20,40.5565
2020-03-21,40.5565
2020-03-22,40.5565
2020-03-23,35.7732
2020-03-24,39.771
2020-03-25,40.7569
