,ATKR US Equity
,RSI_30D
2020-01-01,65.8859
2020-01-02,64.9819
2020-01-03,63.4803
2020-01-04,63.4803
2020-01-05,63.4803
2020-01-06,62.2891
2020-01-07,64.2661
2020-01-08,65.0963
2020-01-09,65.8514
2020-01-10,66.0167
2020-01-11,66.0167
2020-01-12,66.0167
2020-01-13,68.5962
2020-01-14,66.0048
2020-01-15,65.7541
2020-01-16,67.5094
2020-01-17,65.6118
2020-01-18,65.6118
2020-01-19,65.6118
2020-01-20,65.6118
2020-01-21,67.2921
2020-01-22,68.2607
2020-01-23,59.0462
2020-01-24,59.4973
2020-01-25,59.4973
2020-01-26,59.4973
2020-01-27,56.1971
2020-01-28,57.4719
2020-01-29,58.4721
2020-01-30,58.9359
2020-01-31,52.7473
2020-02-01,52.7473
2020-02-02,52.7473
2020-02-03,53.2855
2020-02-04,58.6146
2020-02-05,60.3574
2020-02-06,58.0077
2020-02-07,56.5049
2020-02-08,56.5049
2020-02-09,56.5049
2020-02-10,59.1628
2020-02-11,59.7908
2020-02-12,61.4551
2020-02-13,62.931
2020-02-14,58.3115
2020-02-15,58.3115
2020-02-16,58.3115
2020-02-17,58.3115
2020-02-18,57.5285
2020-02-19,59.3703
2020-02-20,57.2175
2020-02-21,55.1105
2020-02-22,55.1105
2020-02-23,55.1105
2020-02-24,51.7621
2020-02-25,45.9535
2020-02-26,45.9881
2020-02-27,40.2501
2020-02-28,41.029
2020-02-29,41.029
2020-03-01,41.029
2020-03-02,47.1513
2020-03-03,43.1991
2020-03-04,45.7972
2020-03-05,43.5512
2020-03-06,44.8774
2020-03-07,44.8774
2020-03-08,44.8774
2020-03-09,37.9414
2020-03-10,43.2396
2020-03-11,41.1525
2020-03-12,32.5717
2020-03-13,33.3005
2020-03-14,33.3005
2020-03-15,33.3005
2020-03-16,27.3925
2020-03-17,25.0972
2020-03-18,20.2447
2020-03-19,26.1429
2020-03-20,31.892
2020-03-21,31.892
2020-03-22,31.892
2020-03-23,31.6602
2020-03-24,31.6913
2020-03-25,34.6029
2020-03-26,37.2946
2020-03-27,36.0838
2020-03-28,36.0838
2020-03-29,36.0838
2020-03-30,36.3198
2020-03-31,36.4109
2020-04-01,34.5615
2020-04-02,34.1235
2020-04-03,33.6656
2020-04-04,33.6656
2020-04-05,33.6656
2020-04-06,38.8232
