,LNTH US Equity
,RSI_30D
2020-01-01,54.9552
2020-01-02,47.498
2020-01-03,47.1826
2020-01-04,47.1826
2020-01-05,47.1826
2020-01-06,48.7663
2020-01-07,47.9402
2020-01-08,52.0828
2020-01-09,45.6356
2020-01-10,47.6925
2020-01-11,47.6925
2020-01-12,47.6925
2020-01-13,42.8733
2020-01-14,45.2739
2020-01-15,46.99
2020-01-16,46.9465
2020-01-17,47.2245
2020-01-18,47.2245
2020-01-19,47.2245
2020-01-20,47.2245
2020-01-21,46.3339
2020-01-22,46.5478
2020-01-23,46.8764
2020-01-24,43.2547
2020-01-25,43.2547
2020-01-26,43.2547
2020-01-27,43.6821
2020-01-28,44.0598
2020-01-29,43.9659
2020-01-30,42.9717
2020-01-31,41.0074
2020-02-01,41.0074
2020-02-02,41.0074
2020-02-03,39.1147
2020-02-04,41.9494
2020-02-05,43.8136
2020-02-06,43.166
2020-02-07,40.3046
2020-02-08,40.3046
2020-02-09,40.3046
2020-02-10,40.9894
2020-02-11,40.1237
2020-02-12,39.9057
2020-02-13,39.5942
2020-02-14,38.7449
2020-02-15,38.7449
2020-02-16,38.7449
2020-02-17,38.7449
2020-02-18,38.3419
2020-02-19,38.2504
2020-02-20,38.5537
2020-02-21,38.5537
2020-02-22,38.5537
2020-02-23,38.5537
2020-02-24,36.3563
2020-02-25,40.7603
2020-02-26,38.8884
2020-02-27,35.9946
2020-02-28,35.6207
2020-02-29,35.6207
2020-03-01,35.6207
2020-03-02,36.0407
2020-03-03,35.3255
2020-03-04,37.4276
2020-03-05,34.6248
2020-03-06,34.7026
2020-03-07,34.7026
2020-03-08,34.7026
2020-03-09,30.8301
2020-03-10,30.2482
2020-03-11,29.371
2020-03-12,25.013
2020-03-13,30.7176
2020-03-14,30.7176
2020-03-15,30.7176
2020-03-16,25.4302
2020-03-17,31.0524
2020-03-18,25.644
2020-03-19,31.6398
2020-03-20,32.4263
2020-03-21,32.4263
2020-03-22,32.4263
2020-03-23,34.5051
2020-03-24,37.2907
2020-03-25,36.641
2020-03-26,41.1579
2020-03-27,39.904
2020-03-28,39.904
2020-03-29,39.904
2020-03-30,40.554
2020-03-31,42.3377
2020-04-01,39.325
2020-04-02,38.2568
2020-04-03,36.353
2020-04-04,36.353
2020-04-05,36.353
2020-04-06,39.215
2020-04-07,40.7583
2020-04-08,45.5898
2020-04-09,46.4801
2020-04-10,46.4801
2020-04-11,46.4801
2020-04-12,46.4801
2020-04-13,47.0246
2020-04-14,49.1041
2020-04-15,46.258
2020-04-16,46.6101
2020-04-17,48.8178
2020-04-18,48.8178
2020-04-19,48.8178
2020-04-20,47.1746
