,VCTR US Equity
,RSI_30D
2020-01-01,64.8394
2020-01-02,66.2526
2020-01-03,64.6953
2020-01-04,64.6953
2020-01-05,64.6953
2020-01-06,61.4359
2020-01-07,61.1042
2020-01-08,59.5734
2020-01-09,63.333
2020-01-10,62.9338
2020-01-11,62.9338
2020-01-12,62.9338
2020-01-13,64.4409
2020-01-14,65.7344
2020-01-15,64.4185
2020-01-16,64.6113
2020-01-17,61.3764
2020-01-18,61.3764
2020-01-19,61.3764
2020-01-20,61.3764
2020-01-21,61.5881
2020-01-22,63.9964
2020-01-23,62.9582
2020-01-24,61.6478
2020-01-25,61.6478
2020-01-26,61.6478
2020-01-27,59.1026
2020-01-28,60.0457
2020-01-29,59.0397
2020-01-30,58.2988
2020-01-31,55.9228
2020-02-01,55.9228
2020-02-02,55.9228
2020-02-03,55.1478
2020-02-04,55.4141
2020-02-05,56.9991
2020-02-06,60.0362
2020-02-07,61.4009
2020-02-08,61.4009
2020-02-09,61.4009
2020-02-10,58.904
2020-02-11,63.3953
2020-02-12,65.1228
2020-02-13,59.676
2020-02-14,58.7888
2020-02-15,58.7888
2020-02-16,58.7888
2020-02-17,58.7888
2020-02-18,63.9295
2020-02-19,61.1208
2020-02-20,61.2098
2020-02-21,60.5783
2020-02-22,60.5783
2020-02-23,60.5783
2020-02-24,55.7632
2020-02-25,51.6145
2020-02-26,52.3314
2020-02-27,48.0035
2020-02-28,45.6597
2020-02-29,45.6597
2020-03-01,45.6597
2020-03-02,46.9982
2020-03-03,48.3153
2020-03-04,47.783
2020-03-05,43.3724
2020-03-06,39.7712
2020-03-07,39.7712
2020-03-08,39.7712
2020-03-09,33.4135
2020-03-10,40.6079
2020-03-11,35.9168
2020-03-12,31.7729
2020-03-13,37.8509
2020-03-14,37.8509
2020-03-15,37.8509
2020-03-16,35.5108
2020-03-17,36.1251
2020-03-18,36.0718
2020-03-19,37.0963
2020-03-20,38.6225
2020-03-21,38.6225
2020-03-22,38.6225
2020-03-23,37.6576
2020-03-24,40.0603
2020-03-25,42.9056
2020-03-26,45.3087
2020-03-27,44.578
2020-03-28,44.578
2020-03-29,44.578
2020-03-30,45.1216
2020-03-31,45.0975
2020-04-01,43.6747
2020-04-02,43.0554
2020-04-03,41.8743
2020-04-04,41.8743
2020-04-05,41.8743
2020-04-06,44.9667
2020-04-07,45.8694
2020-04-08,43.4602
2020-04-09,42.7725
2020-04-10,42.7725
2020-04-11,42.7725
2020-04-12,42.7725
2020-04-13,41.0575
2020-04-14,42.128
2020-04-15,40.8264
2020-04-16,40.7566
2020-04-17,42.0545
2020-04-18,42.0545
2020-04-19,42.0545
2020-04-20,40.9791
2020-04-21,40.9299
2020-04-22,43.2223
2020-04-23,44.6246
2020-04-24,43.5924
2020-04-25,43.5924
2020-04-26,43.5924
2020-04-27,43.5924
2020-04-28,43.5924
2020-04-29,46.1335
2020-04-30,45.4079
2020-05-01,44.8606
2020-05-02,44.8606
2020-05-03,44.8606
2020-05-04,43.977
2020-05-05,43.2179
2020-05-06,44.7568
2020-05-07,44.6605
2020-05-08,45.2697
2020-05-09,45.2697
2020-05-10,45.2697
2020-05-11,46.6073
2020-05-12,45.8002
2020-05-13,42.9878
2020-05-14,41.5123
2020-05-15,42.8085
2020-05-16,42.8085
2020-05-17,42.8085
2020-05-18,48.6549
2020-05-19,48.6549
2020-05-20,48.0203
2020-05-21,49.3122
2020-05-22,49.2006
2020-05-23,49.2006
2020-05-24,49.2006
2020-05-25,49.2006
2020-05-26,52.2912
2020-05-27,53.559
2020-05-28,52.793
2020-05-29,53.23
2020-05-30,53.23
2020-05-31,53.23
2020-06-01,53.9648
2020-06-02,54.9531
2020-06-03,56.9028
2020-06-04,55.7234
2020-06-05,57.2738
2020-06-06,57.2738
2020-06-07,57.2738
2020-06-08,60.9396
2020-06-09,60.6085
2020-06-10,56.7353
2020-06-11,46.7387
2020-06-12,48.3809
2020-06-13,48.3809
2020-06-14,48.3809
2020-06-15,48.7217
2020-06-16,49.4467
2020-06-17,51.8287
2020-06-18,50.5448
2020-06-19,50.6814
2020-06-20,50.6814
2020-06-21,50.6814
2020-06-22,51.6826
2020-06-23,50.2631
2020-06-24,49.9356
2020-06-25,49.7865
2020-06-26,49.5188
2020-06-27,49.5188
2020-06-28,49.5188
2020-06-29,50.5406
2020-06-30,53.2869
2020-07-01,53.7599
2020-07-02,54.7802
2020-07-03,54.7802
2020-07-04,54.7802
2020-07-05,54.7802
2020-07-06,56.2426
2020-07-07,55.1623
2020-07-08,56.1427
2020-07-09,55.4001
2020-07-10,58.4885
2020-07-11,58.4885
2020-07-12,58.4885
2020-07-13,54.1213
2020-07-14,55.8273
2020-07-15,58.0659
2020-07-16,58.482
2020-07-17,58.252
2020-07-18,58.252
2020-07-19,58.252
2020-07-20,59.7582
2020-07-21,58.4772
2020-07-22,59.0489
2020-07-23,57.5539
2020-07-24,56.4568
2020-07-25,56.4568
2020-07-26,56.4568
2020-07-27,56.8636
2020-07-28,56.4667
2020-07-29,55.172
2020-07-30,53.3234
2020-07-31,51.0867
2020-08-01,51.0867
2020-08-02,51.0867
2020-08-03,53.1615
2020-08-04,52.8303
2020-08-05,52.1107
2020-08-06,53.0155
2020-08-07,55.1738
2020-08-08,55.1738
2020-08-09,55.1738
2020-08-10,55.6743
2020-08-11,55.971
2020-08-12,54.2018
2020-08-13,53.1485
2020-08-14,53.1485
2020-08-15,53.1485
2020-08-16,53.1485
2020-08-17,50.622
2020-08-18,49.0151
2020-08-19,48.3698
2020-08-20,48.5316
2020-08-21,48.0129
2020-08-22,48.0129
2020-08-23,48.0129
2020-08-24,47.4878
2020-08-25,46.9566
2020-08-26,46.3664
2020-08-27,45.6647
2020-08-28,45.9252
2020-08-29,45.9252
2020-08-30,45.9252
2020-08-31,48.4803
2020-09-01,49.8291
2020-09-02,52.9563
2020-09-03,52.2082
2020-09-04,51.333
2020-09-05,51.333
2020-09-06,51.333
2020-09-07,51.333
2020-09-08,49.3171
2020-09-09,47.6114
2020-09-10,43.4809
2020-09-11,44.3245
2020-09-12,44.3245
2020-09-13,44.3245
2020-09-14,46.7288
2020-09-15,45.8132
2020-09-16,45.4878
2020-09-17,45.3767
2020-09-18,45.1484
2020-09-19,45.1484
2020-09-20,45.1484
2020-09-21,43.6165
2020-09-22,43.5599
2020-09-23,41.7111
2020-09-24,43.5875
2020-09-25,44.1086
2020-09-26,44.1086
2020-09-27,44.1086
2020-09-28,47.2758
2020-09-29,47.2129
2020-09-30,47.8588
2020-10-01,47.2606
2020-10-02,50.7953
2020-10-03,50.7953
2020-10-04,50.7953
2020-10-05,52.4439
2020-10-06,50.687
2020-10-07,51.3613
2020-10-08,57.8064
2020-10-09,58.0195
2020-10-10,58.0195
2020-10-11,58.0195
2020-10-12,60.2031
2020-10-13,60.5067
2020-10-14,60.1114
2020-10-15,60.6958
2020-10-16,61.8521
2020-10-17,61.8521
2020-10-18,61.8521
2020-10-19,60.5948
2020-10-20,62.236
2020-10-21,62.3929
2020-10-22,63.2352
2020-10-23,64.6185
2020-10-24,64.6185
2020-10-25,64.6185
2020-10-26,62.8957
2020-10-27,62.9495
2020-10-28,56.2823
2020-10-29,54.1784
2020-10-30,51.9541
2020-10-31,51.9541
2020-11-01,51.9541
2020-11-02,51.2519
2020-11-03,51.7244
2020-11-04,55.3682
2020-11-05,59.4762
2020-11-06,56.1527
2020-11-07,56.1527
2020-11-08,56.1527
2020-11-09,58.6471
2020-11-10,56.6335
2020-11-11,57.1582
2020-11-12,57.9477
2020-11-13,58.7858
2020-11-14,58.7858
2020-11-15,58.7858
2020-11-16,60.758
2020-11-17,59.6228
2020-11-18,60.5381
2020-11-19,52.77
2020-11-20,48.9731
2020-11-21,48.9731
2020-11-22,48.9731
2020-11-23,52.358
2020-11-24,57.9061
2020-11-25,58.7682
2020-11-26,58.7682
2020-11-27,58.5908
2020-11-28,58.5908
2020-11-29,58.5908
2020-11-30,59.1015
2020-12-01,62.8352
2020-12-02,64.0391
2020-12-03,67.9218
2020-12-04,64.4137
2020-12-05,64.4137
2020-12-06,64.4137
2020-12-07,62.6547
2020-12-08,64.1258
2020-12-09,65.6843
2020-12-10,66.0505
2020-12-11,66.9326
2020-12-12,66.9326
2020-12-13,66.9326
2020-12-14,61.6734
2020-12-15,61.8419
2020-12-16,60.9545
2020-12-17,63.4631
2020-12-18,63.6265
2020-12-19,63.6265
2020-12-20,63.6265
2020-12-21,63.2753
2020-12-22,63.1551
2020-12-23,66.118
2020-12-24,64.9643
2020-12-25,64.9643
2020-12-26,64.9643
2020-12-27,64.9643
2020-12-28,65.6496
2020-12-29,65.2097
2020-12-30,66.8509
2020-12-31,68.0363
2021-01-01,68.0363
2021-01-02,68.0363
2021-01-03,68.0363
2021-01-04,68.3445
2021-01-05,61.4771
2021-01-06,62.2822
2021-01-07,58.1804
2021-01-08,59.9973
2021-01-09,59.9973
2021-01-10,59.9973
2021-01-11,58.5757
2021-01-12,60.8504
2021-01-13,62.4502
2021-01-14,61.4756
2021-01-15,61.4206
2021-01-16,61.4206
2021-01-17,61.4206
2021-01-18,61.4206
2021-01-19,61.1372
2021-01-20,59.6568
2021-01-21,58.6398
2021-01-22,55.6416
2021-01-23,55.6416
2021-01-24,55.6416
2021-01-25,50.8494
2021-01-26,51.9844
2021-01-27,47.8113
2021-01-28,47.7695
2021-01-29,45.7443
2021-01-30,45.7443
2021-01-31,45.7443
2021-02-01,49.2424
2021-02-02,53.8769
2021-02-03,54.0639
2021-02-04,57.7175
2021-02-05,59.3415
2021-02-06,59.3415
2021-02-07,59.3415
2021-02-08,59.7255
2021-02-09,59.9862
2021-02-10,59.1935
2021-02-11,61.7122
2021-02-12,59.6352
2021-02-13,59.6352
2021-02-14,59.6352
2021-02-15,59.6352
2021-02-16,58.8065
2021-02-17,57.4464
2021-02-18,54.5559
2021-02-19,54.3733
2021-02-20,54.3733
2021-02-21,54.3733
2021-02-22,57.259
2021-02-23,54.91
2021-02-24,55.9366
2021-02-25,53.3344
2021-02-26,52.3357
2021-02-27,52.3357
2021-02-28,52.3357
2021-03-01,56.9743
2021-03-02,55.3209
2021-03-03,54.7157
2021-03-04,51.1207
2021-03-05,54.3318
2021-03-06,54.3318
2021-03-07,54.3318
2021-03-08,55.8648
2021-03-09,56.1967
2021-03-10,57.3253
2021-03-11,57.5583
2021-03-12,59.765
2021-03-13,59.765
2021-03-14,59.765
2021-03-15,61.8188
2021-03-16,61.1539
2021-03-17,61.9699
2021-03-18,58.4868
2021-03-19,59.536
2021-03-20,59.536
2021-03-21,59.536
2021-03-22,56.8342
2021-03-23,52.902
2021-03-24,53.324
2021-03-25,55.3584
2021-03-26,56.6504
2021-03-27,56.6504
2021-03-28,56.6504
2021-03-29,56.048
2021-03-30,55.2236
2021-03-31,54.5249
2021-04-01,55.7202
2021-04-02,55.7202
2021-04-03,55.7202
2021-04-04,55.7202
2021-04-05,58.2324
2021-04-06,57.1751
2021-04-07,58.9517
2021-04-08,59.2159
2021-04-09,65.1353
2021-04-10,65.1353
2021-04-11,65.1353
2021-04-12,61.8142
2021-04-13,57.7655
2021-04-14,57.9417
2021-04-15,58.4795
2021-04-16,58.5405
2021-04-17,58.5405
2021-04-18,58.5405
2021-04-19,61.3018
2021-04-20,58.6371
2021-04-21,59.4027
2021-04-22,59.9628
2021-04-23,61.0742
2021-04-24,61.0742
2021-04-25,61.0742
2021-04-26,60.5707
2021-04-27,58.9706
2021-04-28,58.3781
2021-04-29,58.2848
2021-04-30,56.4662
2021-05-01,56.4662
2021-05-02,56.4662
2021-05-03,57.9287
2021-05-04,57.2185
2021-05-05,57.1219
2021-05-06,58.0379
2021-05-07,62.9505
2021-05-08,62.9505
2021-05-09,62.9505
2021-05-10,62.9505
2021-05-11,59.2396
2021-05-12,52.1945
2021-05-13,54.7436
2021-05-14,59.026
2021-05-15,59.026
2021-05-16,59.026
2021-05-17,58.5879
2021-05-18,59.326
2021-05-19,56.9822
2021-05-20,57.7853
2021-05-21,58.9025
2021-05-22,58.9025
2021-05-23,58.9025
2021-05-24,59.6581
