,CAR US Equity
,RSI_30D
2020-01-01,55.8328
2020-01-02,58.633
2020-01-03,56.3935
2020-01-04,56.3935
2020-01-05,56.3935
2020-01-06,56.9094
2020-01-07,57.3014
2020-01-08,58.8502
2020-01-09,63.2823
2020-01-10,59.6656
2020-01-11,59.6656
2020-01-12,59.6656
2020-01-13,62.2483
2020-01-14,63.7598
2020-01-15,61.5922
2020-01-16,61.6959
2020-01-17,58.7759
2020-01-18,58.7759
2020-01-19,58.7759
2020-01-20,58.7759
2020-01-21,57.6656
2020-01-22,57.2501
2020-01-23,57.3723
2020-01-24,56.1761
2020-01-25,56.1761
2020-01-26,56.1761
2020-01-27,51.6859
2020-01-28,54.3171
2020-01-29,53.7474
2020-01-30,53.1106
2020-01-31,51.4296
2020-02-01,51.4296
2020-02-02,51.4296
2020-02-03,51.5147
2020-02-04,55.6884
2020-02-05,58.2616
2020-02-06,55.4546
2020-02-07,56.1983
2020-02-08,56.1983
2020-02-09,56.1983
2020-02-10,61.4967
2020-02-11,63.807
2020-02-12,67.4617
2020-02-13,68.3322
2020-02-14,67.7695
2020-02-15,67.7695
2020-02-16,67.7695
2020-02-17,67.7695
2020-02-18,67.7924
2020-02-19,70.4854
2020-02-20,77.843
2020-02-21,71.6495
2020-02-22,71.6495
2020-02-23,71.6495
2020-02-24,63.4079
2020-02-25,56.4435
2020-02-26,50.3317
2020-02-27,45.4744
2020-02-28,45.9594
2020-02-29,45.9594
2020-03-01,45.9594
2020-03-02,45.848
2020-03-03,43.1722
2020-03-04,42.0697
2020-03-05,38.0848
2020-03-06,37.4133
2020-03-07,37.4133
2020-03-08,37.4133
2020-03-09,34.8053
2020-03-10,36.3602
2020-03-11,34.1438
2020-03-12,31.3164
2020-03-13,34.8819
2020-03-14,34.8819
2020-03-15,34.8819
2020-03-16,32.288
2020-03-17,30.9101
2020-03-18,28.3648
2020-03-19,30.9232
2020-03-20,32.6263
2020-03-21,32.6263
2020-03-22,32.6263
2020-03-23,35.6802
2020-03-24,40.8492
2020-03-25,40.3508
2020-03-26,39.737
2020-03-27,38.4317
2020-03-28,38.4317
2020-03-29,38.4317
2020-03-30,37.5732
2020-03-31,38.1021
2020-04-01,37.3216
2020-04-02,36.1612
