,TRS US Equity
,RSI_30D
2020-01-01,53.5446
2020-01-02,51.7808
2020-01-03,55.3504
2020-01-04,55.3504
2020-01-05,55.3504
2020-01-06,54.0609
2020-01-07,52.367
2020-01-08,52.5179
2020-01-09,52.1081
2020-01-10,50.5441
2020-01-11,50.5441
2020-01-12,50.5441
2020-01-13,51.5257
2020-01-14,50.2196
2020-01-15,52.3251
2020-01-16,55.2614
2020-01-17,53.5553
2020-01-18,53.5553
2020-01-19,53.5553
2020-01-20,53.5553
2020-01-21,48.1707
2020-01-22,47.4654
2020-01-23,47.227
2020-01-24,45.2855
2020-01-25,45.2855
2020-01-26,45.2855
2020-01-27,43.1184
2020-01-28,43.4772
2020-01-29,42.4795
2020-01-30,42.7062
2020-01-31,37.5072
2020-02-01,37.5072
2020-02-02,37.5072
2020-02-03,38.5691
2020-02-04,43.1381
2020-02-05,42.0266
2020-02-06,40.0377
2020-02-07,38.0391
2020-02-08,38.0391
2020-02-09,38.0391
2020-02-10,38.4723
2020-02-11,39.6367
2020-02-12,40.4384
2020-02-13,40.2373
2020-02-14,38.7911
2020-02-15,38.7911
2020-02-16,38.7911
2020-02-17,38.7911
2020-02-18,40.3214
2020-02-19,41.679
2020-02-20,46.1168
2020-02-21,47.4305
2020-02-22,47.4305
2020-02-23,47.4305
2020-02-24,42.3086
2020-02-25,39.3334
2020-02-26,39.2895
2020-02-27,29.0946
2020-02-28,31.227
2020-02-29,31.227
2020-03-01,31.227
2020-03-02,38.8383
2020-03-03,38.6486
2020-03-04,40.5019
2020-03-05,35.6009
2020-03-06,33.1565
2020-03-07,33.1565
2020-03-08,33.1565
2020-03-09,29.4133
2020-03-10,32.3089
2020-03-11,31.2562
2020-03-12,29.6948
2020-03-13,34.7926
2020-03-14,34.7926
2020-03-15,34.7926
2020-03-16,32.2315
2020-03-17,43.4889
2020-03-18,37.2451
2020-03-19,39.2806
2020-03-20,36.2406
2020-03-21,36.2406
2020-03-22,36.2406
2020-03-23,36.2689
2020-03-24,39.4968
2020-03-25,38.8476
2020-03-26,44.2766
2020-03-27,42.4734
2020-03-28,42.4734
2020-03-29,42.4734
2020-03-30,41.4401
2020-03-31,43.1903
2020-04-01,41.2161
2020-04-02,42.2829
2020-04-03,42.2276
2020-04-04,42.2276
2020-04-05,42.2276
2020-04-06,44.1669
2020-04-07,44.6413
2020-04-08,45.2992
2020-04-09,48.8541
2020-04-10,48.8541
2020-04-11,48.8541
2020-04-12,48.8541
2020-04-13,46.5343
2020-04-14,47.0356
2020-04-15,43.8369
2020-04-16,43.6232
2020-04-17,45.9282
2020-04-18,45.9282
2020-04-19,45.9282
2020-04-20,45.1682
2020-04-21,43.1326
2020-04-22,43.9271
2020-04-23,44.7005
2020-04-24,44.6793
2020-04-25,44.6793
2020-04-26,44.6793
2020-04-27,47.1238
2020-04-28,49.6692
2020-04-29,52.5116
2020-04-30,47.9203
2020-05-01,46.5244
2020-05-02,46.5244
2020-05-03,46.5244
2020-05-04,46.3191
2020-05-05,46.0042
2020-05-06,44.2608
2020-05-07,44.1577
2020-05-08,46.6749
2020-05-09,46.6749
2020-05-10,46.6749
2020-05-11,43.5268
2020-05-12,41.3984
2020-05-13,39.6609
2020-05-14,40.1166
2020-05-15,40.9577
2020-05-16,40.9577
2020-05-17,40.9577
2020-05-18,46.5903
2020-05-19,44.6514
2020-05-20,47.1343
2020-05-21,47.157
2020-05-22,47.0733
2020-05-23,47.0733
2020-05-24,47.0733
2020-05-25,47.0733
2020-05-26,48.9923
2020-05-27,50.7496
2020-05-28,50.1085
2020-05-29,50.4553
2020-05-30,50.4553
2020-05-31,50.4553
2020-06-01,49.2281
2020-06-02,50.0023
2020-06-03,51.5082
2020-06-04,52.495
2020-06-05,55.5995
2020-06-06,55.5995
2020-06-07,55.5995
2020-06-08,54.8158
2020-06-09,53.727
2020-06-10,50.8958
2020-06-11,47.9965
2020-06-12,48.6363
2020-06-13,48.6363
2020-06-14,48.6363
2020-06-15,48.565
2020-06-16,49.4092
2020-06-17,47.6442
2020-06-18,47.4252
2020-06-19,48.38
2020-06-20,48.38
2020-06-21,48.38
2020-06-22,48.7787
2020-06-23,47.7139
2020-06-24,46.0451
2020-06-25,47.7607
