,KFRC US Equity
,RSI_30D
2020-01-01,54.6193
2020-01-02,54.6193
2020-01-03,54.2223
2020-01-04,54.2223
2020-01-05,54.2223
2020-01-06,53.2217
2020-01-07,52.3554
2020-01-08,53.5584
2020-01-09,52.2949
2020-01-10,52.6386
2020-01-11,52.6386
2020-01-12,52.6386
2020-01-13,54.5475
2020-01-14,52.2629
2020-01-15,52.6104
2020-01-16,55.5896
2020-01-17,53.7353
2020-01-18,53.7353
2020-01-19,53.7353
2020-01-20,53.7353
2020-01-21,50.2662
2020-01-22,50.9591
2020-01-23,49.032
2020-01-24,45.9183
2020-01-25,45.9183
2020-01-26,45.9183
2020-01-27,45.8603
2020-01-28,45.1531
2020-01-29,43.1456
2020-01-30,43.2946
2020-01-31,38.3082
2020-02-01,38.3082
2020-02-02,38.3082
2020-02-03,38.6887
2020-02-04,40.7306
2020-02-05,31.8346
2020-02-06,30.0372
2020-02-07,27.3392
2020-02-08,27.3392
2020-02-09,27.3392
2020-02-10,28.425
2020-02-11,31.5025
2020-02-12,32.055
2020-02-13,32.3868
2020-02-14,30.9782
2020-02-15,30.9782
2020-02-16,30.9782
2020-02-17,30.9782
2020-02-18,31.3215
2020-02-19,30.9552
2020-02-20,32.4826
2020-02-21,31.5099
2020-02-22,31.5099
2020-02-23,31.5099
2020-02-24,29.1441
2020-02-25,25.2032
2020-02-26,23.9757
2020-02-27,23.183
2020-02-28,22.9763
2020-02-29,22.9763
2020-03-01,22.9763
2020-03-02,23.8198
2020-03-03,24.8835
2020-03-04,35.6107
2020-03-05,35.0386
2020-03-06,38.482
2020-03-07,38.482
2020-03-08,38.482
2020-03-09,28.6416
2020-03-10,31.9629
2020-03-11,31.4916
2020-03-12,26.1358
2020-03-13,31.3719
2020-03-14,31.3719
2020-03-15,31.3719
2020-03-16,24.5686
2020-03-17,28.1976
2020-03-18,26.3136
2020-03-19,35.2627
2020-03-20,34.3676
2020-03-21,34.3676
2020-03-22,34.3676
2020-03-23,33.6273
2020-03-24,37.8315
