,EBSB US Equity
,RSI_30D
2020-01-01,59.2781
2020-01-02,56.7045
2020-01-03,55.5269
2020-01-04,55.5269
2020-01-05,55.5269
2020-01-06,52.9187
2020-01-07,50.6469
2020-01-08,51.1292
2020-01-09,50.116
2020-01-10,48.742
2020-01-11,48.742
2020-01-12,48.742
2020-01-13,51.2555
2020-01-14,50.6137
2020-01-15,49.9663
2020-01-16,52.8367
2020-01-17,50.9946
2020-01-18,50.9946
2020-01-19,50.9946
2020-01-20,50.9946
2020-01-21,47.3361
2020-01-22,47.9796
2020-01-23,48.8841
2020-01-24,48.0203
2020-01-25,48.0203
2020-01-26,48.0203
2020-01-27,48.5577
2020-01-28,49.8971
2020-01-29,37.4042
2020-01-30,39.5507
2020-01-31,37.075
2020-02-01,37.075
2020-02-02,37.075
2020-02-03,39.9894
2020-02-04,38.0162
2020-02-05,39.2681
2020-02-06,39.2291
2020-02-07,37.9039
2020-02-08,37.9039
2020-02-09,37.9039
2020-02-10,37.4802
2020-02-11,39.268
2020-02-12,40.4014
2020-02-13,43.1454
2020-02-14,41.1423
2020-02-15,41.1423
2020-02-16,41.1423
2020-02-17,41.1423
2020-02-18,40.7593
2020-02-19,41.6951
2020-02-20,41.6951
2020-02-21,39.5553
2020-02-22,39.5553
2020-02-23,39.5553
2020-02-24,37.9598
2020-02-25,34.6845
2020-02-26,34.8198
2020-02-27,31.6337
2020-02-28,30.0023
2020-02-29,30.0023
2020-03-01,30.0023
2020-03-02,38.1859
2020-03-03,34.1759
2020-03-04,36.2018
2020-03-05,34.3594
2020-03-06,33.2648
2020-03-07,33.2648
2020-03-08,33.2648
2020-03-09,26.4279
2020-03-10,29.3002
2020-03-11,26.3873
2020-03-12,22.6149
2020-03-13,28.4249
2020-03-14,28.4249
2020-03-15,28.4249
2020-03-16,23.8349
2020-03-17,31.143
2020-03-18,25.5507
2020-03-19,29.0048
2020-03-20,26.6769
2020-03-21,26.6769
2020-03-22,26.6769
2020-03-23,26.64
2020-03-24,29.6567
2020-03-25,32.2968
2020-03-26,36.6356
2020-03-27,35.1463
2020-03-28,35.1463
2020-03-29,35.1463
2020-03-30,35.4963
2020-03-31,35.3729
2020-04-01,33.3796
2020-04-02,33.2628
2020-04-03,32.4179
2020-04-04,32.4179
2020-04-05,32.4179
2020-04-06,34.0545
2020-04-07,34.0545
2020-04-08,37.1675
2020-04-09,41.3532
2020-04-10,41.3532
2020-04-11,41.3532
