,STX US Equity
,RSI_30D
2020-01-01,58.8353
2020-01-02,61.5928
2020-01-03,55.4798
2020-01-04,55.4798
2020-01-05,55.4798
2020-01-06,53.0806
2020-01-07,55.0897
2020-01-08,56.3601
2020-01-09,59.1898
2020-01-10,57.4916
2020-01-11,57.4916
2020-01-12,57.4916
2020-01-13,59.9903
2020-01-14,59.2413
2020-01-15,58.2736
2020-01-16,60.7775
2020-01-17,59.1574
2020-01-18,59.1574
2020-01-19,59.1574
2020-01-20,59.1574
2020-01-21,59.0488
2020-01-22,59.5606
2020-01-23,63.1568
2020-01-24,64.1824
2020-01-25,64.1824
2020-01-26,64.1824
2020-01-27,55.4802
2020-01-28,58.4404
2020-01-29,50.5271
2020-01-30,49.0644
2020-01-31,46.0233
2020-02-01,46.0233
2020-02-02,46.0233
2020-02-03,48.3122
2020-02-04,50.6141
2020-02-05,42.4791
2020-02-06,43.4329
2020-02-07,41.6708
2020-02-08,41.6708
2020-02-09,41.6708
2020-02-10,43.5484
2020-02-11,45.3046
2020-02-12,46.3073
2020-02-13,45.5356
2020-02-14,42.3866
2020-02-15,42.3866
2020-02-16,42.3866
2020-02-17,42.3866
2020-02-18,42.8609
2020-02-19,42.4307
2020-02-20,44.2818
2020-02-21,43.0121
2020-02-22,43.0121
2020-02-23,43.0121
2020-02-24,39.6952
2020-02-25,37.2859
2020-02-26,38.8502
2020-02-27,35.116
2020-02-28,34.5975
2020-02-29,34.5975
2020-03-01,34.5975
2020-03-02,40.0067
2020-03-03,39.7816
2020-03-04,42.36
2020-03-05,40.6474
2020-03-06,39.231
2020-03-07,39.231
2020-03-08,39.231
2020-03-09,34.3837
2020-03-10,39.4578
2020-03-11,36.556
2020-03-12,35.731
2020-03-13,43.1801
2020-03-14,43.1801
2020-03-15,43.1801
2020-03-16,35.4544
2020-03-17,41.1721
2020-03-18,39.3106
2020-03-19,39.0317
2020-03-20,37.4252
2020-03-21,37.4252
2020-03-22,37.4252
2020-03-23,37.4942
2020-03-24,41.0931
2020-03-25,42.4489
2020-03-26,46.5881
2020-03-27,46.5881
2020-03-28,46.5881
2020-03-29,46.5881
2020-03-30,48.7601
2020-03-31,47.6317
2020-04-01,46.6506
2020-04-02,46.3563
2020-04-03,44.4703
2020-04-04,44.4703
2020-04-05,44.4703
2020-04-06,47.9377
2020-04-07,48.435
2020-04-08,50.6575
2020-04-09,50.9032
2020-04-10,50.9032
2020-04-11,50.9032
2020-04-12,50.9032
2020-04-13,50.5011
2020-04-14,51.112
2020-04-15,49.6492
2020-04-16,50.1412
2020-04-17,51.1778
2020-04-18,51.1778
2020-04-19,51.1778
2020-04-20,50.3464
2020-04-21,48.9622
2020-04-22,50.2659
2020-04-23,46.7456
2020-04-24,47.7289
2020-04-25,47.7289
2020-04-26,47.7289
2020-04-27,48.263
2020-04-28,48.2121
2020-04-29,50.9832
2020-04-30,49.5135
2020-05-01,46.7029
2020-05-02,46.7029
2020-05-03,46.7029
2020-05-04,45.1924
2020-05-05,45.6418
2020-05-06,46.7458
2020-05-07,48.4343
2020-05-08,51.534
2020-05-09,51.534
2020-05-10,51.534
2020-05-11,49.9414
2020-05-12,48.3443
2020-05-13,46.8567
2020-05-14,47.7512
2020-05-15,47.3646
2020-05-16,47.3646
2020-05-17,47.3646
2020-05-18,49.6286
2020-05-19,50.7049
2020-05-20,52.918
2020-05-21,52.0687
2020-05-22,51.6329
2020-05-23,51.6329
2020-05-24,51.6329
2020-05-25,51.6329
2020-05-26,51.9656
2020-05-27,53.0924
2020-05-28,52.0783
2020-05-29,54.4068
2020-05-30,54.4068
2020-05-31,54.4068
2020-06-01,52.9879
2020-06-02,53.7477
2020-06-03,54.35
