,ZTS US Equity
,RSI_30D
2020-01-01,57.5739
2020-01-02,59.918
2020-01-03,59.9436
2020-01-04,59.9436
2020-01-05,59.9436
2020-01-06,57.9724
2020-01-07,58.5879
2020-01-08,58.0214
2020-01-09,60.4366
2020-01-10,61.1037
2020-01-11,61.1037
2020-01-12,61.1037
2020-01-13,62.3151
2020-01-14,63.2719
2020-01-15,64.8161
2020-01-16,65.8696
2020-01-17,66.9172
2020-01-18,66.9172
2020-01-19,66.9172
2020-01-20,66.9172
2020-01-21,68.8216
2020-01-22,67.8402
2020-01-23,61.2045
2020-01-24,57.4689
2020-01-25,57.4689
2020-01-26,57.4689
2020-01-27,56.8501
2020-01-28,59.7935
2020-01-29,60.0995
2020-01-30,59.2044
2020-01-31,52.738
2020-02-01,52.738
2020-02-02,52.738
2020-02-03,54.501
2020-02-04,58.6983
2020-02-05,56.9956
2020-02-06,58.2484
2020-02-07,58.1349
2020-02-08,58.1349
2020-02-09,58.1349
2020-02-10,62.1186
2020-02-11,63.5726
2020-02-12,61.8308
2020-02-13,63.7487
2020-02-14,62.473
2020-02-15,62.473
2020-02-16,62.473
2020-02-17,62.473
2020-02-18,61.6116
2020-02-19,62.0385
2020-02-20,61.1632
2020-02-21,58.9369
2020-02-22,58.9369
2020-02-23,58.9369
2020-02-24,53.1181
2020-02-25,48.5117
2020-02-26,50.1769
2020-02-27,47.5457
2020-02-28,46.7164
2020-02-29,46.7164
2020-03-01,46.7164
2020-03-02,53.3563
2020-03-03,51.4079
2020-03-04,57.5363
2020-03-05,53.1255
2020-03-06,50.6426
2020-03-07,50.6426
2020-03-08,50.6426
2020-03-09,44.3769
2020-03-10,47.1456
2020-03-11,45.243
2020-03-12,38.6618
2020-03-13,43.1173
2020-03-14,43.1173
2020-03-15,43.1173
2020-03-16,34.0453
2020-03-17,37.026
2020-03-18,34.8981
2020-03-19,33.5664
2020-03-20,33.0469
2020-03-21,33.0469
2020-03-22,33.0469
2020-03-23,30.1692
2020-03-24,37.6934
2020-03-25,40.3585
2020-03-26,45.6051
2020-03-27,43.1212
2020-03-28,43.1212
2020-03-29,43.1212
2020-03-30,45.5735
2020-03-31,46.0683
2020-04-01,43.7194
2020-04-02,45.7573
2020-04-03,45.1727
2020-04-04,45.1727
2020-04-05,45.1727
2020-04-06,50.7557
2020-04-07,50.4589
2020-04-08,50.9562
2020-04-09,51.6173
2020-04-10,51.6173
2020-04-11,51.6173
2020-04-12,51.6173
2020-04-13,48.9766
2020-04-14,51.1475
2020-04-15,49.3587
2020-04-16,51.057
2020-04-17,52.4615
2020-04-18,52.4615
2020-04-19,52.4615
2020-04-20,50.9221
2020-04-21,49.7033
2020-04-22,50.212
2020-04-23,49.2056
2020-04-24,50.2839
2020-04-25,50.2839
2020-04-26,50.2839
2020-04-27,50.9998
2020-04-28,48.8691
2020-04-29,50.113
2020-04-30,51.8979
2020-05-01,51.0042
2020-05-02,51.0042
2020-05-03,51.0042
2020-05-04,50.9583
2020-05-05,52.8412
2020-05-06,49.9574
2020-05-07,49.2389
2020-05-08,49.8716
2020-05-09,49.8716
2020-05-10,49.8716
2020-05-11,50.3504
2020-05-12,49.0954
2020-05-13,48.5796
2020-05-14,50.2352
2020-05-15,51.0291
2020-05-16,51.0291
2020-05-17,51.0291
2020-05-18,53.1118
2020-05-19,54.596
2020-05-20,53.9905
2020-05-21,52.1883
2020-05-22,52.057
2020-05-23,52.057
2020-05-24,52.057
2020-05-25,52.057
2020-05-26,52.2492
2020-05-27,55.0918
2020-05-28,56.3706
2020-05-29,57.0266
2020-05-30,57.0266
2020-05-31,57.0266
2020-06-01,56.3081
2020-06-02,57.9471
2020-06-03,58.4858
2020-06-04,57.0389
2020-06-05,57.3052
2020-06-06,57.3052
2020-06-07,57.3052
2020-06-08,57.4667
2020-06-09,55.5918
2020-06-10,56.2474
2020-06-11,50.1415
2020-06-12,51.9758
2020-06-13,51.9758
2020-06-14,51.9758
2020-06-15,51.4746
2020-06-16,53.2548
2020-06-17,53.5844
2020-06-18,53.9568
2020-06-19,53.9568
2020-06-20,53.9568
2020-06-21,53.9568
2020-06-22,53.6097
2020-06-23,54.3819
2020-06-24,51.4944
2020-06-25,52.1905
2020-06-26,50.2337
2020-06-27,50.2337
2020-06-28,50.2337
2020-06-29,49.7387
2020-06-30,53.2826
2020-07-01,53.3834
2020-07-02,53.7072
2020-07-03,53.7072
2020-07-04,53.7072
2020-07-05,53.7072
2020-07-06,54.3629
2020-07-07,54.2277
2020-07-08,54.4985
2020-07-09,53.4984
2020-07-10,52.9822
2020-07-11,52.9822
2020-07-12,52.9822
2020-07-13,53.9414
2020-07-14,55.5613
2020-07-15,57.4288
2020-07-16,57.59
2020-07-17,58.8501
2020-07-18,58.8501
2020-07-19,58.8501
2020-07-20,59.7914
2020-07-21,58.7722
2020-07-22,58.8478
2020-07-23,57.7095
2020-07-24,57.8312
2020-07-25,57.8312
2020-07-26,57.8312
2020-07-27,59.976
2020-07-28,58.8971
2020-07-29,60.1667
2020-07-30,61.3332
2020-07-31,63.2172
2020-08-01,63.2172
2020-08-02,63.2172
2020-08-03,65.1515
2020-08-04,65.8924
2020-08-05,67.2194
2020-08-06,69.3597
2020-08-07,66.3196
2020-08-08,66.3196
2020-08-09,66.3196
2020-08-10,65.3639
2020-08-11,63.9638
2020-08-12,65.5624
2020-08-13,64.9613
2020-08-14,62.7507
2020-08-15,62.7507
2020-08-16,62.7507
2020-08-17,63.0154
2020-08-18,64.9313
2020-08-19,62.9799
2020-08-20,62.9307
2020-08-21,62.7152
2020-08-22,62.7152
2020-08-23,62.7152
2020-08-24,60.6795
2020-08-25,62.1174
2020-08-26,63.0244
2020-08-27,62.8266
2020-08-28,63.1377
2020-08-29,63.1377
2020-08-30,63.1377
2020-08-31,63.2194
2020-09-01,64.7928
2020-09-02,67.2319
2020-09-03,58.837
2020-09-04,57.0758
2020-09-05,57.0758
2020-09-06,57.0758
2020-09-07,57.0758
2020-09-08,53.1411
2020-09-09,57.5263
2020-09-10,56.7029
2020-09-11,57.0872
2020-09-12,57.0872
2020-09-13,57.0872
2020-09-14,58.8385
2020-09-15,59.8976
2020-09-16,58.7631
2020-09-17,57.9039
2020-09-18,58.2279
2020-09-19,58.2279
2020-09-20,58.2279
2020-09-21,58.3109
2020-09-22,58.7685
2020-09-23,56.1927
2020-09-24,54.658
2020-09-25,57.2186
2020-09-26,57.2186
2020-09-27,57.2186
2020-09-28,57.634
2020-09-29,58.6381
2020-09-30,61.019
2020-10-01,59.3795
2020-10-02,58.7941
2020-10-03,58.7941
2020-10-04,58.7941
2020-10-05,58.6695
2020-10-06,56.2869
2020-10-07,54.381
2020-10-08,57.4022
2020-10-09,59.3336
2020-10-10,59.3336
2020-10-11,59.3336
2020-10-12,61.8068
2020-10-13,58.0274
2020-10-14,56.2004
2020-10-15,55.4711
2020-10-16,55.9652
2020-10-17,55.9652
2020-10-18,55.9652
2020-10-19,52.1594
2020-10-20,52.0564
2020-10-21,53.4725
2020-10-22,54.59
2020-10-23,55.6102
2020-10-24,55.6102
2020-10-25,55.6102
2020-10-26,52.3133
2020-10-27,54.1715
2020-10-28,50.3186
2020-10-29,52.624
2020-10-30,50.0851
2020-10-31,50.0851
2020-11-01,50.0851
2020-11-02,53.87
2020-11-03,54.0775
2020-11-04,62.0054
2020-11-05,58.775
2020-11-06,57.298
2020-11-07,57.298
2020-11-08,57.298
2020-11-09,53.8614
2020-11-10,51.7676
