,SPR US Equity
,RSI_30D
2020-01-01,39.9369
2020-01-02,42.8476
2020-01-03,42.3985
2020-01-04,42.3985
2020-01-05,42.3985
2020-01-06,42.1094
2020-01-07,44.5195
2020-01-08,42.9084
2020-01-09,41.1418
2020-01-10,36.9818
2020-01-11,36.9818
2020-01-12,36.9818
2020-01-13,34.7028
2020-01-14,35.1503
2020-01-15,33.8917
2020-01-16,36.2944
2020-01-17,35.4727
2020-01-18,35.4727
2020-01-19,35.4727
2020-01-20,35.4727
2020-01-21,32.6268
2020-01-22,35.0393
2020-01-23,38.674
2020-01-24,43.5242
2020-01-25,43.5242
2020-01-26,43.5242
2020-01-27,41.6398
2020-01-28,40.8404
2020-01-29,40.0686
2020-01-30,37.1629
2020-01-31,37.6017
2020-02-01,37.6017
2020-02-02,37.6017
2020-02-03,36.0915
2020-02-04,38.9911
2020-02-05,41.7097
2020-02-06,46.3579
2020-02-07,45.3749
2020-02-08,45.3749
2020-02-09,45.3749
2020-02-10,45.5891
2020-02-11,44.468
2020-02-12,45.1576
2020-02-13,45.0902
2020-02-14,43.7012
2020-02-15,43.7012
2020-02-16,43.7012
2020-02-17,43.7012
2020-02-18,41.999
2020-02-19,40.7579
2020-02-20,40.0407
2020-02-21,40.7106
2020-02-22,40.7106
2020-02-23,40.7106
2020-02-24,37.3311
2020-02-25,33.8754
2020-02-26,33.6924
2020-02-27,30.9689
2020-02-28,28.4251
2020-02-29,28.4251
2020-03-01,28.4251
2020-03-02,28.6902
2020-03-03,26.6616
2020-03-04,28.229
2020-03-05,24.6105
2020-03-06,27.8349
2020-03-07,27.8349
2020-03-08,27.8349
2020-03-09,24.7551
2020-03-10,27.8652
2020-03-11,25.1619
2020-03-12,22.6748
2020-03-13,25.082
2020-03-14,25.082
2020-03-15,25.082
2020-03-16,21.5682
2020-03-17,20.5864
2020-03-18,18.9529
2020-03-19,19.3111
2020-03-20,19.2076
2020-03-21,19.2076
2020-03-22,19.2076
2020-03-23,22.3644
2020-03-24,27.6567
2020-03-25,34.4531
2020-03-26,38.9234
2020-03-27,35.2657
