,AX US Equity
,RSI_30D
2020-01-01,54.7946
2020-01-02,52.9778
2020-01-03,52.0115
2020-01-04,52.0115
2020-01-05,52.0115
2020-01-06,50.12
2020-01-07,46.7387
2020-01-08,47.9732
2020-01-09,49.3311
2020-01-10,49.7595
2020-01-11,49.7595
2020-01-12,49.7595
2020-01-13,48.6254
2020-01-14,51.5524
2020-01-15,51.4784
2020-01-16,54.8942
2020-01-17,55.7163
2020-01-18,55.7163
2020-01-19,55.7163
2020-01-20,55.7163
2020-01-21,52.7336
2020-01-22,54.1655
2020-01-23,48.6867
2020-01-24,42.7921
2020-01-25,42.7921
2020-01-26,42.7921
2020-01-27,40.4076
2020-01-28,41.3732
2020-01-29,36.5972
2020-01-30,45.1329
2020-01-31,44.0106
2020-02-01,44.0106
2020-02-02,44.0106
2020-02-03,42.742
2020-02-04,45.5045
2020-02-05,46.9074
2020-02-06,47.6815
2020-02-07,46.4667
2020-02-08,46.4667
2020-02-09,46.4667
2020-02-10,46.4667
2020-02-11,45.9369
2020-02-12,48.0001
2020-02-13,50.4833
2020-02-14,50.6907
2020-02-15,50.6907
2020-02-16,50.6907
2020-02-17,50.6907
2020-02-18,46.2351
2020-02-19,45.8602
2020-02-20,46.9176
2020-02-21,44.7297
2020-02-22,44.7297
2020-02-23,44.7297
2020-02-24,39.9908
2020-02-25,36.6495
2020-02-26,35.8581
2020-02-27,32.9453
2020-02-28,33.5332
2020-02-29,33.5332
2020-03-01,33.5332
2020-03-02,39.1619
2020-03-03,32.6085
2020-03-04,34.404
2020-03-05,32.9321
2020-03-06,30.1927
2020-03-07,30.1927
2020-03-08,30.1927
2020-03-09,25.2324
2020-03-10,30.7214
2020-03-11,27.3589
2020-03-12,25.3421
2020-03-13,31.9584
2020-03-14,31.9584
2020-03-15,31.9584
2020-03-16,27.7187
2020-03-17,30.9759
2020-03-18,28.5576
2020-03-19,32.883
2020-03-20,31.7624
2020-03-21,31.7624
2020-03-22,31.7624
2020-03-23,30.5989
2020-03-24,36.7418
2020-03-25,37.1163
2020-03-26,40.3363
2020-03-27,39.6804
2020-03-28,39.6804
2020-03-29,39.6804
2020-03-30,40.2515
2020-03-31,39.7839
2020-04-01,37.2754
2020-04-02,37.7827
2020-04-03,35.2546
2020-04-04,35.2546
2020-04-05,35.2546
2020-04-06,41.2834
2020-04-07,41.6622
2020-04-08,43.3225
2020-04-09,46.978
2020-04-10,46.978
2020-04-11,46.978
2020-04-12,46.978
2020-04-13,43.4086
2020-04-14,43.5448
2020-04-15,41.8475
2020-04-16,41.1346
2020-04-17,43.764
2020-04-18,43.764
2020-04-19,43.764
2020-04-20,43.2262
2020-04-21,42.7757
2020-04-22,42.6488
2020-04-23,42.9333
2020-04-24,43.7985
2020-04-25,43.7985
2020-04-26,43.7985
2020-04-27,46.6519
2020-04-28,48.6199
2020-04-29,51.7521
2020-04-30,54.3516
2020-05-01,52.2035
2020-05-02,52.2035
2020-05-03,52.2035
2020-05-04,51.8949
2020-05-05,50.1506
2020-05-06,48.7353
2020-05-07,49.4346
2020-05-08,52.3658
2020-05-09,52.3658
2020-05-10,52.3658
2020-05-11,49.8704
2020-05-12,47.3915
2020-05-13,46.1121
2020-05-14,46.8445
2020-05-15,46.4912
2020-05-16,46.4912
2020-05-17,46.4912
2020-05-18,50.7912
2020-05-19,48.3337
2020-05-20,49.297
2020-05-21,50.1475
2020-05-22,49.5124
2020-05-23,49.5124
2020-05-24,49.5124
2020-05-25,49.5124
2020-05-26,52.8719
2020-05-27,55.5356
2020-05-28,52.378
2020-05-29,51.8635
2020-05-30,51.8635
2020-05-31,51.8635
2020-06-01,51.6759
2020-06-02,51.3876
2020-06-03,53.6017
2020-06-04,55.528
2020-06-05,57.4517
2020-06-06,57.4517
2020-06-07,57.4517
2020-06-08,57.6412
2020-06-09,57.1148
2020-06-10,53.6711
2020-06-11,49.4164
2020-06-12,50.0355
2020-06-13,50.0355
2020-06-14,50.0355
2020-06-15,50.4599
2020-06-16,52.2476
2020-06-17,50.6463
2020-06-18,49.9782
2020-06-19,49.0599
2020-06-20,49.0599
2020-06-21,49.0599
2020-06-22,49.6776
2020-06-23,49.1998
2020-06-24,47.3355
2020-06-25,47.638
2020-06-26,46.59
2020-06-27,46.59
2020-06-28,46.59
2020-06-29,50.3427
2020-06-30,51.4847
2020-07-01,49.0095
2020-07-02,49.5897
2020-07-03,49.5897
2020-07-04,49.5897
2020-07-05,49.5897
2020-07-06,48.9518
2020-07-07,47.5833
2020-07-08,47.2164
2020-07-09,46.3135
2020-07-10,47.7466
2020-07-11,47.7466
2020-07-12,47.7466
2020-07-13,47.6818
2020-07-14,46.8062
2020-07-15,50.8879
2020-07-16,50.3173
2020-07-17,48.9103
2020-07-18,48.9103
2020-07-19,48.9103
2020-07-20,47.8827
2020-07-21,50.3908
2020-07-22,48.8234
2020-07-23,50.1485
2020-07-24,49.246
2020-07-25,49.246
2020-07-26,49.246
2020-07-27,49.1521
2020-07-28,48.8153
2020-07-29,50.4949
2020-07-30,53.7083
2020-07-31,53.2904
2020-08-01,53.2904
2020-08-02,53.2904
2020-08-03,52.498
2020-08-04,52.6679
2020-08-05,54.6568
2020-08-06,55.5872
2020-08-07,57.1121
2020-08-08,57.1121
2020-08-09,57.1121
2020-08-10,58.5831
2020-08-11,59.8998
