,CLX US Equity
,RSI_30D
2020-01-01,56.3318
2020-01-02,54.3719
2020-01-03,54.8956
2020-01-04,54.8956
2020-01-05,54.8956
2020-01-06,55.702
2020-01-07,51.8454
2020-01-08,52.67
2020-01-09,54.1675
2020-01-10,55.6877
2020-01-11,55.6877
2020-01-12,55.6877
2020-01-13,59.7082
2020-01-14,59.7828
2020-01-15,60.4196
2020-01-16,61.1171
2020-01-17,61.9761
2020-01-18,61.9761
2020-01-19,61.9761
2020-01-20,61.9761
2020-01-21,63.9971
2020-01-22,64.7312
2020-01-23,63.32
2020-01-24,61.3675
2020-01-25,61.3675
2020-01-26,61.3675
2020-01-27,63.8216
2020-01-28,57.4227
2020-01-29,55.668
2020-01-30,56.7025
2020-01-31,58.9148
2020-02-01,58.9148
2020-02-02,58.9148
2020-02-03,55.9183
2020-02-04,65.52
2020-02-05,67.1561
2020-02-06,66.6426
2020-02-07,67.739
2020-02-08,67.739
2020-02-09,67.739
2020-02-10,69.0368
2020-02-11,63.6637
2020-02-12,62.7406
2020-02-13,63.3015
2020-02-14,63.3648
2020-02-15,63.3648
2020-02-16,63.3648
2020-02-17,63.3648
2020-02-18,63.346
2020-02-19,63.3685
2020-02-20,62.0449
2020-02-21,62.6116
2020-02-22,62.6116
2020-02-23,62.6116
2020-02-24,65.5028
2020-02-25,66.2025
2020-02-26,66.3949
2020-02-27,67.1154
2020-02-28,51.3422
2020-02-29,51.3422
2020-03-01,51.3422
2020-03-02,63.4107
2020-03-03,58.4769
2020-03-04,61.9196
2020-03-05,64.1232
2020-03-06,61.2704
2020-03-07,61.2704
2020-03-08,61.2704
2020-03-09,62.3671
2020-03-10,62.4342
2020-03-11,56.5891
2020-03-12,47.7526
2020-03-13,54.0452
2020-03-14,54.0452
2020-03-15,54.0452
2020-03-16,58.0343
2020-03-17,67.7418
2020-03-18,63.2208
2020-03-19,63.5225
2020-03-20,55.3822
2020-03-21,55.3822
2020-03-22,55.3822
2020-03-23,51.9081
2020-03-24,51.0772
2020-03-25,49.8702
2020-03-26,53.0824
2020-03-27,53.1158
2020-03-28,53.1158
2020-03-29,53.1158
2020-03-30,53.6656
2020-03-31,53.0519
2020-04-01,53.68
2020-04-02,55.8634
2020-04-03,54.7198
2020-04-04,54.7198
2020-04-05,54.7198
2020-04-06,56.3626
2020-04-07,56.4137
2020-04-08,56.1529
2020-04-09,57.5522
2020-04-10,57.5522
2020-04-11,57.5522
2020-04-12,57.5522
2020-04-13,58.1019
2020-04-14,61.7244
2020-04-15,62.2067
2020-04-16,62.5336
2020-04-17,60.6254
2020-04-18,60.6254
2020-04-19,60.6254
2020-04-20,59.9482
2020-04-21,59.56
2020-04-22,60.0769
2020-04-23,58.7313
2020-04-24,59.0757
2020-04-25,59.0757
2020-04-26,59.0757
2020-04-27,57.9787
2020-04-28,56.5462
2020-04-29,54.557
2020-04-30,55.8954
2020-05-01,59.0148
2020-05-02,59.0148
2020-05-03,59.0148
2020-05-04,61.9291
2020-05-05,63.6453
2020-05-06,61.146
2020-05-07,62.0648
2020-05-08,62.9143
2020-05-09,62.9143
2020-05-10,62.9143
2020-05-11,63.634
2020-05-12,63.5398
2020-05-13,63.9896
2020-05-14,63.5839
2020-05-15,65.1453
2020-05-16,65.1453
2020-05-17,65.1453
2020-05-18,60.7672
2020-05-19,59.2061
2020-05-20,60.3955
2020-05-21,57.0885
2020-05-22,56.5524
2020-05-23,56.5524
2020-05-24,56.5524
2020-05-25,56.5524
2020-05-26,55.5792
2020-05-27,57.0811
2020-05-28,59.5276
2020-05-29,60.1389
2020-05-30,60.1389
2020-05-31,60.1389
2020-06-01,58.6887
2020-06-02,59.938
2020-06-03,59.3626
2020-06-04,58.1065
2020-06-05,53.5535
2020-06-06,53.5535
2020-06-07,53.5535
2020-06-08,54.2146
2020-06-09,56.0161
2020-06-10,58.674
2020-06-11,57.0577
2020-06-12,57.1556
2020-06-13,57.1556
2020-06-14,57.1556
2020-06-15,58.6489
2020-06-16,59.0045
2020-06-17,60.6401
2020-06-18,61.886
2020-06-19,63.3012
2020-06-20,63.3012
2020-06-21,63.3012
2020-06-22,62.7167
2020-06-23,59.991
2020-06-24,58.9741
2020-06-25,60.4585
2020-06-26,60.6521
2020-06-27,60.6521
2020-06-28,60.6521
2020-06-29,61.8128
2020-06-30,62.7063
2020-07-01,62.8069
2020-07-02,64.1039
2020-07-03,64.1039
2020-07-04,64.1039
2020-07-05,64.1039
2020-07-06,63.4499
2020-07-07,64.6547
2020-07-08,65.5205
2020-07-09,67.367
2020-07-10,67.4861
2020-07-11,67.4861
2020-07-12,67.4861
2020-07-13,63.7619
2020-07-14,66.0654
2020-07-15,61.7977
2020-07-16,62.9852
2020-07-17,63.2159
2020-07-18,63.2159
2020-07-19,63.2159
2020-07-20,62.6658
2020-07-21,61.7879
2020-07-22,62.2323
2020-07-23,62.3923
2020-07-24,61.647
2020-07-25,61.647
2020-07-26,61.647
2020-07-27,62.8964
2020-07-28,63.1482
2020-07-29,64.5349
2020-07-30,64.6808
2020-07-31,67.4758
2020-08-01,67.4758
2020-08-02,67.4758
2020-08-03,63.0056
2020-08-04,65.9684
2020-08-05,65.4245
2020-08-06,64.467
2020-08-07,65.1667
2020-08-08,65.1667
2020-08-09,65.1667
2020-08-10,61.3169
2020-08-11,52.6934
2020-08-12,55.4203
2020-08-13,53.866
2020-08-14,53.5553
2020-08-15,53.5553
2020-08-16,53.5553
2020-08-17,55.063
2020-08-18,55.8771
2020-08-19,55.7044
2020-08-20,55.925
2020-08-21,54.3914
2020-08-22,54.3914
2020-08-23,54.3914
2020-08-24,51.9955
2020-08-25,49.22
2020-08-26,50.0009
2020-08-27,50.2834
2020-08-28,47.7973
2020-08-29,47.7973
2020-08-30,47.7973
2020-08-31,52.1742
2020-09-01,49.8591
2020-09-02,52.2073
2020-09-03,47.7575
2020-09-04,45.3644
2020-09-05,45.3644
2020-09-06,45.3644
2020-09-07,45.3644
2020-09-08,45.6861
2020-09-09,50.1181
2020-09-10,47.252
2020-09-11,46.719
2020-09-12,46.719
2020-09-13,46.719
2020-09-14,48.848
2020-09-15,44.6499
2020-09-16,43.5479
2020-09-17,43.3011
2020-09-18,44.1523
2020-09-19,44.1523
2020-09-20,44.1523
2020-09-21,44.4047
2020-09-22,46.9189
2020-09-23,46.8335
2020-09-24,47.79
2020-09-25,46.4979
2020-09-26,46.4979
2020-09-27,46.4979
2020-09-28,46.8118
2020-09-29,45.8677
2020-09-30,45.721
2020-10-01,46.8067
2020-10-02,45.2687
2020-10-03,45.2687
2020-10-04,45.2687
2020-10-05,45.1992
2020-10-06,46.7681
2020-10-07,49.676
2020-10-08,48.1249
2020-10-09,49.5114
2020-10-10,49.5114
2020-10-11,49.5114
2020-10-12,49.9631
2020-10-13,53.8599
2020-10-14,52.2209
2020-10-15,51.8132
2020-10-16,49.4045
2020-10-17,49.4045
2020-10-18,49.4045
2020-10-19,47.7141
2020-10-20,46.4657
2020-10-21,47.0271
2020-10-22,45.9559
2020-10-23,47.039
2020-10-24,47.039
2020-10-25,47.039
2020-10-26,48.2745
2020-10-27,49.3884
2020-10-28,46.3278
2020-10-29,45.5469
2020-10-30,44.5473
2020-10-31,44.5473
2020-11-01,44.5473
2020-11-02,51.1299
2020-11-03,49.2801
2020-11-04,49.7659
2020-11-05,49.7947
2020-11-06,53.329
2020-11-07,53.329
2020-11-08,53.329
2020-11-09,40.0715
2020-11-10,42.1332
2020-11-11,44.8656
2020-11-12,47.6895
2020-11-13,47.6129
2020-11-14,47.6129
2020-11-15,47.6129
2020-11-16,47.7807
2020-11-17,48.6199
2020-11-18,46.3974
2020-11-19,45.0981
2020-11-20,45.4632
2020-11-21,45.4632
2020-11-22,45.4632
2020-11-23,45.0677
2020-11-24,43.5989
2020-11-25,44.4175
2020-11-26,44.4175
2020-11-27,45.9858
2020-11-28,45.9858
2020-11-29,45.9858
2020-11-30,45.9113
2020-12-01,46.085
2020-12-02,45.1846
2020-12-03,44.8942
2020-12-04,44.1303
2020-12-05,44.1303
2020-12-06,44.1303
2020-12-07,44.6216
2020-12-08,46.3793
2020-12-09,44.8421
2020-12-10,44.9138
2020-12-11,45.8287
2020-12-12,45.8287
2020-12-13,45.8287
2020-12-14,46.3589
2020-12-15,46.9047
2020-12-16,47.2413
2020-12-17,46.4044
2020-12-18,47.1354
2020-12-19,47.1354
2020-12-20,47.1354
2020-12-21,46.5655
2020-12-22,45.7235
2020-12-23,46.6091
2020-12-24,47.9822
2020-12-25,47.9822
2020-12-26,47.9822
2020-12-27,47.9822
2020-12-28,46.6729
2020-12-29,46.2601
2020-12-30,45.6464
2020-12-31,46.5431
2021-01-01,46.5431
2021-01-02,46.5431
2021-01-03,46.5431
2021-01-04,45.2445
2021-01-05,44.8683
2021-01-06,42.6498
2021-01-07,41.8431
2021-01-08,43.4355
2021-01-09,43.4355
2021-01-10,43.4355
2021-01-11,40.1228
2021-01-12,40.7033
2021-01-13,40.307
2021-01-14,42.4071
2021-01-15,44.6015
2021-01-16,44.6015
2021-01-17,44.6015
2021-01-18,44.6015
2021-01-19,43.718
2021-01-20,44.1936
2021-01-21,44.5169
2021-01-22,50.0159
2021-01-23,50.0159
2021-01-24,50.0159
2021-01-25,58.0562
2021-01-26,59.5625
2021-01-27,65.1263
2021-01-28,54.4851
2021-01-29,54.4049
2021-01-30,54.4049
2021-01-31,54.4049
2021-02-01,54.7557
2021-02-02,50.5923
2021-02-03,50.8327
2021-02-04,43.0431
2021-02-05,42.8333
2021-02-06,42.8333
2021-02-07,42.8333
2021-02-08,42.1685
2021-02-09,40.7805
2021-02-10,40.4067
2021-02-11,39.1236
2021-02-12,40.5586
2021-02-13,40.5586
2021-02-14,40.5586
2021-02-15,40.5586
2021-02-16,39.1904
2021-02-17,42.5642
2021-02-18,43.9431
2021-02-19,42.4914
2021-02-20,42.4914
2021-02-21,42.4914
2021-02-22,43.0305
2021-02-23,42.7942
2021-02-24,40.5094
2021-02-25,39.413
2021-02-26,39.3109
2021-02-27,39.3109
2021-02-28,39.3109
2021-03-01,38.6144
2021-03-02,38.2041
2021-03-03,39.0791
2021-03-04,38.0386
2021-03-05,43.3037
2021-03-06,43.3037
2021-03-07,43.3037
2021-03-08,45.9379
2021-03-09,44.6089
2021-03-10,47.3162
2021-03-11,45.7405
2021-03-12,47.3424
2021-03-13,47.3424
2021-03-14,47.3424
2021-03-15,46.995
2021-03-16,47.4242
2021-03-17,47.8533
2021-03-18,44.424
2021-03-19,45.7284
2021-03-20,45.7284
2021-03-21,45.7284
2021-03-22,48.2347
2021-03-23,50.6017
2021-03-24,48.1721
2021-03-25,49.2753
2021-03-26,48.9139
2021-03-27,48.9139
2021-03-28,48.9139
2021-03-29,52.3545
2021-03-30,51.3712
2021-03-31,50.6761
2021-04-01,50.6392
2021-04-02,50.6392
2021-04-03,50.6392
2021-04-04,50.6392
2021-04-05,51.7802
2021-04-06,51.4978
2021-04-07,51.4656
2021-04-08,50.5404
2021-04-09,48.3597
2021-04-10,48.3597
2021-04-11,48.3597
2021-04-12,48.8925
2021-04-13,47.2761
2021-04-14,47.166
2021-04-15,49.9168
2021-04-16,49.0554
2021-04-17,49.0554
2021-04-18,49.0554
2021-04-19,48.4155
2021-04-20,53.0653
2021-04-21,54.1457
2021-04-22,53.4113
2021-04-23,48.0427
2021-04-24,48.0427
2021-04-25,48.0427
2021-04-26,47.4982
2021-04-27,46.3582
2021-04-28,45.4319
2021-04-29,46.212
2021-04-30,43.659
2021-05-01,43.659
2021-05-02,43.659
2021-05-03,42.3436
2021-05-04,44.1766
2021-05-05,45.5492
2021-05-06,46.004
2021-05-07,44.7663
2021-05-08,44.7663
2021-05-09,44.7663
2021-05-10,49.1698
2021-05-11,47.5553
2021-05-12,44.627
2021-05-13,45.2
2021-05-14,44.2455
2021-05-15,44.2455
2021-05-16,44.2455
2021-05-17,43.7783
2021-05-18,44.7032
2021-05-19,43.9401
2021-05-20,44.2649
2021-05-21,42.2396
2021-05-22,42.2396
2021-05-23,42.2396
