,HMTV US Equity
,RSI_30D
2020-01-01,63.0058
2020-01-02,62.1045
2020-01-03,60.9767
2020-01-04,60.9767
2020-01-05,60.9767
2020-01-06,62.794
2020-01-07,60.0139
2020-01-08,54.6113
2020-01-09,53.5946
2020-01-10,53.5009
2020-01-11,53.5009
2020-01-12,53.5009
2020-01-13,53.5849
2020-01-14,54.7672
2020-01-15,55.7662
2020-01-16,56.9945
2020-01-17,55.1975
2020-01-18,55.1975
2020-01-19,55.1975
2020-01-20,55.1975
2020-01-21,52.5749
2020-01-22,51.9852
2020-01-23,52.3538
2020-01-24,52.25
2020-01-25,52.25
2020-01-26,52.25
2020-01-27,52.445
2020-01-28,52.445
2020-01-29,50.0403
2020-01-30,52.1055
2020-01-31,46.7122
2020-02-01,46.7122
2020-02-02,46.7122
2020-02-03,47.7483
2020-02-04,48.2686
2020-02-05,50.9943
2020-02-06,49.4955
2020-02-07,48.9989
2020-02-08,48.9989
2020-02-09,48.9989
2020-02-10,53.0889
2020-02-11,52.7762
2020-02-12,52.1407
2020-02-13,52.6324
2020-02-14,51.7524
2020-02-15,51.7524
2020-02-16,51.7524
2020-02-17,51.7524
2020-02-18,51.6407
2020-02-19,50.5133
2020-02-20,49.838
2020-02-21,46.8164
2020-02-22,46.8164
2020-02-23,46.8164
2020-02-24,43.594
2020-02-25,39.1203
2020-02-26,39.9621
2020-02-27,38.6204
2020-02-28,39.6075
2020-02-29,39.6075
2020-03-01,39.6075
2020-03-02,38.8007
2020-03-03,36.566
2020-03-04,37.4653
2020-03-05,31.4108
2020-03-06,32.9937
2020-03-07,32.9937
2020-03-08,32.9937
2020-03-09,27.8748
2020-03-10,27.3481
2020-03-11,26.3604
2020-03-12,24.1986
2020-03-13,23.5803
2020-03-14,23.5803
2020-03-15,23.5803
2020-03-16,21.0007
2020-03-17,29.6658
2020-03-18,25.9658
2020-03-19,29.0185
2020-03-20,28.6117
2020-03-21,28.6117
2020-03-22,28.6117
2020-03-23,27.8052
2020-03-24,32.2503
2020-03-25,31.0773
2020-03-26,31.4801
2020-03-27,30.6283
2020-03-28,30.6283
2020-03-29,30.6283
2020-03-30,31.4624
2020-03-31,31.3067
2020-04-01,30.5249
2020-04-02,30.7039
2020-04-03,30.4604
2020-04-04,30.4604
2020-04-05,30.4604
2020-04-06,33.8958
2020-04-07,33.535
2020-04-08,33.0797
2020-04-09,35.7855
