,HONE US Equity
,RSI_30D
2020-01-01,69.2502
2020-01-02,69.0151
2020-01-03,68.7736
2020-01-04,68.7736
2020-01-05,68.7736
2020-01-06,68.8862
2020-01-07,66.4083
2020-01-08,67.2611
2020-01-09,67.8639
2020-01-10,67.9859
2020-01-11,67.9859
2020-01-12,67.9859
2020-01-13,69.1953
2020-01-14,68.1303
2020-01-15,68.382
2020-01-16,69.623
2020-01-17,65.3758
2020-01-18,65.3758
2020-01-19,65.3758
2020-01-20,65.3758
2020-01-21,62.8952
2020-01-22,65.5961
2020-01-23,67.0833
2020-01-24,64.6732
2020-01-25,64.6732
2020-01-26,64.6732
2020-01-27,64.196
2020-01-28,62.759
2020-01-29,64.4075
2020-01-30,62.0401
2020-01-31,56.4584
2020-02-01,56.4584
2020-02-02,56.4584
2020-02-03,55.6615
2020-02-04,57.9635
2020-02-05,60.3754
2020-02-06,57.9475
2020-02-07,57.1549
2020-02-08,57.1549
2020-02-09,57.1549
2020-02-10,59.9857
2020-02-11,58.7804
2020-02-12,59.3438
2020-02-13,60.4618
2020-02-14,60.0349
2020-02-15,60.0349
2020-02-16,60.0349
2020-02-17,60.0349
2020-02-18,58.7474
2020-02-19,57.8912
2020-02-20,58.8224
2020-02-21,58.8224
2020-02-22,58.8224
2020-02-23,58.8224
2020-02-24,50.1231
2020-02-25,45.1044
2020-02-26,41.6032
2020-02-27,34.0348
2020-02-28,30.7405
2020-02-29,30.7405
2020-03-01,30.7405
2020-03-02,35.906
2020-03-03,33.19
2020-03-04,37.7804
2020-03-05,35.0618
2020-03-06,32.8857
2020-03-07,32.8857
2020-03-08,32.8857
2020-03-09,24.0894
2020-03-10,34.1074
2020-03-11,30.3752
2020-03-12,25.6627
2020-03-13,29.2408
2020-03-14,29.2408
2020-03-15,29.2408
2020-03-16,25.7805
2020-03-17,27.9154
2020-03-18,23.9688
2020-03-19,30.9083
2020-03-20,28.3275
2020-03-21,28.3275
2020-03-22,28.3275
2020-03-23,25.8509
2020-03-24,30.4886
2020-03-25,30.6879
2020-03-26,38.2851
2020-03-27,36.2076
2020-03-28,36.2076
2020-03-29,36.2076
2020-03-30,38.2702
2020-03-31,37.4682
2020-04-01,36.3357
2020-04-02,37.5247
2020-04-03,36.0808
2020-04-04,36.0808
2020-04-05,36.0808
2020-04-06,38.037
2020-04-07,37.8806
2020-04-08,41.057
2020-04-09,44.166
2020-04-10,44.166
2020-04-11,44.166
2020-04-12,44.166
2020-04-13,41.8808
2020-04-14,40.8958
2020-04-15,38.6988
2020-04-16,38.9412
2020-04-17,40.7193
