,PRI US Equity
,RSI_30D
2020-01-01,54.1719
2020-01-02,56.5187
2020-01-03,56.2372
2020-01-04,56.2372
2020-01-05,56.2372
2020-01-06,53.635
2020-01-07,53.4313
2020-01-08,51.65
2020-01-09,53.9995
2020-01-10,50.4652
2020-01-11,50.4652
2020-01-12,50.4652
2020-01-13,50.2772
2020-01-14,49.1618
2020-01-15,46.9458
2020-01-16,48.7862
2020-01-17,48.9171
2020-01-18,48.9171
2020-01-19,48.9171
2020-01-20,48.9171
2020-01-21,44.9176
2020-01-22,45.4657
2020-01-23,43.4176
2020-01-24,38.4928
2020-01-25,38.4928
2020-01-26,38.4928
2020-01-27,33.9429
2020-01-28,37.4039
2020-01-29,36.5778
2020-01-30,39.5118
2020-01-31,36.0034
2020-02-01,36.0034
2020-02-02,36.0034
2020-02-03,40.9275
2020-02-04,45.0922
2020-02-05,49.3208
2020-02-06,46.3957
2020-02-07,45.4328
2020-02-08,45.4328
2020-02-09,45.4328
2020-02-10,45.5405
2020-02-11,49.338
2020-02-12,54.9521
2020-02-13,61.383
2020-02-14,61.3129
2020-02-15,61.3129
2020-02-16,61.3129
2020-02-17,61.3129
2020-02-18,59.5928
2020-02-19,59.66
2020-02-20,60.3515
2020-02-21,55.2699
2020-02-22,55.2699
2020-02-23,55.2699
2020-02-24,49.0323
2020-02-25,43.7442
2020-02-26,42.6469
2020-02-27,38.4668
2020-02-28,36.1165
2020-02-29,36.1165
2020-03-01,36.1165
2020-03-02,41.3831
2020-03-03,39.1891
2020-03-04,43.3239
2020-03-05,39.9663
2020-03-06,38.7244
2020-03-07,38.7244
2020-03-08,38.7244
2020-03-09,33.1464
2020-03-10,36.2167
2020-03-11,33.474
2020-03-12,30.4182
2020-03-13,37.6562
2020-03-14,37.6562
2020-03-15,37.6562
2020-03-16,32.5449
2020-03-17,34.8309
2020-03-18,30.2804
2020-03-19,29.5291
2020-03-20,27.3234
2020-03-21,27.3234
2020-03-22,27.3234
2020-03-23,30.4974
2020-03-24,37.1907
2020-03-25,37.8407
2020-03-26,41.4113
2020-03-27,42.3028
2020-03-28,42.3028
2020-03-29,42.3028
2020-03-30,42.6628
2020-03-31,41.8593
2020-04-01,40.3369
2020-04-02,39.851
2020-04-03,39.13
2020-04-04,39.13
2020-04-05,39.13
2020-04-06,42.4596
2020-04-07,42.9489
2020-04-08,47.4522
2020-04-09,49.4736
2020-04-10,49.4736
2020-04-11,49.4736
2020-04-12,49.4736
2020-04-13,47.655
2020-04-14,48.1743
2020-04-15,44.9895
2020-04-16,45.5296
2020-04-17,47.9686
2020-04-18,47.9686
2020-04-19,47.9686
2020-04-20,47.5364
2020-04-21,45.8005
2020-04-22,47.3331
2020-04-23,47.0224
2020-04-24,47.7276
2020-04-25,47.7276
2020-04-26,47.7276
2020-04-27,48.5081
2020-04-28,50.0191
2020-04-29,52.2542
2020-04-30,51.3189
2020-05-01,49.4955
2020-05-02,49.4955
2020-05-03,49.4955
2020-05-04,50.2449
2020-05-05,50.4649
2020-05-06,49.7818
2020-05-07,51.984
2020-05-08,53.6135
2020-05-09,53.6135
2020-05-10,53.6135
2020-05-11,52.642
2020-05-12,50.8745
2020-05-13,48.797
2020-05-14,49.7617
2020-05-15,49.772
2020-05-16,49.772
2020-05-17,49.772
2020-05-18,52.5651
2020-05-19,51.4871
2020-05-20,52.6313
2020-05-21,53.8787
2020-05-22,53.392
2020-05-23,53.392
2020-05-24,53.392
2020-05-25,53.392
2020-05-26,56.5186
2020-05-27,57.7034
2020-05-28,56.3379
2020-05-29,55.3822
2020-05-30,55.3822
2020-05-31,55.3822
2020-06-01,56.2742
2020-06-02,55.4663
2020-06-03,57.2312
2020-06-04,57.9185
2020-06-05,59.4345
2020-06-06,59.4345
2020-06-07,59.4345
2020-06-08,62.638
2020-06-09,61.2242
2020-06-10,57.1281
2020-06-11,51.7677
2020-06-12,53.0497
2020-06-13,53.0497
2020-06-14,53.0497
2020-06-15,53.8054
2020-06-16,54.7574
2020-06-17,54.1244
2020-06-18,54.1681
2020-06-19,54.6835
2020-06-20,54.6835
2020-06-21,54.6835
2020-06-22,55.1848
2020-06-23,54.4987
2020-06-24,52.2155
2020-06-25,53.2503
2020-06-26,50.6146
2020-06-27,50.6146
2020-06-28,50.6146
2020-06-29,51.8311
2020-06-30,53.2878
2020-07-01,51.2306
2020-07-02,51.2009
2020-07-03,51.2009
2020-07-04,51.2009
2020-07-05,51.2009
2020-07-06,52.2104
2020-07-07,50.085
2020-07-08,51.2612
2020-07-09,48.8157
2020-07-10,51.0774
2020-07-11,51.0774
2020-07-12,51.0774
2020-07-13,50.1369
2020-07-14,52.128
2020-07-15,54.6065
2020-07-16,54.3703
2020-07-17,53.972
2020-07-18,53.972
2020-07-19,53.972
2020-07-20,53.3949
2020-07-21,54.4941
2020-07-22,54.8594
2020-07-23,55.2778
2020-07-24,54.3962
2020-07-25,54.3962
2020-07-26,54.3962
2020-07-27,54.5648
2020-07-28,53.237
2020-07-29,55.6176
2020-07-30,54.0612
2020-07-31,53.8408
2020-08-01,53.8408
2020-08-02,53.8408
2020-08-03,55.0378
2020-08-04,54.5104
2020-08-05,58.1383
2020-08-06,60.5736
2020-08-07,60.8301
2020-08-08,60.8301
2020-08-09,60.8301
2020-08-10,61.8781
2020-08-11,62.769
2020-08-12,63.0114
2020-08-13,63.028
2020-08-14,63.2272
2020-08-15,63.2272
2020-08-16,63.2272
2020-08-17,60.9932
2020-08-18,59.4716
2020-08-19,58.276
2020-08-20,57.1671
2020-08-21,54.5764
2020-08-22,54.5764
2020-08-23,54.5764
2020-08-24,56.5087
2020-08-25,55.6888
2020-08-26,54.3793
2020-08-27,55.259
2020-08-28,54.6219
2020-08-29,54.6219
2020-08-30,54.6219
2020-08-31,52.6735
2020-09-01,51.9744
2020-09-02,53.6312
2020-09-03,53.0899
2020-09-04,53.3502
2020-09-05,53.3502
2020-09-06,53.3502
2020-09-07,53.3502
2020-09-08,48.2318
2020-09-09,49.0612
2020-09-10,48.2697
2020-09-11,48.8752
2020-09-12,48.8752
2020-09-13,48.8752
2020-09-14,50.0034
2020-09-15,50.0405
2020-09-16,48.2806
2020-09-17,46.6459
2020-09-18,45.5902
2020-09-19,45.5902
2020-09-20,45.5902
2020-09-21,42.1257
2020-09-22,43.4131
2020-09-23,41.0842
2020-09-24,41.1919
2020-09-25,42.1223
2020-09-26,42.1223
2020-09-27,42.1223
2020-09-28,45.043
2020-09-29,43.544
2020-09-30,43.7568
2020-10-01,43.8444
2020-10-02,43.3642
2020-10-03,43.3642
2020-10-04,43.3642
2020-10-05,45.1166
2020-10-06,43.7172
2020-10-07,45.2364
2020-10-08,46.4853
2020-10-09,46.2321
2020-10-10,46.2321
2020-10-11,46.2321
2020-10-12,47.0016
2020-10-13,45.8961
2020-10-14,46.3393
2020-10-15,47.6813
2020-10-16,49.3996
2020-10-17,49.3996
2020-10-18,49.3996
2020-10-19,46.5284
2020-10-20,49.7957
2020-10-21,49.5357
2020-10-22,54.5762
2020-10-23,53.8538
2020-10-24,53.8538
2020-10-25,53.8538
2020-10-26,49.854
2020-10-27,45.3648
2020-10-28,42.4195
2020-10-29,43.2037
2020-10-30,43.2037
2020-10-31,43.2037
2020-11-01,43.2037
2020-11-02,44.7381
2020-11-03,46.6317
2020-11-04,47.739
2020-11-05,52.2331
2020-11-06,51.1846
2020-11-07,51.1846
2020-11-08,51.1846
2020-11-09,58.8779
2020-11-10,59.07
2020-11-11,56.0803
2020-11-12,54.2598
2020-11-13,57.22
2020-11-14,57.22
2020-11-15,57.22
2020-11-16,59.3796
2020-11-17,58.7734
2020-11-18,58.8141
2020-11-19,59.205
2020-11-20,58.4266
2020-11-21,58.4266
2020-11-22,58.4266
2020-11-23,60.9495
2020-11-24,62.8243
2020-11-25,61.7977
2020-11-26,61.7977
2020-11-27,61.551
2020-11-28,61.551
2020-11-29,61.551
2020-11-30,57.1964
2020-12-01,59.3971
2020-12-02,59.65
2020-12-03,60.5432
2020-12-04,63.7429
2020-12-05,63.7429
2020-12-06,63.7429
2020-12-07,62.8069
2020-12-08,62.6039
2020-12-09,62.6039
2020-12-10,63.0013
2020-12-11,57.4556
2020-12-12,57.4556
2020-12-13,57.4556
2020-12-14,56.8757
2020-12-15,59.28
2020-12-16,57.198
2020-12-17,59.2371
2020-12-18,57.1518
2020-12-19,57.1518
2020-12-20,57.1518
2020-12-21,55.1162
2020-12-22,54.5248
2020-12-23,55.8095
2020-12-24,55.8721
2020-12-25,55.8721
2020-12-26,55.8721
2020-12-27,55.8721
2020-12-28,55.0859
2020-12-29,54.9832
2020-12-30,55.0006
2020-12-31,55.0364
2021-01-01,55.0364
2021-01-02,55.0364
2021-01-03,55.0364
2021-01-04,50.7988
2021-01-05,52.2725
2021-01-06,57.0606
2021-01-07,56.8934
2021-01-08,56.2223
2021-01-09,56.2223
2021-01-10,56.2223
2021-01-11,54.9973
2021-01-12,56.7927
2021-01-13,55.2755
2021-01-14,55.5802
2021-01-15,57.1589
2021-01-16,57.1589
2021-01-17,57.1589
2021-01-18,57.1589
2021-01-19,57.6776
2021-01-20,59.0238
2021-01-21,56.0828
2021-01-22,54.1878
2021-01-23,54.1878
2021-01-24,54.1878
2021-01-25,51.4833
2021-01-26,52.8957
2021-01-27,52.9988
2021-01-28,58.5461
2021-01-29,56.2329
2021-01-30,56.2329
2021-01-31,56.2329
2021-02-01,58.895
2021-02-02,58.7353
2021-02-03,59.0493
2021-02-04,61.7044
2021-02-05,62.0289
2021-02-06,62.0289
2021-02-07,62.0289
2021-02-08,63.9328
2021-02-09,62.8617
2021-02-10,58.1439
2021-02-11,55.8535
2021-02-12,55.1642
2021-02-13,55.1642
2021-02-14,55.1642
2021-02-15,55.1642
2021-02-16,56.2727
2021-02-17,55.3835
2021-02-18,56.796
2021-02-19,57.582
2021-02-20,57.582
2021-02-21,57.582
2021-02-22,57.7214
2021-02-23,55.8987
2021-02-24,58.321
2021-02-25,55.7539
2021-02-26,53.3157
2021-02-27,53.3157
2021-02-28,53.3157
2021-03-01,57.7168
2021-03-02,56.2224
2021-03-03,56.202
2021-03-04,52.3332
2021-03-05,56.0566
2021-03-06,56.0566
2021-03-07,56.0566
2021-03-08,56.9884
2021-03-09,56.7415
2021-03-10,60.1433
2021-03-11,59.8263
2021-03-12,61.0723
2021-03-13,61.0723
2021-03-14,61.0723
2021-03-15,63.0895
2021-03-16,61.5567
2021-03-17,62.9783
2021-03-18,58.5687
2021-03-19,55.9661
2021-03-20,55.9661
2021-03-21,55.9661
2021-03-22,53.4472
2021-03-23,50.5332
2021-03-24,49.8089
2021-03-25,52.051
2021-03-26,53.2111
2021-03-27,53.2111
2021-03-28,53.2111
2021-03-29,52.6295
2021-03-30,54.8733
2021-03-31,53.5139
2021-04-01,56.0156
2021-04-02,56.0156
2021-04-03,56.0156
2021-04-04,56.0156
2021-04-05,57.3946
2021-04-06,57.7032
2021-04-07,55.3968
2021-04-08,54.6912
2021-04-09,56.4706
2021-04-10,56.4706
2021-04-11,56.4706
2021-04-12,57.9052
2021-04-13,57.2039
2021-04-14,58.5692
2021-04-15,59.3997
2021-04-16,62.0081
2021-04-17,62.0081
2021-04-18,62.0081
2021-04-19,61.5925
2021-04-20,58.5964
2021-04-21,60.7521
2021-04-22,57.5102
2021-04-23,59.1432
2021-04-24,59.1432
2021-04-25,59.1432
2021-04-26,59.7789
2021-04-27,60.0968
2021-04-28,59.2094
2021-04-29,60.8081
2021-04-30,57.5419
2021-05-01,57.5419
2021-05-02,57.5419
2021-05-03,58.9292
2021-05-04,58.6615
2021-05-05,61.1815
2021-05-06,58.06
2021-05-07,59.2766
2021-05-08,59.2766
2021-05-09,59.2766
2021-05-10,57.3547
2021-05-11,53.4482
2021-05-12,50.6687
2021-05-13,54.2688
2021-05-14,55.9419
2021-05-15,55.9419
2021-05-16,55.9419
2021-05-17,54.9558
2021-05-18,54.0448
2021-05-19,53.2561
2021-05-20,54.2407
2021-05-21,55.0675
2021-05-22,55.0675
