,MDU US Equity
,RSI_30D
2020-01-01,64.6367
2020-01-02,57.877
2020-01-03,58.2181
2020-01-04,58.2181
2020-01-05,58.2181
2020-01-06,58.5653
2020-01-07,57.0931
2020-01-08,53.9373
2020-01-09,54.8926
2020-01-10,53.627
2020-01-11,53.627
2020-01-12,53.627
2020-01-13,54.3203
2020-01-14,54.2006
2020-01-15,57.1334
2020-01-16,59.0331
2020-01-17,60.499
2020-01-18,60.499
2020-01-19,60.499
2020-01-20,60.499
2020-01-21,59.9766
2020-01-22,60.8509
2020-01-23,64.2444
2020-01-24,60.6205
2020-01-25,60.6205
2020-01-26,60.6205
2020-01-27,54.8998
2020-01-28,57.9384
2020-01-29,58.0175
2020-01-30,60.259
2020-01-31,56.3924
2020-02-01,56.3924
2020-02-02,56.3924
2020-02-03,58.3874
2020-02-04,58.8369
2020-02-05,67.0587
2020-02-06,68.2343
2020-02-07,63.1806
2020-02-08,63.1806
2020-02-09,63.1806
2020-02-10,62.8104
2020-02-11,62.8667
2020-02-12,65.4615
2020-02-13,66.4223
2020-02-14,67.8351
2020-02-15,67.8351
2020-02-16,67.8351
2020-02-17,67.8351
2020-02-18,66.3415
2020-02-19,66.5952
2020-02-20,68.4634
2020-02-21,65.0937
2020-02-22,65.0937
2020-02-23,65.0937
2020-02-24,61.1557
2020-02-25,54.5642
2020-02-26,53.9124
2020-02-27,45.5873
2020-02-28,38.8256
2020-02-29,38.8256
2020-03-01,38.8256
2020-03-02,46.866
2020-03-03,45.3566
2020-03-04,53.0446
2020-03-05,50.4816
2020-03-06,48.893
2020-03-07,48.893
2020-03-08,48.893
2020-03-09,40.4239
2020-03-10,45.4478
2020-03-11,40.7246
2020-03-12,33.1984
2020-03-13,34.931
2020-03-14,34.931
2020-03-15,34.931
2020-03-16,29.1575
2020-03-17,28.9164
2020-03-18,24.3743
2020-03-19,33.8843
2020-03-20,33.1146
2020-03-21,33.1146
2020-03-22,33.1146
2020-03-23,32.1875
2020-03-24,37.3009
2020-03-25,37.3009
2020-03-26,42.6432
2020-03-27,42.0135
2020-03-28,42.0135
2020-03-29,42.0135
2020-03-30,41.3517
2020-03-31,41.6327
2020-04-01,40.2516
2020-04-02,40.7038
2020-04-03,39.7849
2020-04-04,39.7849
2020-04-05,39.7849
2020-04-06,43.7275
2020-04-07,43.8349
2020-04-08,46.9774
2020-04-09,49.2303
2020-04-10,49.2303
2020-04-11,49.2303
2020-04-12,49.2303
2020-04-13,47.7343
2020-04-14,47.2452
2020-04-15,45.375
2020-04-16,45.0413
2020-04-17,46.4983
2020-04-18,46.4983
2020-04-19,46.4983
2020-04-20,44.2327
2020-04-21,43.7122
2020-04-22,44.8095
2020-04-23,44.791
2020-04-24,45.5556
2020-04-25,45.5556
2020-04-26,45.5556
2020-04-27,47.361
2020-04-28,47.4295
2020-04-29,48.785
2020-04-30,46.2348
2020-05-01,43.6427
2020-05-02,43.6427
2020-05-03,43.6427
2020-05-04,43.7644
2020-05-05,44.1883
2020-05-06,42.8135
2020-05-07,43.6171
2020-05-08,45.9733
2020-05-09,45.9733
2020-05-10,45.9733
2020-05-11,44.1469
2020-05-12,42.8221
2020-05-13,40.7814
2020-05-14,43.1432
2020-05-15,42.5833
2020-05-16,42.5833
2020-05-17,42.5833
2020-05-18,47.1803
2020-05-19,45.8276
2020-05-20,45.6256
2020-05-21,45.7986
2020-05-22,46.0774
2020-05-23,46.0774
2020-05-24,46.0774
2020-05-25,46.0774
2020-05-26,49.1064
2020-05-27,49.3218
2020-05-28,48.4495
2020-05-29,47.6483
2020-05-30,47.6483
2020-05-31,47.6483
2020-06-01,48.2729
2020-06-02,48.7734
2020-06-03,49.934
2020-06-04,49.0714
2020-06-05,53.1788
2020-06-06,53.1788
2020-06-07,53.1788
2020-06-08,55.2969
2020-06-09,51.9911
2020-06-10,50.2056
2020-06-11,45.2631
2020-06-12,46.385
2020-06-13,46.385
2020-06-14,46.385
2020-06-15,46.8111
2020-06-16,48.7683
2020-06-17,47.621
2020-06-18,47.7735
2020-06-19,47.1346
2020-06-20,47.1346
2020-06-21,47.1346
2020-06-22,48.1443
2020-06-23,47.7225
2020-06-24,47.6209
2020-06-25,47.8791
2020-06-26,46.9481
2020-06-27,46.9481
2020-06-28,46.9481
2020-06-29,49.7767
2020-06-30,50.0858
2020-07-01,49.9125
2020-07-02,50.3273
2020-07-03,50.3273
2020-07-04,50.3273
2020-07-05,50.3273
2020-07-06,50.0821
2020-07-07,47.8801
2020-07-08,47.5247
2020-07-09,45.3211
2020-07-10,47.0909
2020-07-11,47.0909
2020-07-12,47.0909
2020-07-13,47.0909
2020-07-14,47.9415
2020-07-15,48.7261
2020-07-16,48.9682
2020-07-17,50.1849
2020-07-18,50.1849
2020-07-19,50.1849
2020-07-20,47.9545
2020-07-21,48.8103
2020-07-22,50.084
2020-07-23,50.5437
2020-07-24,49.5987
2020-07-25,49.5987
2020-07-26,49.5987
2020-07-27,49.1236
2020-07-28,49.1623
2020-07-29,51.052
2020-07-30,47.8596
2020-07-31,46.6178
2020-08-01,46.6178
2020-08-02,46.6178
2020-08-03,47.4242
2020-08-04,47.8318
2020-08-05,52.8942
2020-08-06,54.4305
2020-08-07,55.4328
2020-08-08,55.4328
2020-08-09,55.4328
2020-08-10,56.8405
2020-08-11,55.615
2020-08-12,55.1905
2020-08-13,54.5871
2020-08-14,53.5064
2020-08-15,53.5064
2020-08-16,53.5064
2020-08-17,52.0151
2020-08-18,52.2511
2020-08-19,52.1626
2020-08-20,50.9141
2020-08-21,50.8691
2020-08-22,50.8691
2020-08-23,50.8691
2020-08-24,55.1712
2020-08-25,55.969
2020-08-26,52.5596
2020-08-27,54.7189
2020-08-28,55.431
2020-08-29,55.431
2020-08-30,55.431
2020-08-31,55.1007
2020-09-01,55.6088
2020-09-02,57.776
2020-09-03,57.1181
2020-09-04,57.3115
2020-09-05,57.3115
2020-09-06,57.3115
2020-09-07,57.3115
2020-09-08,54.2728
2020-09-09,55.3335
2020-09-10,53.3449
2020-09-11,53.0491
2020-09-12,53.0491
2020-09-13,53.0491
2020-09-14,54.7786
2020-09-15,55.4575
2020-09-16,57.7151
2020-09-17,53.912
2020-09-18,50.428
2020-09-19,50.428
2020-09-20,50.428
2020-09-21,48.6082
2020-09-22,49.3732
2020-09-23,46.1541
2020-09-24,47.488
2020-09-25,47.765
2020-09-26,47.765
2020-09-27,47.765
2020-09-28,49.0167
2020-09-29,47.9599
2020-09-30,49.3256
2020-10-01,48.9135
2020-10-02,50.6665
2020-10-03,50.6665
2020-10-04,50.6665
2020-10-05,51.5039
2020-10-06,52.0651
2020-10-07,52.1605
2020-10-08,54.8571
2020-10-09,52.6854
2020-10-10,52.6854
2020-10-11,52.6854
2020-10-12,54.5905
2020-10-13,51.9624
2020-10-14,51.311
2020-10-15,54.3612
2020-10-16,56.0203
2020-10-17,56.0203
2020-10-18,56.0203
2020-10-19,53.199
2020-10-20,53.2874
2020-10-21,53.9184
2020-10-22,55.8571
2020-10-23,58.3689
2020-10-24,58.3689
2020-10-25,58.3689
2020-10-26,54.6756
2020-10-27,53.3779
2020-10-28,49.672
2020-10-29,51.0515
2020-10-30,52.9039
2020-10-31,52.9039
2020-11-01,52.9039
2020-11-02,54.156
2020-11-03,55.8558
2020-11-04,52.6806
2020-11-05,50.4337
2020-11-06,50.1681
2020-11-07,50.1681
2020-11-08,50.1681
2020-11-09,57.3684
2020-11-10,59.7614
2020-11-11,55.9424
2020-11-12,53.62
2020-11-13,55.0754
2020-11-14,55.0754
2020-11-15,55.0754
2020-11-16,57.0842
2020-11-17,57.2437
2020-11-18,54.5988
2020-11-19,53.8229
2020-11-20,53.7398
2020-11-21,53.7398
2020-11-22,53.7398
2020-11-23,54.8229
2020-11-24,58.1665
2020-11-25,57.8088
2020-11-26,57.8088
2020-11-27,56.0701
2020-11-28,56.0701
2020-11-29,56.0701
2020-11-30,53.6722
2020-12-01,54.6046
2020-12-02,53.575
2020-12-03,53.5315
2020-12-04,54.5248
2020-12-05,54.5248
2020-12-06,54.5248
2020-12-07,53.1682
2020-12-08,52.4038
2020-12-09,52.4562
2020-12-10,53.3077
2020-12-11,53.4801
2020-12-12,53.4801
2020-12-13,53.4801
2020-12-14,56.3553
2020-12-15,58.4718
2020-12-16,57.9957
2020-12-17,59.1428
2020-12-18,56.7897
2020-12-19,56.7897
2020-12-20,56.7897
2020-12-21,53.0668
2020-12-22,54.941
2020-12-23,55.6186
2020-12-24,55.9411
2020-12-25,55.9411
2020-12-26,55.9411
2020-12-27,55.9411
2020-12-28,57.4987
2020-12-29,54.6299
2020-12-30,55.9297
2020-12-31,57.6553
2021-01-01,57.6553
2021-01-02,57.6553
2021-01-03,57.6553
2021-01-04,54.4001
2021-01-05,55.0464
2021-01-06,59.8316
2021-01-07,57.6817
2021-01-08,57.7531
2021-01-09,57.7531
2021-01-10,57.7531
2021-01-11,58.7254
2021-01-12,61.0278
2021-01-13,60.4035
2021-01-14,61.3576
2021-01-15,61.2486
2021-01-16,61.2486
2021-01-17,61.2486
2021-01-18,61.2486
2021-01-19,60.4154
2021-01-20,62.053
2021-01-21,59.0324
2021-01-22,59.6239
2021-01-23,59.6239
2021-01-24,59.6239
2021-01-25,59.4574
2021-01-26,54.1873
2021-01-27,52.1059
2021-01-28,54.6454
2021-01-29,51.9783
2021-01-30,51.9783
2021-01-31,51.9783
2021-02-01,53.9429
2021-02-02,54.6093
2021-02-03,54.6891
2021-02-04,54.7714
2021-02-05,53.8611
2021-02-06,53.8611
2021-02-07,53.8611
2021-02-08,55.2295
2021-02-09,56.6832
2021-02-10,56.305
2021-02-11,55.9738
2021-02-12,57.8544
2021-02-13,57.8544
2021-02-14,57.8544
2021-02-15,57.8544
2021-02-16,58.521
2021-02-17,59.1475
2021-02-18,59.8995
2021-02-19,60.4847
2021-02-20,60.4847
2021-02-21,60.4847
2021-02-22,60.1604
2021-02-23,61.6087
2021-02-24,63.7726
2021-02-25,59.1131
2021-02-26,56.6496
2021-02-27,56.6496
2021-02-28,56.6496
2021-03-01,59.0458
2021-03-02,58.0557
2021-03-03,60.3229
2021-03-04,62.3527
2021-03-05,66.0164
2021-03-06,66.0164
2021-03-07,66.0164
2021-03-08,66.8063
2021-03-09,63.9103
2021-03-10,67.0183
2021-03-11,64.9801
2021-03-12,66.5862
2021-03-13,66.5862
2021-03-14,66.5862
2021-03-15,68.3601
2021-03-16,65.3244
2021-03-17,62.3556
2021-03-18,61.9468
2021-03-19,60.9141
2021-03-20,60.9141
2021-03-21,60.9141
2021-03-22,56.5274
2021-03-23,57.9207
2021-03-24,59.4661
2021-03-25,62.0959
2021-03-26,60.9754
2021-03-27,60.9754
2021-03-28,60.9754
2021-03-29,61.5987
2021-03-30,61.8822
2021-03-31,61.9789
2021-04-01,62.601
2021-04-02,62.601
2021-04-03,62.601
2021-04-04,62.601
2021-04-05,63.0291
2021-04-06,61.5161
2021-04-07,60.0255
2021-04-08,60.6106
2021-04-09,61.4139
2021-04-10,61.4139
2021-04-11,61.4139
2021-04-12,62.3878
2021-04-13,62.9256
2021-04-14,63.2518
2021-04-15,64.1931
2021-04-16,65.2898
2021-04-17,65.2898
2021-04-18,65.2898
2021-04-19,65.9168
2021-04-20,66.0227
2021-04-21,67.1822
2021-04-22,66.6828
2021-04-23,67.1163
2021-04-24,67.1163
2021-04-25,67.1163
2021-04-26,67.4087
2021-04-27,64.6577
2021-04-28,63.9283
2021-04-29,65.652
2021-04-30,65.5014
2021-05-01,65.5014
2021-05-02,65.5014
2021-05-03,66.1835
2021-05-04,67.8837
2021-05-05,67.4848
2021-05-06,67.3211
2021-05-07,69.4304
2021-05-08,69.4304
2021-05-09,69.4304
2021-05-10,68.68
2021-05-11,66.2917
2021-05-12,58.5882
2021-05-13,63.0696
2021-05-14,64.0842
2021-05-15,64.0842
2021-05-16,64.0842
2021-05-17,63.6155
2021-05-18,60.4776
2021-05-19,58.1889
2021-05-20,58.4527
2021-05-21,59.7231
2021-05-22,59.7231
2021-05-23,59.7231
2021-05-24,60.583
2021-05-25,57.6543
2021-05-26,58.1997
2021-05-27,56.9355
2021-05-28,57.5084
2021-05-29,57.5084
2021-05-30,57.5084
2021-05-31,57.5084
2021-06-01,57.7506
2021-06-02,57.547
2021-06-03,58.993
2021-06-04,57.7991
2021-06-05,57.7991
2021-06-06,57.7991
2021-06-07,57.2353
2021-06-08,56.1724
2021-06-09,56.2428
2021-06-10,54.2218
2021-06-11,55.6924
2021-06-12,55.6924
2021-06-13,55.6924
2021-06-14,52.4175
2021-06-15,52.1475
2021-06-16,50.3372
2021-06-17,44.3238
2021-06-18,40.0095
2021-06-19,40.0095
2021-06-20,40.0095
2021-06-21,44.8168
2021-06-22,42.9222
2021-06-23,42.1578
2021-06-24,46.019
2021-06-25,48.2913
2021-06-26,48.2913
2021-06-27,48.2913
2021-06-28,46.4608
2021-06-29,44.0516
2021-06-30,45.8599
2021-07-01,47.457
2021-07-02,46.8376
2021-07-03,46.8376
2021-07-04,46.8376
2021-07-05,46.8376
2021-07-06,45.2855
2021-07-07,46.18
2021-07-08,43.906
2021-07-09,46.0917
2021-07-10,46.0917
2021-07-11,46.0917
2021-07-12,47.0226
2021-07-13,45.5392
2021-07-14,46.4967
2021-07-15,46.3479
2021-07-16,47.0489
2021-07-17,47.0489
2021-07-18,47.0489
2021-07-19,42.8061
2021-07-20,47.3288
2021-07-21,47.0438
2021-07-22,46.2749
2021-07-23,48.349
2021-07-24,48.349
2021-07-25,48.349
2021-07-26,47.9959
2021-07-27,48.7154
2021-07-28,51.2897
2021-07-29,51.1789
2021-07-30,49.789
2021-07-31,49.789
2021-08-01,49.789
2021-08-02,50.7303
2021-08-03,53.6888
2021-08-04,53.0998
2021-08-05,52.0368
2021-08-06,55.6589
2021-08-07,55.6589
2021-08-08,55.6589
2021-08-09,55.7563
2021-08-10,54.7001
2021-08-11,57.0282
2021-08-12,55.0962
2021-08-13,55.5485
2021-08-14,55.5485
2021-08-15,55.5485
2021-08-16,54.9127
2021-08-17,53.3341
2021-08-18,51.5556
2021-08-19,49.9513
2021-08-20,51.8459
2021-08-21,51.8459
2021-08-22,51.8459
2021-08-23,50.9986
2021-08-24,50.6926
2021-08-25,52.7462
2021-08-26,49.6879
2021-08-27,51.3229
2021-08-28,51.3229
2021-08-29,51.3229
2021-08-30,50.0021
2021-08-31,50.3028
2021-09-01,51.9182
2021-09-02,52.8575
2021-09-03,50.1345
2021-09-04,50.1345
2021-09-05,50.1345
2021-09-06,50.1345
2021-09-07,46.9896
2021-09-08,48.1347
2021-09-09,46.2652
2021-09-10,44.0145
2021-09-11,44.0145
2021-09-12,44.0145
2021-09-13,43.8568
2021-09-14,44.0641
2021-09-15,45.7224
2021-09-16,41.9192
2021-09-17,39.9348
2021-09-18,39.9348
2021-09-19,39.9348
2021-09-20,37.9409
2021-09-21,37.5007
2021-09-22,37.144
2021-09-23,38.1332
2021-09-24,38.0379
2021-09-25,38.0379
2021-09-26,38.0379
2021-09-27,43.1102
2021-09-28,42.28
2021-09-29,42.708
2021-09-30,40.7292
2021-10-01,45.0925
2021-10-02,45.0925
2021-10-03,45.0925
2021-10-04,46.5148
2021-10-05,46.7096
2021-10-06,48.3314
2021-10-07,49.2265
2021-10-08,48.6043
2021-10-09,48.6043
2021-10-10,48.6043
2021-10-11,45.014
2021-10-12,46.7484
2021-10-13,46.6314
2021-10-14,49.6934
2021-10-15,49.8201
2021-10-16,49.8201
2021-10-17,49.8201
2021-10-18,47.8258
2021-10-19,49.3974
2021-10-20,51.416
2021-10-21,49.6242
2021-10-22,51.3166
2021-10-23,51.3166
2021-10-24,51.3166
2021-10-25,51.566
2021-10-26,52.1992
2021-10-27,47.9214
2021-10-28,50.5872
2021-10-29,48.3909
2021-10-30,48.3909
2021-10-31,48.3909
2021-11-01,50.6681
2021-11-02,49.3293
2021-11-03,50.6178
2021-11-04,38.0383
2021-11-05,40.1932
2021-11-06,40.1932
2021-11-07,40.1932
2021-11-08,41.5571
2021-11-09,39.6847
2021-11-10,42.3708
2021-11-11,42.3301
2021-11-12,41.7095
2021-11-13,41.7095
2021-11-14,41.7095
2021-11-15,43.3143
2021-11-16,41.9077
2021-11-17,41.5272
2021-11-18,39.5069
2021-11-19,40.7245
2021-11-20,40.7245
2021-11-21,40.7245
2021-11-22,42.751
2021-11-23,44.9829
2021-11-24,45.546
2021-11-25,45.546
2021-11-26,41.1065
2021-11-27,41.1065
2021-11-28,41.1065
2021-11-29,41.1647
2021-11-30,37.1424
2021-12-01,38.2032
2021-12-02,39.9503
2021-12-03,42.2583
2021-12-04,42.2583
2021-12-05,42.2583
2021-12-06,44.6213
2021-12-07,45.3054
2021-12-08,46.1981
2021-12-09,46.1515
2021-12-10,45.9124
2021-12-11,45.9124
2021-12-12,45.9124
2021-12-13,45.7164
2021-12-14,45.9551
2021-12-15,52.1579
2021-12-16,51.3556
2021-12-17,49.7205
2021-12-18,49.7205
2021-12-19,49.7205
2021-12-20,47.4518
2021-12-21,49.6692
2021-12-22,50.543
2021-12-23,51.0089
2021-12-24,51.0089
2021-12-25,51.0089
2021-12-26,51.0089
2021-12-27,52.5997
2021-12-28,55.4026
2021-12-29,57.034
2021-12-30,57.034
2021-12-31,57.4962
2022-01-01,57.4962
2022-01-02,57.4962
2022-01-03,56.4287
2022-01-04,58.3576
